crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region,crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region
0.5947789,0.5999433,0.8230441,0.8374083,0.9928678,0.9,0.9,0.36082134,0.3718014,0.9622642,1.0,1.0,0.3718014,0.3718014,0.33449054,0.33579287,0.60721374,-0.042241480128977195,-0.002340663364913314,-0.004133282340091149,0.0014155493898057648,-0.004861797283384154,9.701564123785637e-05,0.003523102322219355,-0.004573144907989773,-0.005459526566280506,0.0,0.0,0.0,-0.003895460844355938,-0.008260978903644887,-0.004874969444542825,0.012588547654017884,0.009198814351214904
0.9231587,0.9310345,0.3095521,0.30381966,0.30381966,0.9,0.9,0.63082135,0.64293236,0.9622642,1.0,1.0,0.64293236,0.64293236,0.41449052,0.6046818,0.7072137,0.028499358318104726,0.0038656877138091273,0.014472103878556774,0.013405830356357822,0.0010186542617131298,0.0033801320995497748,0.004530222406608119,0.0032199255850223108,0.0006848349145983541,0.0,0.0,0.0,0.0002535323576898986,0.00662227385415354,-0.0017138227893545629,-0.004405753952251333,0.005746126723489821
0.76400965,0.7273349,0.83393335,0.9444444,0.9762011,0.8227389,0.9,0.6131742,0.6279496,0.9622642,1.0,1.0,0.6279496,0.6279496,0.57449055,0.61912626,0.62721366,4.640475483244089e-06,0.0010695586356030374,-0.007789206154957112,-0.0031921170939040303,0.0006294976823067876,-0.0001231706063728265,0.004551979994182267,0.0074498361246298226,0.006399569763786144,0.0,0.0,0.0,0.004952903076162331,0.008895145202108948,0.002111242601538043,-0.008049973273769826,0.006097732795719606
0.9231587,0.9310345,0.22684462,0.2226438,0.2226438,0.9,0.9,0.53023314,0.54919976,0.9622642,1.0,1.0,0.54919976,0.54919976,0.5107405,0.6069041,0.4502136,0.027943174465696455,0.0023680571396449287,0.018153110327908478,0.01820274183514419,0.005723314707064897,0.0028979894822764697,0.004386143488857987,0.004160639503093062,0.004393184276922704,0.0,0.0,0.0,0.0037533282127790372,0.0055179731529711095,0.0013881763790069568,-0.004091366670004021,-0.0009809680744501887
0.9231587,0.9310345,0.4172892,0.40956163,0.40956163,0.9,0.9,0.8108214,0.8197391,0.9622642,1.0,1.0,0.8197391,0.8197391,0.80949056,0.6980152,0.64621365,0.025179665552534047,0.005331703586883605,0.009560324290554393,0.008052599507594793,-0.0012931813205653237,0.0027746578730433974,0.005068315248171283,0.0029151638061554823,-0.0031903358835868867,0.0,0.0,0.0,-0.0033204671345012766,0.00841854117851812,0.007469165605736107,-0.008473982380941323,0.003509739324581704
0.7066087,0.7409425,0.76248634,0.9762011,0.80934864,0.9,0.9,0.42905673,0.45132473,0.9622642,1.0,1.0,0.45132473,0.45132473,0.4257406,0.5057929,0.4612136,-0.015168868915372653,0.0034794270950020017,-0.0035474279103542925,-0.013616074157609069,0.0021596769022702465,0.0012434717918484556,0.003205701648923925,-0.0009150610727962787,0.002805006850771042,0.0,0.0,0.0,0.0021675280939078977,6.11115148599542e-05,0.0002400166579678948,0.0007589993131154823,-0.0025065953921789806
0.85690004,0.8242123,0.7221636,0.9444444,0.7272933,0.79673856,0.9,0.5502328,0.56558865,0.9622642,1.0,1.0,0.56558865,0.56558865,0.5132405,0.53023744,0.64421374,0.02082559644779874,0.0036271434696517092,-0.00100848370064439,-0.0027617722609938273,0.00011622181029790679,-0.001981897114584699,0.0049921757886694906,0.005299960951575307,0.005036517411174882,0.0,0.0,0.0,0.004184689277048691,0.0052791188732883385,0.0007168072540274383,-0.0014469809873572579,0.004929280987534567
0.9231587,0.9310345,0.1705373,0.1673792,0.1673792,0.9,0.9,0.41729197,0.43629265,0.9622642,1.0,1.0,0.43629265,0.43629265,0.4894905,0.3280152,0.5662137,0.0221954210414228,0.0024386315526460168,0.01591550330991834,0.0189582316988204,0.00397178127411764,0.0017702342420234537,0.003245434515491656,0.002321797995663853,0.003626117768001347,0.0,0.0,0.0,0.0036713325405748854,-0.0014849347518070793,-1.7217626419253252e-05,0.0036868539794045925,0.0017591808954167693
0.8021798,0.6602158,0.8503961,0.9762011,0.88530415,0.9,0.9,0.33905646,0.35725924,0.9622642,1.0,1.0,0.35725924,0.35725924,0.54324055,0.30357063,0.43021363,0.019508954444361796,0.0014089532190107229,-0.009955108084182209,-0.0158207148101037,0.0015570181852842754,-3.138675178124753e-05,0.002852375786010277,-0.00597071946704804,-0.004555841559241286,0.0,0.0,0.0,-0.003712952216699806,-0.00779954113833545,0.003302383969475679,0.013431515017719841,-0.00463373573220002
0.9030539,0.81457967,0.7727843,0.75847346,0.9444444,0.9,0.787427,0.40140948,0.42050555,0.9622642,1.0,1.0,0.42050555,0.42050555,0.44199055,0.4824596,0.4662136,0.03940704597202425,0.0028678499334376406,-0.002882507058964197,0.006146902332852675,-0.0012631625371054694,0.0015676569679500324,-0.00146886975612413,-0.0001847646836421044,0.00445359942033219,0.0,0.0,0.0,0.00375595638934886,-0.0007499798336908364,0.00048815822845712717,0.0011907492370207594,-0.0023108069039263234
