Feature,Model,Spearman Correlation,P-Value
crRNA spacer,31,0.9401693978923208,0.0
,51,0.9653697908986343,0.0
,6,0.974442330668179,0.0
,7,0.9631124424015193,0.0
,70,0.9802785335123048,0.0
,73,0.971952035889629,0.0
,76,0.9700729519395527,0.0
,78,0.9536687537976805,0.0
,88,0.9603701237665024,0.0
,94,0.9578825018952779,0.0
bh_maximal consecutive paired bases,31,-0.19389420162262364,6.306719051426752e-10
,51,0.9650753931090005,0.0
,6,-0.597000042001358,1.3239305267245922e-97
,7,0.9590182849266121,0.0
,70,0.9854125338878043,0.0
,73,0.9868622971111138,0.0
,76,0.9224657721350998,0.0
,78,-0.3411778025247663,1.1145107803725167e-28
,88,0.5187898562273618,5.476478001277953e-70
,94,0.9844519830500512,0.0
bh_maximal consecutive unpaired bases,31,-0.943533005849711,0.0
,51,-0.9465824937443724,0.0
,6,0.7432291946623568,2.137759392449785e-176
,7,-0.9301627660050316,0.0
,70,0.47285591603069155,7.598932116758865e-57
,73,-0.9528927119420271,0.0
,76,-0.9483958352495624,0.0
,78,-0.6600390578557861,4.020254076573199e-126
,88,-0.9873737525938936,0.0
,94,-0.9573031104673292,0.0
bh_5' overhang,31,-0.8900099661778852,0.0
,51,-0.34302199703912084,5.43362278861576e-29
,6,0.12880059437177716,4.408359220524491e-05
,7,-0.8025604596233344,4.057050872045098e-226
,70,-0.7728401331820886,2.56727757602166e-199
,73,0.5594537156589656,1.988867116841027e-83
,76,0.5035040843704285,2.1683000406596065e-65
,78,-0.7686016877490749,7.93204490388725e-196
,88,0.572175577620688,5.0048546009422843e-88
,94,-0.41018202571763035,7.307420746171586e-42
bh_3' overhang,31,-0.8396955223462615,7.146171203114292e-267
,51,0.2623939948904566,3.2982777291800034e-17
,6,-0.42224256877907723,1.65810631411598e-44
,7,-0.7980772146798012,8.645959006538046e-222
,70,-0.9409339263448114,0.0
,73,-0.5701157164208466,2.869041201561179e-87
,76,-0.8798022097673539,0.0
,78,-0.9223668036478967,0.0
