crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region,crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region
0.90918756,0.96153843,0.06418013,0.061663263,0.061663263,0.88,0.88,0.41524768,0.39347637,0.97959185,1.0,1.0,0.39347637,0.39347637,0.70798916,0.35801518,0.38776708,0.014517808656777214,0.003547652843052927,0.005163545330439298,0.009585066349324187,0.015187371712941947,0.0006721852596766842,0.0024773700105763337,0.004059028726650835,0.002558372697325087,0.0,0.0,0.0,0.0026083531641768664,-0.001213396861980475,0.0013201664852154872,0.0034232757807309577,-0.0012022261671818003
0.80292046,0.7686681,0.8658346,0.8318803,0.9429901,0.88,0.88,0.59149766,0.57538486,0.97959185,1.0,1.0,0.57538486,0.57538486,0.64513206,0.4824596,0.58901703,0.004846067211733795,0.0029049202265022224,7.541903762733174e-05,0.0007156848314495705,-0.0017036564889366737,0.00034400956597502996,0.0028148342392916303,0.0029540918712477686,0.004993182216455104,0.0,0.0,0.0,0.004777945504325734,0.0015581825928452332,0.0060833107578697875,0.002027362709040976,0.0005349023722286516
0.90918756,0.96153843,0.27193165,0.26126766,0.26126766,0.88,0.88,0.6883726,0.68670076,0.97959185,1.0,1.0,0.68670076,0.68670076,0.5865606,0.62690413,0.69526714,0.01754793499159455,0.0033385828260386594,-0.0011538853574896092,0.0009166972861378262,0.006005132864347626,0.0006207657885938487,0.0026310045765172807,-0.0038996718444875927,-0.0009782331603980924,0.0,0.0,0.0,-0.0002430661846279549,0.0026294788867847335,0.0012161058271985023,-0.0020943781820321142,-0.0001867964718008467
0.5711023,0.59886557,0.7962407,0.9924483,0.9220285,0.88,0.88,0.17087245,0.12868683,0.97959185,1.0,1.0,0.12868683,0.12868683,0.19941767,0.3302374,0.37526703,-0.01573419775841112,-0.003561766318491656,-0.0027276717802296267,-0.008882286069247673,-0.012436228388287219,-0.0008205092618164115,0.0029911051642864733,-0.01071861729017725,-0.019978521062230054,0.0,0.0,0.0,-0.01618203044234369,-0.010353880029816584,-0.016077934160380072,-0.0019514238192349011,0.0002799647606465344
0.61621255,0.5683737,0.73653704,0.9748012,0.9411765,0.88,0.47110862,0.48024762,0.46699437,0.97959185,1.0,1.0,0.46699437,0.46699437,0.2837034,0.41468185,0.5965171,-0.014044197826731743,-0.0041834802729646715,-0.00020247075771153293,-0.0030908561315261397,-0.005558960558237503,-0.0005915773037243952,-0.013803125050592766,0.002444517319089704,0.0008960582990045917,0.0,0.0,0.0,0.0027074921219333685,-0.00019255242259091045,-0.011378033572244555,0.001305340452025533,0.0004233096902919123
0.8074659,0.65426075,0.7998552,0.909908,0.8380805,0.88,0.88,0.5002477,0.48974237,0.97959185,1.0,1.0,0.48974237,0.48974237,0.34513202,0.54468185,0.62151706,0.008045929404075851,-0.00036871636439293477,-0.0006179286067439776,-0.0014468390678381027,0.0006456455950400347,-0.00047719842162988267,0.002295013292449254,0.003242025550818031,0.002625320616210781,0.0,0.0,0.0,0.003515654607087594,0.000614367895115029,-0.007981364323759664,0.0015091294538279586,0.0004230769338503518
0.90918756,0.96153843,0.4184031,0.40199512,0.40199512,0.88,0.88,0.8627479,0.868705,0.97959185,1.0,1.0,0.868705,0.868705,0.54513204,0.8591263,0.78776705,0.018363109967139683,0.003335895677677643,-0.004552884740418414,-0.0030923045824612374,-0.000490863946193671,0.00011376887650111234,0.0029987630373200813,-0.010080760401060478,-7.148218139560611e-05,0.0,0.0,0.0,-0.002659526004086269,0.006440804560763435,0.0018830907290307204,-0.008779858683785245,-4.7790007952153484e-05
0.8172455,0.77695835,0.82790416,0.8408133,0.74617654,0.88,0.88,0.33774757,0.30058834,0.97959185,1.0,1.0,0.30058834,0.30058834,0.6794177,0.34134844,0.43776703,0.007693188838947869,0.0033344474959044147,-0.0016461513354192486,-0.00041148888265913854,0.0011693569025986175,-0.0006345032052693139,0.003432441470323627,-0.0015776546383825401,-0.008630665205835596,0.0,0.0,0.0,-0.005253450813183969,-0.003483257559409261,0.006290787859645232,-0.0018387496603025555,-8.8991718760668e-05
0.83962846,0.7997301,0.7441193,0.9411765,0.6937002,0.77544713,0.88,0.60587275,0.59625274,0.97959185,1.0,1.0,0.59625274,0.59625274,0.5494177,0.5135708,0.6577671,0.01028304916117046,0.002139637142366495,0.0006096442286956241,-0.001131651348119506,0.001300818772731762,-0.0001309122248456651,0.003325422132565765,0.0015979050020618704,0.0042868416893206565,0.0,0.0,0.0,0.0023963369772751282,0.0021349048556459096,0.0016235848377013614,0.001558684030996903,0.00021430715793481148
0.7759921,0.7897744,0.793054,0.9924483,0.9220285,0.88,0.88,0.6864977,0.6808026,0.97959185,1.0,1.0,0.6808026,0.6808026,0.7551321,0.42357075,0.6765171,0.0044724990641728255,0.002632176029077439,0.0024577841697533075,0.001298721524567076,0.0016128444346843588,0.0008199159021642883,0.0028833217075931792,0.002368709498026615,0.006196892022413124,0.0,0.0,0.0,0.002897359530310916,0.002692664417689271,0.007306256928233886,0.0018791897963679723,0.000309294560334231
0.64803076,0.634719,0.87807,0.84363586,0.9748012,0.88,0.88,0.47837257,0.46528348,0.97959185,1.0,1.0,0.46528348,0.46528348,0.6279892,0.5235707,0.33401716,-0.009928478287260742,-0.001730104662525702,-0.001084049630150578,0.0003435161454553031,-0.009112994571307459,-0.0003403587820022622,0.003475220136445283,0.001047250802979057,-4.937483252908867e-05,0.0,0.0,0.0,0.0009499003780417487,0.0002101006049909702,0.004681024039936118,0.0011994497907449086,-0.0021308859584954383
0.90918756,0.96153843,0.2113296,0.20304215,0.20304215,0.88,0.88,0.5739975,0.54626006,0.97959185,1.0,1.0,0.54626006,0.54626006,0.4765606,0.53023744,0.77401704,0.016827782931753743,0.0035711852350210284,0.0013978696406325348,0.004628263701015658,0.009282158770984593,0.00046784391620484535,0.001469352417582475,0.00020582414659263567,0.0021633504688720107,0.0,0.0,0.0,0.0022059828961670273,0.0007559810597085394,0.0003955224522956212,0.0002521804891576321,-0.0014704599451260392
0.90918756,0.96153843,0.18561278,0.17833385,0.17833385,0.88,0.88,0.5164975,0.49295738,0.97959185,1.0,1.0,0.49295738,0.49295738,0.6208463,0.406904,0.63026714,0.01601295122944748,0.0034032291010235023,0.002843009675150293,0.004648653323300126,0.010115311938606255,0.0009401713850598555,0.001997918637284057,0.001674387467353683,0.0016980027255326033,0.0,0.0,0.0,0.0024691477154265445,-0.00019633785602223694,0.0005541321693181875,0.0034394103746482633,0.00013317813446420043
