Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,16,-0.1888238337630084,1.7671612291308317e-09
,4,-0.1888655702421382,1.7524373192985972e-09
,40,-0.1887891858235351,1.7794757972640567e-09
,53,-0.1888083862132595,1.7726413190495197e-09
,56,-0.18882537094681756,1.7666168086405792e-09
,67,-0.18874724473082355,1.7944942310316844e-09
,80,-0.18884061761795526,1.7612257624020248e-09
,81,-0.18873217942886153,1.7999189206554462e-09
,91,-0.18885506180137265,1.7561332332762289e-09
,93,-0.188832951793879,1.7639343051771175e-09
Pos1_Paired-Opening,16,0.1888238337630084,1.7671612291308317e-09
,4,0.1888655702421382,1.7524373192985972e-09
,40,0.1887891869586064,1.7794753924727974e-09
,53,0.1888083862132595,1.7726413190495197e-09
,56,0.18882537094681756,1.7666168086405792e-09
,67,0.18874724473082355,1.7944942310316844e-09
,80,0.18884061761795526,1.7612257624020248e-09
,81,0.18873217942886153,1.7999189206554462e-09
,91,0.18885506180137265,1.7561332332762289e-09
,93,0.188832951793879,1.7639343051771175e-09
Pos1_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
,81,,
,91,,
,93,,
Pos2_Unpaired,16,-0.2367537262824943,3.3109457456816306e-14
,4,-0.23680008624114404,3.272122549336691e-14
,40,-0.2367051884413923,3.352077447944288e-14
,53,-0.23673554155790494,3.326297369751765e-14
,56,0.04200531653916338,0.18442626380030397
,67,-0.07004773746055304,0.026756306812063486
,80,-0.23676731986542165,3.299515447445846e-14
,81,-0.2366394678904773,3.408570629635694e-14
,91,-0.1370910431957338,1.359314407900337e-05
,93,-0.1869207121108243,2.5828165768009886e-09
Pos2_Paired-Opening,16,0.2367537262824943,3.3109457456816306e-14
,4,0.23680008624114404,3.272122549336691e-14
,40,0.2367051884413923,3.352077447944288e-14
,53,0.23673554155790494,3.326297369751765e-14
,56,0.23675146506606176,3.3128508800670825e-14
,67,0.23665393846787172,3.396052052038948e-14
,80,0.23676731986542165,3.299515447445846e-14
,81,0.2366394678904773,3.408570629635694e-14
,91,0.23679362006535848,3.27751056722047e-14
,93,0.23676623534037747,3.3004259568019366e-14
Pos2_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
,81,,
,91,,
,93,,
Pos3_Unpaired,16,-0.24248962987257233,7.548757377574265e-15
,4,-0.24248744381274173,7.553067556858792e-15
,40,-0.24248757475642468,7.552809311603215e-15
,53,-0.2424891366399315,7.54972965626636e-15
,56,0.24248771224752005,7.552538162973367e-15
,67,-0.24248730195732465,7.553347331872306e-15
,80,-0.24248891985131588,7.550157037053029e-15
,81,-0.24248764677554077,7.552667280232846e-15
,91,-0.1939902920125425,6.183089084997084e-10
,93,-0.24248890966663011,7.550177115901544e-15
Pos3_Paired-Opening,16,0.24248962987257233,7.548757377574265e-15
,4,0.24248744381274173,7.553067556858792e-15
,40,0.24248757475642468,7.552809311603215e-15
,53,0.2424891366399315,7.54972965626636e-15
,56,0.24248771224752005,7.552538162973367e-15
,67,0.24248730195732465,7.553347331872306e-15
,80,0.24248891985131588,7.550157037053029e-15
,81,0.24248764677554077,7.552667280232846e-15
,91,0.2424878650156781,7.552236897396855e-15
,93,0.24248890966663011,7.550177115901544e-15
Pos3_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
,81,,
,91,,
,93,,
Pos4_Unpaired,16,-0.2807366716570509,1.4406706959117332e-19
,4,-0.2807366716570509,1.4406706959117332e-19
,40,-0.2807366716570509,1.4406706959117332e-19
,53,-0.2807366716570509,1.4406706959117332e-19
,56,-0.14651823322636462,3.2769787466044807e-06
,67,-0.2807366716570509,1.4406706959117332e-19
,80,-0.2807366716570509,1.4406706959117332e-19
,81,-0.2807366716570509,1.4406706959117332e-19
,91,-0.2807366716570509,1.4406706959117332e-19
,93,-0.2807366716570509,1.4406706959117332e-19
Pos4_Paired-Opening,16,0.2807366716570509,1.4406706959117332e-19
,4,0.2807366716570509,1.4406706959117332e-19
,40,0.2807366716570509,1.4406706959117332e-19
,53,0.2807366716570509,1.4406706959117332e-19
,56,0.2807366716570509,1.4406706959117332e-19
,67,0.2807366716570509,1.4406706959117332e-19
,80,0.2807366716570509,1.4406706959117332e-19
,81,0.2807366716570509,1.4406706959117332e-19
,91,0.2807366716570509,1.4406706959117332e-19
,93,0.2807366716570509,1.4406706959117332e-19
Pos4_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
,81,,
,91,,
,93,,
Pos5_Unpaired,16,-0.23646787502122968,3.560515639986445e-14
,4,-0.23646787502122968,3.560515639986445e-14
,40,-0.23646787502122968,3.560515639986445e-14
,53,-0.23646787502122968,3.560515639986445e-14
,56,-0.23646787502122968,3.560515639986445e-14
,67,-0.23641712811956736,3.6067125958107413e-14
,80,-0.23646787502122968,3.560515639986445e-14
,81,-0.23646787502122968,3.560515639986445e-14
,91,-0.23646787502122968,3.560515639986445e-14
,93,-0.2115765197558371,1.3901693297543241e-11
Pos5_Paired-Opening,16,0.23646787502122968,3.560515639986445e-14
,4,0.23646787502122968,3.560515639986445e-14
,40,0.23646787502122968,3.560515639986445e-14
,53,0.01394271123173622,0.6596639380016471
,56,0.23646787502122968,3.560515639986445e-14
,67,0.23646787502122968,3.560515639986445e-14
,80,0.23646787502122968,3.560515639986445e-14
,81,0.23646787502122968,3.560515639986445e-14
,91,0.23646787502122968,3.560515639986445e-14
,93,0.23646787502122968,3.560515639986445e-14
Pos5_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
