Feature,Model,Spearman Correlation,P-Value
crRNA spacer,18,0.941745029627557,0.0
,23,0.9407025579116902,0.0
,24,0.9460592459689735,0.0
,25,0.9670199128483722,0.0
,44,0.9631893189550311,0.0
,67,0.9641504396896982,0.0
,70,0.9600874582084395,0.0
,95,0.9610110045980667,0.0
,96,0.9765333259304096,0.0
,97,0.9670067209597987,0.0
bh_maximal consecutive paired bases,18,0.9695933668927946,0.0
,23,0.6775732448849098,2.477244351214107e-135
,24,0.89791541160751,0.0
,25,0.8962699854048068,0.0
,44,-0.5391121255290507,1.784180564488775e-76
,67,0.9553074597389315,0.0
,70,0.9798529594791531,0.0
,95,0.9305441196305911,0.0
,96,0.45194531499297713,1.705325644440364e-51
,97,0.9229408681417941,0.0
bh_maximal consecutive unpaired bases,18,-0.97439712875426,0.0
,23,-0.9867121567709588,0.0
,24,-0.9835039914723801,0.0
,25,-0.9675217251127112,0.0
,44,-0.9691541068263809,0.0
,67,-0.4308893902737132,1.805451454159594e-46
,70,-0.9790879094257899,0.0
,95,-0.9592153002155878,0.0
,96,-0.9809134735789499,0.0
,97,-0.9849740428167482,0.0
bh_5' overhang,18,-0.8262556842752515,5.2428879371510756e-251
,23,-0.8372596502492636,6.8619274622770995e-264
,24,-0.8183624368363871,2.589878108287585e-242
,25,-0.8742672790741781,1.690934673e-315
,44,-0.8772615495852213,2.235e-320
,67,-0.876093450920136,1.851817e-318
,70,-0.875872320903851,4.25183e-318
,95,-0.8857571353978819,0.0
,96,-0.8739469870085131,5.528432267e-315
,97,-0.8903574138824331,0.0
bh_3' overhang,18,0.2924217711159843,3.630064706985936e-21
,23,0.5260759814927969,2.9056497446720563e-72
,24,-0.577997686402915,3.3624384097115513e-90
,25,0.37797070079120726,2.5977764430008496e-35
,44,0.744772002117383,1.6395563694310226e-177
,67,-0.22568714066505152,5.149525317665844e-13
,70,-0.3133946471443657,3.150542515059241e-24
,95,-0.08521889926239286,0.007009470265530244
,96,0.3619455579320681,2.573431795039523e-32
,97,-0.5795930633424422,8.387237743434018e-91
bh_5' stem,18,0.8068671227458859,2.2062879394175503e-230
,23,0.8038732603112516,2.0869547019380716e-227
,24,0.6787298536387958,5.805014992467252e-136
,25,0.7750138107723266,3.891426432593445e-201
,44,0.7328632271227393,4.172074500946465e-169
,67,0.7788120948822533,2.29818601773295e-204
,70,0.7542538511321117,1.511542821923298e-184
,95,0.8221137529142114,2.1644005742326984e-246
,96,0.7955164986639232,2.29273599567868e-219
,97,-0.026157286404604442,0.40864933304819717
bh_3' stem,18,0.7405485695837747,1.773051651079011e-174
,23,0.7144071621855949,6.147313928230126e-157
,24,0.7406645139205994,1.466298237256009e-174
,25,0.7162699525536605,4.024871556475178e-158
,44,0.7414721229512793,3.893549343604026e-175
,67,0.5632382720839971,8.938232975980917e-85
,70,0.7436882461931374,9.976280708836018e-177
,95,0.748311073532572,4.2244361322928395e-180
,96,0.6694342620151151,5.594716830632766e-131
,97,0.7270820404863126,3.4633227452313135e-165
dsDNA target,18,0.6680430008689217,3.0072629459527797e-130
,23,0.21971601954567085,2.1351346977584325e-12
,24,0.8561815038905604,1.8226315974601255e-288
,25,0.41347283555661135,1.4222009359057046e-42
,44,0.9827512264021392,0.0
,67,0.8975933661495474,0.0
,70,0.13884916215868448,1.0497387949370594e-05
,95,0.7145157932253978,5.246915179293807e-157
,96,0.7926212001940631,1.1458645722806604e-216
,97,0.9316604666569145,0.0
ah_maximal consecutive paired bases,18,-0.36793842793842796,2.0412795897388192e-33
,23,0.6007521727521727,3.986290577340178e-99
,24,0.5396093156093157,1.2221583031491067e-76
,25,0.7034735354735355,3.553059230698539e-150
,44,0.49669398469398474,2.0439153290732996e-63
,67,0.4006246846246847,7.648557498365841e-40
,70,-0.15533689133689135,7.972847577019261e-07
,95,0.9744729144729145,0.0
,96,0.8679159279159281,1.4973588789892693e-305
,97,0.8320497520497521,1.1291778713272096e-257
ah_maximal consecutive unpaired bases,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
ah_5' overhang,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
ah_3' overhang,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
ah_5' stem,18,0.9861596181596183,0.0
,23,0.9892229812229812,0.0
,24,0.4468524988524989,3.01800336915157e-50
,25,0.2426946506946507,7.155087833825329e-15
,44,-0.23927720327720328,1.7359487983157613e-14
,67,0.7284067404067404,4.4710864253511434e-166
,70,0.27038681438681444,3.252637254346176e-18
,95,0.26456594456594457,1.7711916530915475e-17
,96,0.12115455715455715,0.00012273036231068667
,97,0.8475695955695955,7.251910392317207e-277
ah_3' stem,18,0.8923051123051124,0.0
,23,0.2786119586119586,2.7618051961996604e-19
,24,0.9388464268464268,0.0
,25,0.8916338196338196,0.0
,44,0.9331103851103851,0.0
,67,0.9598200718200719,0.0
,70,0.031462087462087465,0.32026169390728654
,95,0.9907734427734428,0.0
,96,0.6601094161094161,3.702855495475111e-126
,97,0.980977328977329,0.0
PAM-proximal region,18,0.8991005204740061,0.0
,23,-0.047783380849741465,0.13103937474880478
,24,0.9688330802071676,0.0
,25,-0.08352460918379284,0.008227331328235409
,44,0.6008569733812708,3.61233227661169e-99
,67,0.7978632637211838,1.3824259953514828e-221
,70,0.6016747071833716,1.672749000912662e-99
,95,-0.3904596792641211,9.132016654488217e-38
,96,0.6957029160995909,1.4808518223235016e-145
