Feature,Model,Spearman Correlation,P-Value
crRNA spacer,21,-0.9220887507770035,0.0
,23,0.38029875652113093,9.229667732467707e-36
,24,0.9823117293849496,0.0
,41,-0.9538527034057013,0.0
,44,0.8173718484333209,2.9811188554965125e-241
,59,0.9383594982134105,0.0
,6,0.9079955784028466,0.0
,61,0.8269547105429975,8.481599344476304e-252
,64,-0.3143920103355854,2.2208063309165734e-24
,80,0.9333631223558435,0.0
bh_maximal consecutive paired bases,21,0.030274952120940432,0.33887025261111725
,23,-0.9101087944015476,0.0
,24,0.41607606757648574,3.846178428681352e-43
,41,0.7613983080673222,4.595741745035626e-190
,44,-0.9547214425465419,0.0
,59,-0.7116316390838953,3.4291611053905273e-155
,6,0.9201370927938879,0.0
,61,-0.10724071680987696,0.0006817683012723847
,64,0.1902028958895929,1.3389855820286188e-09
,80,0.7696533322068502,1.097661718837156e-196
bh_maximal consecutive unpaired bases,21,0.9777943050346413,0.0
,23,0.2718309292371438,2.1224042792873684e-18
,24,-0.7514710653358844,1.8932254055512914e-182
,41,0.6682819019760762,2.254414291423144e-130
,44,0.9630430465619674,0.0
,59,-0.8803468868221705,0.0
,6,-0.9156570988516194,0.0
,61,-0.8210956481224453,2.8283928354726444e-245
,64,0.3737808522448572,1.6378407411006061e-34
,80,-0.7980275943207603,9.640684335431721e-222
bh_5' overhang,21,0.8191619964057946,3.5650183709022297e-243
,23,-0.20194474227708986,1.159239580248458e-10
,24,-0.0829781395042575,0.008658645660617022
,41,0.6456080228164057,5.38294676433536e-119
,44,0.5812486637893803,1.9691975890589912e-91
,59,0.8658894702685811,1.7406274764407388e-302
,6,0.8529668003591548,4.757858195838482e-284
,61,0.8119785093981707,1.3816681404645195e-235
,64,0.5673233806633751,3.000702843106125e-86
,80,0.6430765811018997,8.7414152539128e-118
bh_3' overhang,21,-0.9280897009592726,0.0
,23,0.7702384678451988,3.635638759761353e-197
,24,0.8929844832245978,0.0
,41,-0.02661461616081615,0.4005023799390578
,44,-0.8931003440977446,0.0
,59,0.9274724071494634,0.0
,6,0.9201836835786925,0.0
,61,0.8177249776055632,1.2498447937489255e-241
,64,-0.9185091404664163,0.0
,80,0.8741517602794765,2.593245043e-315
bh_5' stem,21,0.5761138094804521,1.7158221044130386e-89
,23,0.7764061462171529,2.593901363901169e-202
,24,-0.7905476740305047,9.237294644258258e-215
,41,-0.7574667632818148,5.273677687145335e-187
,44,-0.7401451242973593,3.431188063560919e-174
,59,-0.8275653004709719,1.7161318982316898e-252
,6,-0.6895721862452432,5.154186117520204e-142
,61,-0.6519980872524693,4.201735529398282e-122
,64,-0.8061544823634627,1.1395452884051368e-229
,80,-0.7899913209306052,2.9742575011277027e-214
bh_3' stem,21,0.2247380058204612,6.473354544211063e-13
,23,-0.6631230665609423,1.0704235615678917e-127
,24,-0.6835180263539394,1.3299338039037569e-138
,41,-0.4433392114475582,2.129774729387031e-49
,44,-0.6853872408139143,1.2005541986330112e-139
,59,0.15428957327494144,9.469912278181448e-07
,6,-0.6825397905665941,4.648447308875784e-138
