Feature,Average_Importance_Magnitude,Number_of_Models
Pos14_Unpaired,0.029543287120248,10
Pos1_Unpaired,0.0278622972191776,10
Pos14_Paired-Opening,0.0237086805554357,10
Pos12_Unpaired,0.0234392363718172,10
Pos13_Unpaired,0.0232946024958146,10
Pos15_Unpaired,0.0228654110515424,10
Pos4_Unpaired,0.0222307167551567,10
Pos8_Unpaired,0.0204944439760935,10
Pos1_Paired-Opening,0.0197378606047788,10
Pos12_Paired-Opening,0.0190889064107162,10
Pos15_Paired-Opening,0.0188980594772264,10
Pos13_Paired-Opening,0.0187104172220732,10
Pos11_Unpaired,0.018638398014557,10
Pos2_Unpaired,0.0179827757504438,10
Pos4_Paired-Opening,0.0177651640473647,10
Pos6_Unpaired,0.0170604540991196,10
Pos3_Unpaired,0.0163370940142136,10
Pos8_Paired-Opening,0.0160381482736706,10
Pos17_Unpaired,0.0158944334075064,10
Pos16_Unpaired,0.0147785726703419,10
Pos5_Unpaired,0.0144870929335438,10
Pos7_Unpaired,0.0143213691793051,10
Pos2_Paired-Opening,0.0139000586767392,10
Pos11_Paired-Opening,0.0132635366547792,10
Pos9_Unpaired,0.0123684743943368,10
Pos10_Unpaired,0.0119852101946439,10
Pos6_Paired-Opening,0.0115901100523325,10
Pos16_Paired-Opening,0.011451466751251,10
Pos3_Paired-Opening,0.0112974390329765,10
Pos7_Paired-Opening,0.0111182400192829,10
Pos18_Unpaired,0.0110604890026208,10
Pos17_Paired-Opening,0.0105396440668037,10
Pos5_Paired-Opening,0.0096325034734566,10
Pos18_Paired-Opening,0.008773322347554,10
Pos9_Paired-Opening,0.0078773416135917,10
Pos20_Unpaired,0.0063339248891074,10
Pos10_Paired-Opening,0.0058673095944366,10
Pos19_Unpaired,0.00564495240506,10
Pos19_Paired-Opening,0.0052616750084081,10
Pos20_Paired-Opening,0.0049770696365848,10
Pos1_Paired-Closing,0.0001465738461131,10
Pos3_Paired-Closing,0.0001330536324138,10
Pos5_Paired-Closing,0.0001261070213206,10
Pos2_Paired-Closing,0.0001050571570691,10
Pos4_Paired-Closing,0.0001044815942268,10
Pos7_Paired-Closing,7.395277829909684e-05,10
Pos6_Paired-Closing,6.61151688758608e-05,10
Pos8_Paired-Closing,5.9544503864986936e-05,10
Pos9_Paired-Closing,4.44089000101135e-05,10
Pos10_Paired-Closing,2.122333063168733e-05,10
Pos12_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
