Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,38,0.7573048190777983,7.028960254958827e-187
,46,0.06618748688789758,0.03637510637550925
,47,0.7922049151505106,2.777253565942566e-216
,52,0.763515339646293,9.773820969565999e-192
,54,-0.26737805808484366,7.851242780102e-18
,57,0.7230787917009349,1.565672896412808e-162
,59,0.7922049151505106,2.777253565942566e-216
,75,0.7495643897838938,4.994587378793283e-181
,77,0.6334806717920406,2.6798912468035124e-113
,95,-0.012042350858422835,0.7036855709769532
Pos1_Paired-Opening,38,-0.5895753208950109,1.1849231243290038e-94
,46,-0.5130950322356689,3.0113156884707483e-68
,47,-0.7922049151505106,2.777253565942566e-216
,52,-0.7447171542182394,1.7968495778735701e-177
,54,0.6467196839307342,1.56952182319008e-119
,57,-0.5945058683219501,1.3245122322629734e-96
,59,-0.7896676902841133,5.862404400916253e-214
,75,-0.6913672677737547,4.834558911188062e-143
,77,-0.49079017482808696,9.690519028270302e-62
,95,0.5837434906050827,2.1832443289560658e-92
Pos1_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos2_Unpaired,38,0.5086664188780206,6.448571691046697e-67
,46,-0.7997428925524855,2.195208696629135e-223
,47,-0.05643625744706519,0.07444627058762886
,52,0.20670486226900467,4.116884445628383e-11
,54,0.18223960851488905,6.4601996974027195e-09
,57,-0.07779447983115184,0.013865444820078093
,59,-0.17227616185189737,4.203687763244917e-08
,75,-0.6483431886699962,2.5705932027739113e-120
,77,0.5593773600926728,2.116464383308815e-83
,95,-0.757159107550673,9.10075317669261e-187
Pos2_Paired-Opening,38,-0.6539148988571493,4.7478908963088695e-123
,46,0.8386052220032296,1.567225355156573e-265
,47,-0.36785855002549506,2.1121576087798606e-33
,52,-0.07451987822993031,0.0184304057184439
,54,0.33220100124630886,3.435388803828623e-27
,57,0.08077583352778636,0.010608476277372707
,59,0.3319566279924863,3.765498149573611e-27
,75,0.5348422854088937,4.480132828195208e-75
,77,0.3371652693453888,5.232175702073017e-28
,95,0.8330963506527739,6.626605698423017e-259
Pos2_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos3_Unpaired,38,-0.8022896459572068,7.461763481926661e-226
,46,-0.8627965242604072,6.667211799802059e-298
,47,-0.8631093470457524,2.3201140275729466e-298
,52,-0.7803155831910743,1.1629027014192816e-205
,54,0.26185700199495743,3.842931375094387e-17
,57,-0.39869959153982226,1.9165029771189826e-39
,59,-0.6654053467076292,7.113307728060219e-129
,75,-0.517377604682313,1.489866785050593e-69
,77,0.7088877138706026,1.7438805251754303e-153
,95,0.45375640176056536,6.066053896182097e-52
Pos3_Paired-Opening,38,0.7815599227150026,9.666576183540062e-207
,46,0.8631093470457524,2.3201140275729466e-298
,47,0.853703808633042,4.722860029382823e-285
,52,0.6796144527797503,1.9049173524988527e-136
,54,0.20823222496934982,2.9375425768103116e-11
,57,-0.25861059664482017,9.609467919099926e-17
,59,0.6858987149564614,6.197460187138063e-140
,75,0.7295896306429981,7.11291001185434e-167
,77,-0.15326578577548414,1.1192352625215284e-06
,95,0.19784650849589144,2.770309280088331e-10
Pos3_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos4_Unpaired,38,0.839850406530059,4.599930867772383e-267
,46,-0.5804468077864052,3.976882908009345e-91
,47,-0.02609038674226999,0.4098493009806705
,52,0.8352210060347164,1.9714945668145117e-261
,54,0.7276874624299388,1.3608576727160562e-165
,57,0.8301200925259593,2.0003692857612597e-255
,59,0.8397503886181226,6.113961268476605e-267
,75,0.8394860555651478,1.2956718601927566e-266
,77,0.8232260007389137,1.2815283190992472e-247
,95,0.5908129499449578,3.8633854323600577e-95
Pos4_Paired-Opening,38,-0.839850406530059,4.599930867772383e-267
,46,0.2679694184873508,6.6084765419444005e-18
,47,-0.8038796789157848,2.0567818829759806e-227
,52,-0.7563854590191225,3.575984451155409e-186
,54,-0.7304665315544577,1.809101916731244e-167
,57,-0.8383358495778789,3.3490090854292407e-265
,59,-0.8391645694196379,3.223986975258928e-266
,75,-0.8347494930213019,7.22087708213382e-261
,77,-0.8215971376016635,7.991361270170794e-246
,95,-0.48527262044234154,3.335959318239912e-60
Pos4_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos5_Unpaired,38,0.8222029411872284,1.726694989030585e-246
,46,0.26741982368561773,7.756379728004064e-18
,47,0.8087248623980579,2.956109104459179e-232
,52,0.8168394393409694,1.1015925615304128e-240
,54,0.7982386689925149,6.065049753368724e-222
,57,0.8222175357500754,1.664002330103681e-246
,59,0.8222248330314988,1.633512747700647e-246
,75,0.8222248330314988,1.633512747700647e-246
,77,0.8219548336188299,3.236228511832133e-246
,95,0.6681500330561088,2.643149960285627e-130
Pos5_Paired-Opening,38,-0.8222248330314988,1.633512747700647e-246
,46,-0.4943725732373183,9.40471065559322e-63
,47,-0.8200137567601838,4.2649212648294763e-244
,52,-0.8066962181623301,3.2729610995041092e-230
,54,-0.7199242447557106,1.7955966940287684e-160
,57,-0.8216337532361968,7.285754363620278e-246
,59,-0.8222248330314988,1.633512747700647e-246
,75,-0.8222248330314988,1.633512747700647e-246
,77,-0.8188899754209678,7.007093292921462e-243
,95,-0.28810031923976454,1.4451877970359825e-20
Pos5_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos6_Unpaired,38,0.7489011093743303,1.548515980528284e-180
,46,0.7067660614015325,3.526014478770262e-152
,47,0.8109462063453324,1.5996701632146282e-234
,52,0.8112494426042203,7.80321530757355e-235
,54,0.7784703426190634,4.5135175642206524e-204
,57,0.8074774793839067,5.377329192451193e-231
,59,0.8112494426042203,7.80321530757355e-235
,75,0.811242046597906,7.941163448566537e-235
,77,0.8105764060296154,3.832297452862925e-234
,95,0.5319762441747241,3.799483336413854e-74
Pos6_Paired-Opening,38,-0.5016452222796138,7.576414260904285e-65
,46,-0.4178706587570794,1.550927037172141e-43
,47,-0.8107982862190456,2.2693545096245406e-234
,52,-0.804289800662426,8.101653151068305e-228
,54,-0.6990668188283041,1.5448307936837283e-147
,57,-0.8110941264716192,1.1272609007965354e-234
,59,-0.8112494426042203,7.80321530757355e-235
,75,-0.8112494426042203,7.80321530757355e-235
,77,-0.8071298670871327,1.2022863795021437e-230
,95,-0.23617297163267706,3.837335824657608e-14
Pos6_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos7_Unpaired,38,0.758786910639328,5.0264405808715877e-188
,46,0.7480407999201304,6.683603970801259e-180
,47,0.758786910639328,5.0264405808715877e-188
,52,0.758786910639328,5.0264405808715877e-188
,54,0.7446564471697136,1.988544293388157e-177
,57,0.7529354596222523,1.5023567857766063e-183
,59,0.758786910639328,5.0264405808715877e-188
,75,0.758786910639328,5.0264405808715877e-188
,77,0.7587631885406102,5.243999913419682e-188
,95,0.49060067726750506,1.095462277760711e-61
Pos7_Paired-Opening,38,-0.758786910639328,5.0264405808715877e-188
,46,-0.7120306540663953,1.9292408321870706e-155
,47,-0.758786910639328,5.0264405808715877e-188
,52,-0.758786910639328,5.0264405808715877e-188
,54,-0.5151925862717027,6.944006893003866e-69
,57,-0.7531173290457559,1.0953828509510242e-183
,59,-0.758786910639328,5.0264405808715877e-188
,75,-0.758786910639328,5.0264405808715877e-188
,77,-0.7587710959068494,5.1704563025095915e-188
,95,-0.24674540981398313,2.4582207504315466e-15
Pos7_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos8_Unpaired,38,0.7662464271587746,6.405604433139331e-194
,46,0.3860733118511459,6.832910681830208e-37
,47,0.519510935338969,3.2793361443864605e-70
,52,0.7662464271587746,6.405604433139331e-194
,54,0.7544538644586595,1.0655114561329954e-184
,57,0.7102513303005255,2.4890910252468494e-154
,59,0.7662464271587746,6.405604433139331e-194
,75,0.7662464271587746,6.405604433139331e-194
,77,0.7662464271587746,6.405604433139331e-194
,95,0.34947408339142605,4.235748256012524e-30
Pos8_Paired-Opening,38,-0.7662464271587746,6.405604433139331e-194
,46,-0.2173676256798443,3.694152366751818e-12
,47,-0.6882009607364324,3.106192372067215e-141
,52,-0.7661054801942314,8.31721350702385e-194
,54,-0.7446267288752303,2.0896898128205168e-177
,57,-0.6939406343481087,1.576534242593047e-144
,59,-0.7582437717274879,1.3245228633717568e-187
,75,-0.7656748089136827,1.845169951283203e-193
,77,-0.7662385967718556,6.499249408174587e-194
,95,-0.04839570635329447,0.12616811189508134
Pos8_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos9_Unpaired,38,0.7707454794214456,1.3919050651534147e-197
,46,0.3850146444855553,1.105550931137359e-36
,47,0.6574083406559234,8.566600965199757e-125
,52,0.7707454794214456,1.3919050651534147e-197
,54,0.7519921881729985,7.699899753476951e-183
,57,0.6323183208577725,9.137484021280402e-113
,59,0.7707454794214456,1.3919050651534147e-197
,75,0.7707454794214456,1.3919050651534147e-197
,77,0.7682388128452731,1.5656693120227021e-195
,95,0.21615717646145038,4.888492703547918e-12
Pos9_Paired-Opening,38,-0.7709539882565623,9.371682319899705e-198
,46,-0.27837575209487847,2.967982402401174e-19
,47,-0.7324640237904333,7.839110343126747e-169
,52,-0.7716304785411184,2.5893647045211328e-198
,54,-0.7469424710300155,4.286182969147829e-179
,57,-0.6895574330986961,5.2550410457553516e-142
,59,-0.7715527210371464,3.0026245024459192e-198
,75,-0.7716304785411184,2.5893647045211328e-198
,77,-0.7710395215109314,7.966971344789975e-198
,95,-0.15740840316567287,5.653786244465641e-07
Pos9_Paired-Closing,38,1.0,0.0
,46,-1.0,0.0
,47,1.0,0.0
,52,1.0,0.0
,54,1.0,0.0
,57,-1.0,0.0
,59,1.0,0.0
,75,1.0,0.0
,77,1.0,0.0
,95,1.0,0.0
Pos10_Unpaired,38,0.7750845999938786,3.39246175372679e-201
,46,0.7138743033245237,1.3353857387369569e-156
,47,0.7354530838647118,6.779816823299408e-171
,52,0.7764443166744102,2.407630218842147e-202
,54,0.3773943579913899,3.351955582870982e-35
,57,0.4264824347631239,1.8373660621233606e-45
,59,0.7539667403623453,2.4954951583774424e-184
,75,0.7792482522020601,9.69434192590828e-205
,77,0.2526614780942621,4.98620630359251e-16
,95,0.02832358983683625,0.37093153277513125
Pos10_Paired-Opening,38,-0.7730021295753479,1.8818382995809936e-199
,46,-0.7533262837849924,7.616875694491124e-184
,47,-0.7353463669804671,8.041877503674851e-171
,52,-0.7039831915728295,1.7471102256521685e-150
,54,-0.2043440950189082,6.90105432347885e-11
,57,-0.4032819367775568,2.131055823680937e-40
,59,-0.7073136584499802,1.6270125854621438e-152
,75,-0.7358451696233583,3.618378361306443e-171
,77,-0.26346371903173915,2.4300144720752312e-17
,95,0.09765404664788165,0.001990663928379797
Pos10_Paired-Closing,38,-1.0,0.0
,46,1.0,0.0
,47,1.0,0.0
,52,1.0,0.0
,54,-1.0,0.0
,57,1.0,0.0
,59,-1.0,0.0
,75,-1.0,0.0
,77,-1.0,0.0
,95,-1.0,0.0
Pos11_Unpaired,38,0.7042376515055059,1.2250517381500358e-150
,46,0.6052233491983862,5.770036032803889e-101
,47,0.5914145363766289,2.2367643909752763e-95
,52,0.7333109069906305,2.0539303709892616e-169
,54,0.5134085134051742,2.4200075971268435e-68
,57,0.5154385269140138,5.84268159191643e-69
,59,0.5904939488551785,5.159683667823904e-95
,75,0.6940089012671671,1.438967147527898e-144
,77,0.5764805610286542,1.2503612254731838e-89
,95,0.5037069372175806,1.8906993068557888e-65
Pos11_Paired-Opening,38,-0.5839985410960484,1.7417466749017725e-92
,46,-0.6689345071348286,1.0247074729555295e-130
,47,-0.6574747057840643,7.93336861014956e-125
,52,-0.3884676428433867,2.2863777164123247e-37
,54,-0.6538483850826583,5.122418606454871e-123
,57,-0.5368799195147901,9.677508078180636e-76
,59,-0.4702089930261662,3.7914306851237004e-56
,75,-0.6023420724362785,8.909204780002664e-100
,77,-0.7090202643254809,1.4439345300960975e-153
,95,-0.521212958216074,9.726660518275531e-71
Pos11_Paired-Closing,38,0.0,1.0
,46,0.0,1.0
,47,0.0,1.0
,52,0.9999994989983726,0.0
,54,0.9999994989983726,0.0
,57,0.9999994989983726,0.0
,59,0.9999994989983726,0.0
,75,0.9999994989983726,0.0
,77,-0.9999994989983726,0.0
,95,0.0,1.0
Pos12_Unpaired,38,0.511023611368722,1.2694494420660107e-67
,46,-0.5242480645808759,1.0946177335443578e-71
,47,0.7026261304996924,1.1527217701387988e-149
,52,0.7235189583836547,8.036207960966319e-163
,54,-0.2724656533309554,1.7578534237278845e-18
,57,-0.2408305256655854,1.1622991340752057e-14
,59,0.2875229549373357,1.7350172614732026e-20
,75,0.35699037479384577,2.009145890915404e-31
,77,-0.36475737807879627,7.888996036889708e-33
,95,0.3366810995376417,6.2958392283227495e-28
Pos12_Paired-Opening,38,-0.5063010082634379,3.252638597445417e-66
,46,-0.06342027228366841,0.044959260476732085
,47,-0.73189182110269,1.9320779155154612e-168
,52,-0.5720853542668347,5.404058618283311e-88
,54,0.5637926589310801,5.654803124306502e-85
,57,0.416212181661377,3.590842491279728e-43
,59,-0.45838856791940935,4.191703566558125e-53
,75,-0.5636779378493603,6.217185017723653e-85
,77,0.09784479116262583,0.001950356353129281
,95,-0.39767653260062913,3.114916526862733e-39
Pos12_Paired-Closing,38,0.0,1.0
,46,-0.9999994989983726,0.0
,47,-0.9999994989983726,0.0
,52,0.9999994989983726,0.0
,54,0.0,1.0
,57,0.0,1.0
,59,0.0,1.0
,75,0.0,1.0
,77,-0.9999994989983726,0.0
,95,0.0,1.0
Pos13_Unpaired,38,0.6781131615279709,1.2593955454495926e-135
,46,-0.25349334248260497,3.9709344444611707e-16
,47,0.4425504725835079,3.2921972048240912e-49
,52,0.67739646627182,3.090505883052507e-135
,54,-0.03803351306869151,0.22949691333551164
,57,-0.2767284257252207,4.894255828285612e-19
,59,0.5255544009532637,4.2458464309916797e-72
,75,0.67491900118883,6.74852453219406e-134
,77,0.24545927714205082,3.458227848583052e-15
,95,0.3749687643553666,9.744016800229939e-35
Pos13_Paired-Opening,38,-0.679534848468025,2.1061741171387667e-136
,46,0.11452814760756137,0.0002843938210299715
,47,-0.597917492470623,5.646034462851124e-98
,52,-0.6670899606731626,9.467162312076541e-130
,54,0.4749989399469494,2.0468579659769875e-57
,57,0.18682283147594986,2.6334448792553577e-09
,59,-0.6097819120008487,7.169788143271946e-103
,75,-0.6745656883237867,1.0450135172897127e-133
,77,-0.1929353382020484,7.679983835852984e-10
,95,-0.28858067726150394,1.2409126609831748e-20
Pos13_Paired-Closing,38,0.3333328875524378,2.2435924204694973e-27
,46,0.3333328875524378,2.2435924204694973e-27
,47,0.3333328875524378,2.2435924204694973e-27
,52,-0.3333328875524378,2.2435924204694973e-27
,54,0.9999986626573133,0.0
,57,-0.3333328875524378,2.2435924204694973e-27
,59,-0.3333328875524378,2.2435924204694973e-27
,75,-0.3333328875524378,2.2435924204694973e-27
,77,-0.3333328875524378,2.2435924204694973e-27
,95,0.9999986626573133,0.0
Pos14_Unpaired,38,0.6150515249053353,4.1072159205306364e-105
,46,0.6150515249053353,4.1072159205306364e-105
,47,0.6150515249053353,4.1072159205306364e-105
,52,0.6150515249053353,4.1072159205306364e-105
,54,0.6116079075298185,1.2117802303061386e-103
,57,0.5670945191885065,3.633698386891557e-86
,59,0.6150515249053353,4.1072159205306364e-105
,75,0.6150515249053353,4.1072159205306364e-105
,77,0.6150515249053353,4.1072159205306364e-105
,95,0.6150515249053353,4.1072159205306364e-105
Pos14_Paired-Opening,38,-0.6201591606977879,2.509459200816638e-107
,46,-0.6201591606977879,2.509459200816638e-107
,47,-0.6201591606977879,2.509459200816638e-107
,52,-0.6201591606977879,2.509459200816638e-107
,54,-0.6201591606977879,2.509459200816638e-107
,57,-0.591898645274138,1.439654794103078e-95
,59,-0.6201591606977879,2.509459200816638e-107
,75,-0.6201591606977879,2.509459200816638e-107
,77,-0.6201591606977879,2.509459200816638e-107
,95,-0.6201591606977879,2.509459200816638e-107
Pos14_Paired-Closing,38,0.3333328875524378,2.2435924204694973e-27
,46,0.3333328875524378,2.2435924204694973e-27
,47,0.3333328875524378,2.2435924204694973e-27
,52,0.3333328875524378,2.2435924204694973e-27
,54,-0.3333328875524378,2.2435924204694973e-27
,57,-0.9999986626573133,0.0
,59,-0.9999986626573133,0.0
,75,-0.3333328875524378,2.2435924204694973e-27
,77,-0.3333328875524378,2.2435924204694973e-27
,95,-0.3333328875524378,2.2435924204694973e-27
Pos15_Unpaired,38,0.6639860246100372,3.850867967117498e-128
,46,0.6639860246100372,3.850867967117498e-128
,47,0.6639860246100372,3.850867967117498e-128
,52,0.6639860246100372,3.850867967117498e-128
,54,0.5253142925804829,5.054716120896525e-72
,57,0.6535490475154109,7.207240015978931e-123
,59,0.6639860246100372,3.850867967117498e-128
,75,0.6639860246100372,3.850867967117498e-128
,77,0.579279337783174,1.1027240298267664e-90
,95,0.6639860246100372,3.850867967117498e-128
Pos15_Paired-Opening,38,-0.6668713854390852,1.2307908477741617e-129
,46,-0.6668713854390852,1.2307908477741617e-129
,47,-0.6668713854390852,1.2307908477741617e-129
,52,-0.6668713854390852,1.2307908477741617e-129
,54,-0.5934088706877695,3.62406849774378e-96
,57,-0.6570733843901956,1.26184798504632e-124
,59,-0.6668713854390852,1.2307908477741617e-129
