Feature,Model,Spearman Correlation,P-Value
crRNA spacer,38,0.9160548848778729,0.0
,46,0.9456445885949122,0.0
,47,0.9800316342047073,0.0
,52,0.9865514501960667,0.0
,54,0.9855380687809864,0.0
,57,0.5826982271982065,5.499282593073908e-92
,59,0.8789221219063627,4e-323
,75,0.9825092389505592,0.0
,77,0.9533663075612836,0.0
,95,0.9379631693532409,0.0
bh_maximal consecutive paired bases,38,0.9837231402703178,0.0
,46,0.9252452677242032,0.0
,47,0.9696682236975478,0.0
,52,0.9519018004089053,0.0
,54,0.9693528121428773,0.0
,57,0.9338299249825925,0.0
,59,0.9892283505948105,0.0
,75,0.9267567518315554,0.0
,77,0.963198096547678,0.0
,95,0.947879924881147,0.0
bh_maximal consecutive unpaired bases,38,-0.9501345685338136,0.0
,46,-0.44866724271024383,1.090112061744525e-50
,47,0.9723426693176169,0.0
,52,0.8961158858415446,0.0
,54,0.04978559949954576,0.11563420258045734
,57,-0.5119326632574367,6.759636745105065e-68
,59,-0.9696017041607234,0.0
,75,0.6863851073219016,3.3004762623977355e-140
,77,-0.3406038676809333,1.3923636787376815e-28
,95,-0.8465885699781073,1.3681221539805231e-275
bh_5' overhang,38,0.882938706486858,0.0
,46,0.9234760322927515,0.0
,47,-0.7682697636164106,1.4775180023916497e-195
,52,0.0421805301963419,0.18260060570647174
,54,0.9072524900638095,0.0
,57,0.9118854851062979,0.0
,59,0.9325913596844678,0.0
,75,0.5125667225607502,4.350448032836333e-68
,77,0.8976529545401694,0.0
,95,0.9109817342617837,0.0
bh_3' overhang,38,-0.7578525186268794,2.657623933813611e-187
,46,0.7689551764238749,4.0849607039176545e-196
,47,0.8641926151684391,5.877314813194203e-300
,52,-0.12359289144471093,8.910373636689569e-05
,54,0.8440187039903094,2.7278723471913665e-272
,57,-0.8105255701180014,4.320692747587762e-234
,59,0.866174827540805,6.487766799634745e-303
,75,-0.09322157376350222,0.003170902702891443
,77,-0.8612508701805972,1.1817919097936982e-295
,95,-0.6082752930586504,3.081522655554285e-102
bh_5' stem,38,0.7374749308436597,2.628634831281718e-172
,46,0.2183188413800323,2.960766390432828e-12
,47,-0.5667895259615673,4.68841166926051e-86
,52,-0.6552937276320335,9.796213887632558e-124
,54,0.7935872863541445,1.456926109973191e-217
,57,0.6808892458468058,3.7973220627474556e-137
,59,0.7219053665301308,9.207242064944972e-162
,75,-0.506493717839413,2.8522493560180473e-66
,77,-0.6481120917456545,3.327912433345174e-120
,95,0.31036119426930536,9.052318674236776e-24
bh_3' stem,38,0.792327977033204,2.1381939046454184e-216
,46,0.9153521648506487,0.0
,47,0.8489139609998673,1.2520214079007513e-278
,52,0.9076203568014781,0.0
,54,0.9033174897819256,0.0
,57,-0.22015287950437634,1.9267913013320472e-12
,59,0.9321078043676619,0.0
,75,0.9275722875425189,0.0
,77,0.9233582060359776,0.0
,95,0.41082923017928874,5.3039142694902807e-42
dsDNA target,38,0.9970974457752684,0.0
,46,0.9974763161961934,0.0
,47,0.9970269996970029,0.0
,52,0.9972373299306797,0.0
,54,0.99744689816351,0.0
,57,0.9974385641542509,0.0
,59,0.9973573360640066,0.0
,75,0.9968825915365654,0.0
,77,0.9972833799818414,0.0
,95,0.9973563400628999,0.0
ah_maximal consecutive paired bases,38,-0.8581529330204569,3.151750877479498e-291
,46,-0.9876732566817696,0.0
,47,-0.9809608007253088,0.0
,52,-0.9907355886986657,0.0
,54,-0.9924425102820104,0.0
,57,-0.9398619082907257,0.0
,59,-0.9934728156521418,0.0
,75,-0.982969097294452,0.0
,77,-0.9878980594171,0.0
,95,-0.9901102966533336,0.0
ah_maximal consecutive unpaired bases,38,0.9670514399763828,0.0
,46,0.21450070202903818,7.1531745186815644e-12
,47,-0.9807574479528919,0.0
,52,-0.9834660050028357,0.0
,54,-0.9509443600058358,0.0
,57,-0.9507464826193294,0.0
,59,-0.9587287019700284,0.0
,75,0.806449030538251,5.785840984301813e-230
,77,0.9498144812095907,0.0
,95,-0.0061970120534165715,0.8448265838346866
ah_5' overhang,38,0.5366094737622069,1.1867470352344391e-75
,46,-0.8163468530588329,3.6775378189644775e-240
,47,0.9413302786301554,0.0
,52,0.6031395511463714,4.188483129606406e-100
,54,0.7650945661844571,5.383977465221731e-193
,57,0.9609019385802228,0.0
,59,0.9672039420033023,0.0
,75,-0.21147930757211716,1.4209841557054115e-11
,77,0.6934458362748313,3.053319424448014e-144
,95,0.9743929318386985,0.0
ah_3' overhang,38,0.8364140566599692,7.24832001234314e-263
,46,0.3041423898075519,7.58366048249724e-23
,47,0.8337332297852659,1.168731655673038e-259
,52,0.5973119100009746,9.912524730093175e-98
,54,0.8424855391448385,2.37717481920343e-270
,57,0.8085743304380844,4.19999237737903e-232
,59,0.7921109549874353,3.390591064577639e-216
,75,0.7950967991297578,5.678906074963064e-219
,77,0.44798240542937423,1.6020589215407083e-50
,95,0.8344577824835485,1.6087958628978616e-260
ah_5' stem,38,0.37936077381584477,1.4018333552363094e-35
,46,0.7695284005820004,1.389134701656443e-196
,47,0.7497112747335527,3.885661197037719e-181
,52,0.7794609689048863,6.358900191110772e-205
,54,0.7552587831749743,2.5997429829972314e-185
,57,0.7825057076584517,1.4435169912046919e-207
