Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,32,-0.7186637019340246,1.1728828773622904e-159
,43,-0.7186637019340246,1.1728828773622904e-159
,62,-0.7186637019340246,1.1728828773622904e-159
,63,-0.7186637019340246,1.1728828773622904e-159
,65,-0.7186637019340246,1.1728828773622904e-159
,67,-0.7186637019340246,1.1728828773622904e-159
,70,-0.7186637019340246,1.1728828773622904e-159
,71,-0.7186637019340246,1.1728828773622904e-159
,74,-0.7186637019340246,1.1728828773622904e-159
,82,-0.7186637019340246,1.1728828773622904e-159
Pos1_Paired-Opening,32,0.7185217717075145,1.4479177945888925e-159
,43,0.7186637019340246,1.1728828773622904e-159
,62,0.7186637019340246,1.1728828773622904e-159
,63,0.6721523318229707,2.0384210729492234e-132
,65,0.7186637019340246,1.1728828773622904e-159
,67,0.5579986855245616,6.486505766256997e-83
,70,0.7186637019340246,1.1728828773622904e-159
,71,0.7186637019340246,1.1728828773622904e-159
,74,0.7186637019340246,1.1728828773622904e-159
,82,0.7129614463630589,5.02346932278605e-156
Pos1_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos2_Unpaired,32,-0.8293326761877214,1.6234258803642272e-254
,43,-0.8292892677497885,1.821484934616317e-254
,62,-0.8293326761877214,1.6234258803642272e-254
,63,-0.8293326761877214,1.6234258803642272e-254
,65,-0.8293326761877214,1.6234258803642272e-254
,67,-0.8293326761877214,1.6234258803642272e-254
,70,-0.8293326761877214,1.6234258803642272e-254
,71,-0.8293326761877214,1.6234258803642272e-254
,74,-0.8293326761877214,1.6234258803642272e-254
,82,-0.8293326761877214,1.6234258803642272e-254
Pos2_Paired-Opening,32,0.8293326761877214,1.6234258803642272e-254
,43,0.8293326761877214,1.6234258803642272e-254
,62,0.8293326761877214,1.6234258803642272e-254
,63,0.8293326761877214,1.6234258803642272e-254
,65,0.8293326761877214,1.6234258803642272e-254
,67,0.8293109719687549,1.7196132842735055e-254
,70,0.8293326761877214,1.6234258803642272e-254
,71,0.8293326761877214,1.6234258803642272e-254
,74,0.8293326761877214,1.6234258803642272e-254
,82,0.8293326761877214,1.6234258803642272e-254
Pos2_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos3_Unpaired,32,-0.8601794812181582,4.1236139813922475e-294
,43,-0.6379744701598727,2.2230491289758792e-115
,62,-0.8601794812181582,4.1236139813922475e-294
,63,-0.8601655306273083,4.317985863898747e-294
,65,-0.8332757667639956,4.0674573854448746e-259
,67,-0.8601794812181582,4.1236139813922475e-294
,70,-0.8601794812181582,4.1236139813922475e-294
,71,-0.8601794812181582,4.1236139813922475e-294
,74,-0.8601794812181582,4.1236139813922475e-294
,82,-0.8600818270822085,5.6918698127951096e-294
Pos3_Paired-Opening,32,0.8601794812181582,4.1236139813922475e-294
,43,0.8584356573619123,1.2560445135539709e-291
,62,0.8601794812181582,4.1236139813922475e-294
,63,0.8596423834704345,2.4201355528948653e-293
,65,0.8246403510278655,3.421066518904782e-249
,67,0.8601794812181582,4.1236139813922475e-294
,70,0.8601794812181582,4.1236139813922475e-294
,71,0.8601794812181582,4.1236139813922475e-294
,74,0.8601794812181582,4.1236139813922475e-294
,82,0.8122731522393691,6.848767052516699e-236
Pos3_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos4_Unpaired,32,0.8645847241321107,1.5415316201295406e-300
,43,-0.342208935909969,7.462758019641495e-29
,62,0.8259587357595386,1.1338522944723952e-250
,63,0.666112963966963,3.054017723783443e-129
,65,0.7720902048901669,1.0776141177080024e-198
,67,0.7414319091863765,4.1597925081674043e-175
,70,0.6086901493244739,2.0641126286127813e-102
,71,-0.653447796837804,8.088929691667756e-123
,74,-0.6881245810180233,3.432035882569821e-141
,82,-0.6479881952525867,3.821657538826845e-120
Pos4_Paired-Opening,32,0.7793096272909239,8.584184589157247e-205
,43,0.5755445478223421,2.801906812324373e-89
,62,-0.8659981235272685,1.1957038087992752e-302
,63,0.2971949365455564,7.674939553031602e-22
,65,-0.5273296145336015,1.1645422530543292e-72
,67,0.10081556175951487,0.0014118536204329344
,70,0.8659149823863769,1.5937730633835368e-302
,71,0.8643422291378433,3.528740382583919e-300
,74,0.6955657131278247,1.781361537489735e-145
,82,0.3248878648908784,5.162860101652297e-26
Pos4_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos5_Unpaired,32,0.5052699326224809,6.559160813624516e-66
,43,0.8495109235494611,2.0384808234911758e-279
,62,0.8412391386166652,8.672333208505093e-269
,63,0.771751978035117,2.0542738861319164e-198
,65,0.8212715637369099,1.8162797508476494e-245
,67,0.79852589148258,3.225248201702905e-222
,70,0.5996557909236544,1.1147578143736392e-98
,71,0.8608177798639799,4.985616911388231e-295
,74,0.5539074724078464,1.746042283327504e-81
,82,0.18372599724577562,4.840998747791173e-09
Pos5_Paired-Opening,32,-0.7268509792185542,4.943491495400931e-165
,43,-0.8639014679497578,1.5833377595006228e-299
,62,-0.8639014679497578,1.5833377595006228e-299
,63,-0.6040729657492281,1.7267236962235148e-100
,65,-0.8252581334694244,6.956377523558257e-250
,67,-0.2961486527513749,1.0816682283261823e-21
,70,-0.6402646292964992,1.8746373344112296e-116
,71,-0.0025245959891447046,0.9364480131992975
,74,-0.4757595932610618,1.282076235606899e-57
,82,-0.6783176180847352,9.744018376167428e-136
Pos5_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos6_Unpaired,32,-0.4204067666827425,4.256766659067298e-44
,43,0.6144727487495025,7.27553455381918e-105
,62,0.49288949321778025,2.478439416344775e-62
,63,0.8115492843500439,3.832222770566825e-235
,65,0.7799767125327196,2.2830066967500107e-205
,67,0.44367771974871584,1.7660425848128468e-49
,70,0.06345106593369346,0.04485508189639298
,71,0.6057817743448217,3.3837029419179654e-101
,74,-0.021790011027415655,0.4912761293500234
,82,-0.19517147401103538,4.84347102978237e-10
Pos6_Paired-Opening,32,-0.5231827536027356,2.36237231855518e-71
,43,-0.8629650889281354,3.776221688046008e-298
,62,-0.6726327494656263,1.1309450405645592e-132
,63,-0.7226719036980164,2.8970268889141116e-162
,65,-0.8333114842593646,3.690583209210483e-259
,67,-0.6260491266565372,6.239436098993117e-110
,70,-0.19930837782766345,2.034651954937584e-10
,71,0.5016291370791273,7.658624814235678e-65
,74,0.2675429560736932,7.483231968104486e-18
,82,-0.8161659299538103,5.720737564364661e-240
Pos6_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos7_Unpaired,32,-0.8595567106583131,3.207286213936195e-293
,43,-0.8595567106583131,3.207286213936195e-293
,62,-0.7927547687875075,8.621474924687474e-217
,63,-0.6532106078743128,1.059817419306199e-122
,65,-0.2713924868303013,2.416781129325149e-18
,67,-0.8548868570416391,1.1278714590913973e-286
,70,-0.849595752345916,1.5740191479021763e-279
,71,-0.8595567106583131,3.207286213936195e-293
,74,-0.8595567106583131,3.207286213936195e-293
,82,-0.8588167936428163,3.622476563914205e-292
Pos7_Paired-Opening,32,0.02828440792779502,0.37159397548185236
,43,0.6879049944896468,4.571187662551962e-141
,62,0.8552596420387345,3.4529019627306523e-287
,63,-0.778173639085262,8.101787923533354e-204
,65,0.4333662590446935,4.827222554576679e-47
,67,0.32581153538735896,3.68136357453356e-26
,70,0.8523355939455327,3.405994978498686e-283
,71,0.8592025708517628,1.0252109902557342e-292
,74,0.8597678402922146,1.6017820158232308e-293
,82,0.2334632575416863,7.598934866568414e-14
Pos7_Paired-Closing,32,1.0,0.0
,43,1.0,0.0
,62,1.0,0.0
,63,-1.0,0.0
,65,-1.0,0.0
,67,1.0,0.0
,70,1.0,0.0
,71,-1.0,0.0
,74,1.0,0.0
,82,1.0,0.0
Pos8_Unpaired,32,-0.8591238200013651,1.326940430913844e-292
,43,-0.8591238200013651,1.326940430913844e-292
,62,-0.8591238200013651,1.326940430913844e-292
,63,-0.8591238200013651,1.326940430913844e-292
,65,-0.8591238200013651,1.326940430913844e-292
,67,-0.8591238200013651,1.326940430913844e-292
,70,-0.8591238200013651,1.326940430913844e-292
,71,-0.8591238200013651,1.326940430913844e-292
,74,-0.8591238200013651,1.326940430913844e-292
,82,-0.8591238200013651,1.326940430913844e-292
Pos8_Paired-Opening,32,0.8592153947349578,9.830200339312037e-293
,43,0.5303859429687448,1.2332679954390084e-73
,62,0.8603799975904486,2.1258148195945607e-294
,63,0.5293329188299476,2.6800521300922682e-73
,65,0.8603799975904486,2.1258148195945607e-294
,67,0.8603521029112751,2.3312174832102332e-294
,70,0.6058759184818457,3.092219709760738e-101
,71,0.8603799975904486,2.1258148195945607e-294
,74,0.8603799975904486,2.1258148195945607e-294
,82,0.8603799975904486,2.1258148195945607e-294
Pos8_Paired-Closing,32,-0.9999941315070582,0.0
,43,-0.9999941315070582,0.0
,62,0.6666627543380388,1.580787136883781e-129
,63,-0.3333313771690194,2.244870984213514e-27
,65,-0.6666627543380388,1.580787136883781e-129
,67,0.9999941315070582,0.0
,70,-0.6666627543380388,1.580787136883781e-129
,71,-0.3333313771690194,2.244870984213514e-27
,74,0.9999941315070582,0.0
,82,0.9999941315070582,0.0
Pos9_Unpaired,32,-0.7690774242916065,3.2463843430718196e-196
,43,-0.25204993918933966,5.891553673805085e-16
,62,-0.8595567106583131,3.207286213936195e-293
,63,-0.5881816747010188,4.1615568278204654e-94
,65,-0.8367449294635594,2.886262526204516e-263
,67,-0.8593420381133106,6.489735634746638e-293
,70,-0.8595567106583131,3.207286213936195e-293
,71,-0.8593420381133106,6.489735634746638e-293
,74,-0.8593420381133106,6.489735634746638e-293
,82,-0.8593420381133106,6.489735634746638e-293
Pos9_Paired-Opening,32,0.861684827823226,2.7795957131128014e-296
,43,0.8431281404200025,3.6760608640234984e-271
,62,0.861684827823226,2.7795957131128014e-296
,63,0.861684827823226,2.7795957131128014e-296
,65,0.861684827823226,2.7795957131128014e-296
,67,0.8615089913620997,4.99950508446689e-296
,70,0.861684827823226,2.7795957131128014e-296
,71,0.8607777156164982,5.694373318723858e-295
,74,0.834298569094817,2.4894407580891814e-260
,82,0.8615089913620997,4.99950508446689e-296
Pos9_Paired-Closing,32,-0.18096284593263123,8.261496537132695e-09
,43,0.08221368284284054,0.009295857826195537
,62,-0.18096284429844886,8.261499128543848e-09
,63,-0.08154650488909743,0.009885779145377995
,65,0.0434925493601723,0.16935312746266645
,67,0.05329400024148388,0.09210563879535402
,70,0.053307685585475516,0.09202201410844171
,71,-0.04910802039740381,0.12067991452651178
,74,-0.1809055863119148,8.352782271452719e-09
,82,-0.08223978989727918,0.009273425333763907
Pos10_Unpaired,32,0.8502503883714038,2.128438206269099e-280
,43,0.42338746904295715,9.182517020797144e-45
,62,0.8502503883714038,2.128438206269099e-280
,63,0.8493118403755254,3.73750231252973e-279
,65,0.8483521221241009,6.861573041074952e-278
,67,0.6673605507083958,6.839124579135523e-130
,70,0.850222161364009,2.3206768295603633e-280
,71,0.6642202961357201,2.91587039626644e-128
,74,0.6922567712306436,1.486813809151892e-143
,82,0.8502503883714038,2.128438206269099e-280
Pos10_Paired-Opening,32,-0.6413260638628643,5.915826726985763e-117
,43,0.7314018574255984,4.175172358579087e-168
,62,-0.7160157185313886,5.846528977280864e-158
,63,-0.014892409812716074,0.6380861079265434
,65,-0.352014828606286,1.5254626088987905e-30
,67,-0.322853298175931,1.0830209844703316e-25
,70,0.8567460148805678,2.9785426252385857e-289
,71,-0.7520054171100615,7.525820493218184e-183
,74,-0.19554122764436957,4.485625113716711e-10
,82,-0.8323817102774926,4.603524616069486e-258
Pos10_Paired-Closing,32,-0.25406465403527456,3.394505552144898e-16
,43,-0.25406384991389275,3.395255930220012e-16
,62,-0.25406465403527456,3.394505552144898e-16
,63,-0.2540633887861185,3.395686312247628e-16
,65,-0.25406465403527456,3.394505552144898e-16
,67,-0.25406353817599847,3.395546877075825e-16
,70,-0.2540636304015152,3.395460799889612e-16
,71,-0.25406353893819245,3.395546165685743e-16
,74,-0.2540637332978713,3.3953647657834243e-16
,82,-0.2540650930659054,3.3940959329272327e-16
Pos11_Unpaired,32,0.8423970023882502,3.0723444764114467e-270
,43,0.8377103713380315,1.9423895487311464e-264
,62,0.8423970023882502,3.0723444764114467e-270
,63,0.8423970023882502,3.0723444764114467e-270
,65,0.8423970023882502,3.0723444764114467e-270
,67,0.8423970023882502,3.0723444764114467e-270
,70,0.8423970023882502,3.0723444764114467e-270
,71,0.8423970023882502,3.0723444764114467e-270
,74,0.8423970023882502,3.0723444764114467e-270
,82,0.8423970023882502,3.0723444764114467e-270
Pos11_Paired-Opening,32,-0.8531194100550801,2.952111083687553e-284
,43,-0.8092122652679054,9.46068047983993e-233
,62,-0.8531194100550801,2.952111083687553e-284
,63,-0.8209011447547361,4.612915356424299e-245
,65,-0.8406709643922098,4.4231671220962494e-268
,67,-0.47420138351357577,3.3386375794835924e-57
,70,-0.732489048467763,7.535473293310577e-169
,71,-0.6592612426814323,9.964628501787812e-126
,74,-0.7539327269005831,2.6480829456394827e-184
,82,-0.8341583877346855,3.6548637263216625e-260
Pos11_Paired-Closing,32,-0.29546588178686095,1.352095700899321e-21
,43,-0.29546588178686095,1.352095700899321e-21
,62,-0.29546588178686095,1.352095700899321e-21
,63,-0.29546588178686095,1.352095700899321e-21
,65,-0.29546588178686095,1.352095700899321e-21
,67,-0.29546588178686095,1.352095700899321e-21
,70,-0.29546588178686095,1.352095700899321e-21
,71,-0.29546588178686095,1.352095700899321e-21
,74,-0.29546588178686095,1.352095700899321e-21
,82,-0.29546588178686095,1.352095700899321e-21
Pos12_Unpaired,32,-0.0005491922659587431,0.9861611752404162
,43,0.7805816845240926,6.841069763195833e-206
,62,0.8106113740470392,3.5287145321884367e-234
,63,0.6709227059290624,9.161137733800296e-132
,65,0.46927222803997576,6.673972967548749e-56
,67,0.3805959452666335,8.082632040733181e-36
,70,0.4484747117722309,1.2148351129306192e-50
,71,0.7423002113196361,9.945395390008973e-176
,74,0.8362133101526075,1.2659865387593592e-262
,82,0.8299280420207652,3.3367588495907187e-255
Pos12_Paired-Opening,32,-0.1130244659848581,0.00034207476557098946
,43,-0.48350393804211467,1.023192433067699e-59
,62,-0.10773895885017457,0.000643270233122403
,63,-0.49735634192113165,1.3194359386788134e-63
,65,0.23289045288704016,8.77005610399867e-14
,67,0.8126615251521642,2.7104290540548495e-236
,70,-0.5047588746104281,9.27779679487578e-66
,71,0.7293045711504358,1.1087382109470444e-166
,74,-0.2706261775642135,3.0309692621307512e-18
,82,-0.050393676854391785,0.11124842632194806
Pos12_Paired-Closing,32,-0.322664073166047,1.1599415377244136e-25
,43,-0.322664073166047,1.1599415377244136e-25
,62,-0.322664073166047,1.1599415377244136e-25
,63,-0.322664073166047,1.1599415377244136e-25
,65,-0.322664073166047,1.1599415377244136e-25
,67,-0.322664073166047,1.1599415377244136e-25
,70,-0.322664073166047,1.1599415377244136e-25
,71,-0.322664073166047,1.1599415377244136e-25
,74,-0.322664073166047,1.1599415377244136e-25
,82,-0.322664073166047,1.1599415377244136e-25
Pos13_Unpaired,32,-0.8346495265466164,9.503691832001682e-261
,43,0.23569801580996905,4.328199671984801e-14
,62,-0.4222234728853986,1.6744981932379029e-44
,63,-0.05791783428520977,0.06713503454257756
,65,-0.753188640095838,9.676855628825636e-184
,67,-0.8291099746342165,2.9293160542541994e-254
,70,-0.6497147680419859,5.5266894500384045e-121
,71,-0.7364886544523956,1.2879453669114459e-171
,74,0.04392697069803573,0.1651293031656485
,82,0.36466879313688566,8.189874751417626e-33
Pos13_Paired-Opening,32,0.8374723140587488,3.7847804102169132e-264
,43,0.8225267320967133,7.595011176514777e-247
,62,0.7905145316347976,9.904674026520291e-215
,63,0.8457036214175389,1.901980484173549e-274
,65,0.854300140365627,7.218351353382465e-286
,67,0.8540103801088891,1.8000196624988215e-285
,70,0.80890855379578,1.9249055027305177e-232
,71,0.8540103801088891,1.8000196624988215e-285
,74,0.8452282766653091,7.766701316215602e-274
,82,0.8540103801088891,1.8000196624988215e-285
Pos13_Paired-Closing,32,-0.3269451129671568,2.426903207530615e-26
,43,-0.3269451129671568,2.426903207530615e-26
,62,-0.3269451129671568,2.426903207530615e-26
,63,-0.3269451129671568,2.426903207530615e-26
,65,-0.3269451129671568,2.426903207530615e-26
,67,-0.3269451129671568,2.426903207530615e-26
,70,-0.3269451129671568,2.426903207530615e-26
,71,-0.3269451129671568,2.426903207530615e-26
,74,-0.3269451129671568,2.426903207530615e-26
,82,-0.3269451129671568,2.426903207530615e-26
Pos14_Unpaired,32,0.6854947861187901,1.0448393770522306e-139
,43,0.8400992741165284,2.2641618614435286e-267
,62,0.8411407180238676,1.1505551842510827e-268
,63,0.8411407180238676,1.1505551842510827e-268
,65,0.8354769751305298,9.727058505620058e-262
,67,0.8411407180238676,1.1505551842510827e-268
,70,0.8390720965640843,4.188981593935547e-266
,71,0.7662423548248156,6.454137020003879e-194
,74,0.8007598004934073,2.2912148679774136e-224
,82,0.8411407180238676,1.1505551842510827e-268
Pos14_Paired-Opening,32,-0.4874547566819137,8.293910823546612e-61
,43,0.3566407858909385,2.3194401415125994e-31
,62,-0.31728344229079547,7.997170742967383e-25
,63,0.1780287269170039,1.4442445793205902e-08
,65,0.7519009651895173,9.01468991019594e-183
,67,0.6147757632283762,5.394167194132017e-105
,70,-0.721391995802335,1.9929950489397715e-161
,71,0.853717007463673,4.530944227418493e-285
,74,-0.3444189250836798,3.1431242939258705e-29
,82,0.2723387615188465,1.825417612393622e-18
Pos14_Paired-Closing,32,-0.3183160400059999,5.537839991893469e-25
,43,-0.3183160400059999,5.537839991893469e-25
,62,-0.3183160400059999,5.537839991893469e-25
,63,-0.3183160400059999,5.537839991893469e-25
,65,-0.3183160400059999,5.537839991893469e-25
,67,-0.3183160400059999,5.537839991893469e-25
,70,-0.3183160400059999,5.537839991893469e-25
,71,-0.3183160400059999,5.537839991893469e-25
,74,-0.3183160400059999,5.537839991893469e-25
,82,-0.3183160400059999,5.537839991893469e-25
Pos15_Unpaired,32,-0.2338476131480575,6.900651516982286e-14
,43,-0.1726899740837501,3.897307403675423e-08
,62,0.8150913205904392,7.813998871097943e-239
,63,0.4472260946135477,2.448464484429779e-50
,65,0.6316907964361822,1.7679787949381902e-112
,67,0.7664070020881348,4.756093610018097e-194
,70,0.6756623281213862,2.684030320648949e-134
,71,0.38112401100841137,6.38261651189182e-36
,74,0.7571334538351309,9.524022590483247e-187
,82,0.8288098014174826,6.481628759279301e-254
