Feature,Model,Spearman Correlation,P-Value
crRNA spacer,32,0.9936519997926614,0.0
,43,0.9889855059946355,0.0
,62,0.9961377852734572,0.0
,63,0.9681042803535584,0.0
,65,0.9920787577923103,0.0
,67,0.9679603218044999,0.0
,70,0.9727445720516491,0.0
,71,0.9951135033668419,0.0
,74,0.9943231023522492,0.0
,82,0.9789537917336376,0.0
bh_maximal consecutive paired bases,32,0.9900723082564903,0.0
,43,0.986897131942966,0.0
,62,0.5793858954183062,1.0048803139292097e-90
,63,-0.30013233937440664,2.906777347162943e-22
,65,0.9438917933694279,0.0
,67,0.9033618804288687,0.0
,70,0.894764968353835,0.0
,71,0.9816029633993455,0.0
,74,0.9075174121018813,0.0
,82,0.2939197240623413,2.236169453676879e-21
bh_maximal consecutive unpaired bases,32,-0.38038585127676056,8.877733882264758e-36
,43,-0.9658977096711117,0.0
,62,-0.9636506182065115,0.0
,63,-0.7890250918481817,2.2474196633117067e-213
,65,-0.9663855065939969,0.0
,67,-0.9218179535446637,0.0
,70,0.5248083246580205,7.296005627573255e-72
,71,-0.7629906298493612,2.5478873561141475e-191
,74,0.9331409213920281,0.0
,82,-0.9758988935983304,0.0
bh_5' overhang,32,-0.9053847399358973,0.0
,43,0.7964504130481623,3.023441126803796e-220
,62,-0.5027468855701588,3.6128745463739193e-65
,63,0.4226033765255117,1.3766940330355129e-44
,65,0.9463041110140541,0.0
,67,-0.056628056132647965,0.07346466930568453
,70,-0.9334942701790784,0.0
,71,-0.477235581656819,5.154742165733182e-58
,74,-0.8797571115686881,0.0
,82,-0.5081465578285391,9.212766959371378e-67
bh_3' overhang,32,-0.8852812542185845,0.0
,43,0.8323785038262755,4.643639347802618e-258
,62,-0.8188802538343373,7.178225750867224e-243
,63,0.4755270174094425,1.4794157824823815e-57
,65,0.16759375505983531,9.772777435094789e-08
,67,-0.4458419614196425,5.306747230802241e-50
,70,-0.8752600328570347,4.2120233e-317
,71,0.7085424883335255,2.8496231018879707e-153
,74,-0.7563549634032836,3.7737810190512886e-186
,82,-0.45380939941579074,5.884768052269165e-52
bh_5' stem,32,0.6956136340129503,1.6700583484186274e-145
