Feature,Model,Spearman Correlation,P-Value
Pos1_A,32,0.6116995386142953,1.1080173851459776e-103
,48,0.4754540637290741,1.5473326112200003e-57
,55,-0.3609586194731202,3.8862739519202155e-32
,66,0.6705441661904425,1.452899579049133e-131
,71,0.6441283168494826,2.754387184786063e-118
,84,0.3819057367485589,4.4960974426295596e-36
,85,0.6624079775383129,2.490874175966025e-127
,91,0.6391145690177974,6.50746895205954e-116
,92,0.20846753106210097,2.7880510587669137e-11
,93,0.6725514495750139,1.2496050790403644e-132
Pos1_C,32,-0.7898896276858078,3.6815974074284937e-214
,48,-0.7898820316802525,3.7407210599572446e-214
,55,-0.7898896276858078,3.6815974074284937e-214
,66,-0.7898896276858078,3.6815974074284937e-214
,71,-0.7898896276858078,3.6815974074284937e-214
,84,-0.7644506050809775,1.7606204027172127e-192
,85,-0.7585333167533685,7.904462706876182e-188
,91,-0.7742494522473647,1.7068611228226866e-200
,92,-0.7898896276858078,3.6815974074284937e-214
,93,-0.7898896276858078,3.6815974074284937e-214
Pos1_G,32,0.7818731427319979,5.155017866491543e-207
,48,0.7483382573560801,4.033806902807812e-180
,55,-0.4192896646709584,7.533666224050896e-44
,66,0.06128749703770436,0.05268689740456779
,71,0.4761992092814405,9.778151299890882e-58
,84,0.43395446237196045,3.5232895020065463e-47
,85,0.7679834075991808,2.5248168489245383e-195
,91,0.6647542821811379,1.5453776894319253e-128
,92,0.19343950185662462,6.925156600931532e-10
,93,0.7816275783539591,8.439830597171192e-207
Pos1_T,32,0.5201357471988234,2.100731673089517e-70
,48,0.2998132595141898,3.2318527349566628e-22
,55,0.3878703579035168,3.0069320506273067e-37
,66,0.7296328818155541,6.649295290030079e-167
,71,0.2395752759899267,1.607683860553538e-14
,84,0.5605858023227386,7.895650073467712e-84
,85,0.4910421001989725,8.231938506139238e-62
,91,0.6286016999003177,4.456265669788733e-111
,92,-0.03522529037906692,0.26576269480630177
,93,0.7339957033538637,6.927860139711674e-170
Pos2_A,32,0.7189122080189916,8.108292933480756e-160
,48,0.39379572029612386,1.9359954781023962e-38
,55,0.6801165585528639,1.0102624660131231e-136
,66,0.31159930157241505,5.8927439626834834e-24
,71,0.5753418007077493,3.335859965482998e-89
,84,0.16852584963435127,8.277281806447202e-08
,85,0.633891426257719,1.7350843249460023e-113
,91,0.5558942804373677,3.548680970067575e-82
,92,0.590722569507621,4.193563966684603e-95
,93,0.7196824888474183,2.5755622393182754e-160
Pos2_C,32,0.7751627394504907,2.9154660027019016e-201
,48,0.7756885251333961,1.0500570190669184e-201
,55,0.7133983859938962,2.6660696530620396e-156
,66,0.6411492474487759,7.171245211038372e-117
,71,0.7759823465444314,5.927218557959108e-202
,84,0.7381953666568029,8.196245574605998e-173
,85,0.768961561249165,4.0362460565201944e-196
,91,0.7759823465444314,5.927218557959108e-202
,92,-0.03579208714954636,0.2581426993510937
,93,0.712795278887034,6.389996113021531e-156
Pos2_G,32,0.23090135812378293,1.438418888938118e-13
,48,0.297429223216863,7.105944388827037e-22
,55,-0.6943933496726824,8.600777653295704e-145
,66,-0.16654541841813197,1.1767044152763532e-07
,71,0.22602814918998138,4.741966390331924e-13
,84,-0.7611547551300024,7.138775461630037e-190
,85,-0.1341066618252388,2.0927909952523614e-05
,91,-0.36931294732984005,1.132823194642412e-33
,92,-0.7679663490869935,2.6066413062603047e-195
,93,-0.22384843912374422,8.013990627269616e-13
Pos2_T,32,-0.47433022427496385,3.08519127569849e-57
,48,-0.4307508025694884,1.9431224579951285e-46
,55,-0.5070833377855424,1.9072770372070985e-66
,66,0.5750821914056781,4.1699472082304564e-89
,71,-0.6913964572693485,4.651377587274569e-143
,84,0.21300325163804956,1.0064557658522277e-11
,85,-0.527730594780415,8.68546598792062e-73
,91,-0.5268747929814324,1.623350424580824e-72
