Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,15,0.12662788904587102,5.93221214000741e-05
,33,-0.6568215133902078,1.6878826568639366e-124
,62,-0.3156962037071051,1.4029394905256709e-24
,67,0.23928756370861612,1.73132645782785e-14
,68,-0.3703234879825148,7.33417029571501e-34
,91,0.6619332166271132,4.358282352547688e-127
,92,-0.36478311342985625,7.803659126180683e-33
,94,0.3000294803370328,3.007873134924057e-22
,96,-0.1206103143492609,0.00013171623132158015
,97,0.5675042050909261,2.579281710906649e-86
Pos1_Paired-Opening,15,-0.5529051159412202,3.8850849694124558e-81
,33,-0.27239231267800484,1.7965973204939956e-18
,62,-0.7031341917676132,5.695079184403475e-150
,67,0.460223142220178,1.438157899761314e-53
,68,0.6952239927712627,2.8210005359231757e-145
,91,-0.008743277213757446,0.7824357980810663
,92,-0.6204168041033232,1.935600083393966e-107
,94,-0.0247658786572852,0.4340345761947253
,96,-0.3618390311858158,2.690703312667885e-32
,97,0.09028788486325104,0.004270997930680844
Pos1_Paired-Closing,15,,
,33,,
,62,,
,67,,
,68,,
,91,,
,92,,
,94,,
,96,,
,97,,
Pos2_Unpaired,15,-0.5628760080887046,1.204971167562516e-84
,33,-0.8200694081904603,3.710995627446843e-244
,62,-0.7876672583992965,3.786002609226092e-212
,67,-0.7434857477977536,1.3965727224843118e-176
,68,-0.8335376428738339,1.9928729174189716e-259
,91,-0.7717049061819649,2.2470637854090284e-198
,92,0.5492723784534876,6.89306752328623e-80
,94,-0.34824650521646755,6.914657117149661e-30
,96,-0.10552611286176573,0.000831199497879273
,97,-0.1171130703195252,0.00020596353213101995
Pos2_Paired-Opening,15,0.3454673456786286,2.0804003352576475e-29
,33,0.5585861259302967,4.02753512992556e-83
,62,-0.6126300898661196,4.45664538636101e-104
,67,0.19950446154130563,1.951791698275063e-10
,68,0.27290990359073997,1.5401720956086509e-18
,91,0.29351844047133063,2.546794332709756e-21
,92,0.8219791896164624,3.0428161263302483e-246
,94,0.7707642675691578,1.343189812640528e-197
,96,-0.13315380908792407,2.3973779754873404e-05
,97,0.7698450071066418,7.645870880091522e-197
Pos2_Paired-Closing,15,,
,33,,
,62,,
,67,,
,68,,
,91,,
,92,,
,94,,
,96,,
,97,,
Pos3_Unpaired,15,-0.8650471797503948,3.1630218026952762e-301
,33,-0.8235867178163017,5.1020353153435e-248
,62,-0.8659825344230391,1.261916867383946e-302
,67,-0.8636198978054711,4.1196686310893293e-299
,68,-0.7383516572024624,6.362059136680958e-173
,91,-0.7432847870315191,1.9494528276520352e-176
,92,-0.7451139250580231,9.257056715810364e-178
,94,-0.8659825344230391,1.261916867383946e-302
,96,-0.7017411824598576,3.922438309263459e-149
,97,-0.8640633252058358,9.129099663349056e-300
Pos3_Paired-Opening,15,0.4588261096976074,3.2497149024628554e-53
,33,0.5577935626164888,7.659208742487765e-83
,62,0.7988794973522348,1.4800940616348434e-222
,67,0.5730640937165458,2.3475769278252874e-88
,68,-0.08668659249472029,0.006087937176036477
,91,0.8563449170182389,1.0797298007140712e-288
,92,0.8643127531185408,3.902032496877815e-300
,94,0.39213878581464506,4.192417272659465e-38
,96,0.7038197483990668,2.1940989213863656e-150
,97,0.8511277165108238,1.4353990133519395e-281
Pos3_Paired-Closing,15,,
,33,,
,62,,
,67,,
,68,,
,91,,
,92,,
,94,,
,96,,
,97,,
Pos4_Unpaired,15,-0.853302349736457,1.6647483013895273e-284
,33,-0.8482491479420816,9.365009962267544e-278
,62,-0.8518194212543803,1.6917066116464803e-282
,67,-0.6641340889611984,3.2301998540187425e-128
,68,-0.8332793011798844,4.028513250079514e-259
,91,-0.8526417086117404,1.3127368221455887e-283
,92,-0.7117635028144429,2.835844878371038e-155
,94,-0.853717007463673,4.530944227418493e-285
,96,-0.8348254825356043,5.859340864239869e-261
,97,-0.7436991759071304,9.796689863205823e-177
Pos4_Paired-Opening,15,0.6197586840520372,3.7553532751892253e-107
,33,0.6014083225984705,2.1500916538257947e-99
,62,0.7787623521966148,2.5356156328711438e-204
,67,0.8532461249598854,1.9853911231289397e-284
,68,0.8200524224914079,3.871987790844565e-244
,91,0.5414235140936098,3.0565744745438775e-77
,92,0.7467212576478557,6.224645019042109e-179
,94,0.3569359659679396,2.054584076898896e-31
,96,0.83992788100948,3.689552052630563e-267
,97,0.558621267627458,3.914216372531723e-83
Pos4_Paired-Closing,15,,
,33,,
,62,,
,67,,
,68,,
,91,,
,92,,
,94,,
,96,,
,97,,
Pos5_Unpaired,15,-0.8029768418724104,1.5868247524378576e-226
,33,-0.7973554987699867,4.2014664837775667e-221
,62,-0.8421341217365084,6.574396165365306e-270
,67,0.03342920239897014,0.29092380736796775
,68,-0.8385336159012852,1.9180326953358775e-265
,91,-0.8334103664914813,2.8192680419119637e-259
,92,-0.8429097247721593,6.939624468307614e-271
,94,-0.8432156966119115,2.848673498065204e-271
,96,-0.8431231934975678,3.729387159814927e-271
,97,-0.814653581152255,2.255589012649659e-238
Pos5_Paired-Opening,15,0.8289986794997057,3.933053858331883e-254
,33,0.8432156966119115,2.848673498065204e-271
,62,0.2869944700633595,2.0502251352717787e-20
,67,0.7836579222229416,1.4050643359026973e-208
,68,0.7970993362994965,7.35232735234695e-221
,91,0.8344279007492618,1.7462293971552876e-260
,92,0.8155288029264298,2.7010411992236533e-239
,94,0.8032330043429006,8.896782273438174e-227
,96,0.8311120198812498,1.4090490062878333e-256
,97,0.8413940968217589,5.554799878533626e-269
Pos5_Paired-Closing,15,,
,33,,
,62,,
,67,,
,68,,
,91,,
,92,,
,94,,
,96,,
,97,,
Pos6_Unpaired,15,-0.8374017856148774,4.610843790396079e-264
,33,-0.83582589766501,3.7059374300327565e-262
,62,-0.8374089487419223,4.519331974373987e-264
,67,-0.338661901990026,2.946713664899984e-28
,68,-0.550267838021993,3.1454211866487987e-80
,91,-0.8314420639135609,5.8062093167710105e-257
,92,-0.8376238425532679,2.475665836926073e-264
,94,-0.6935590314272084,2.6251303535976444e-144
,96,-0.8275596490552511,1.7417505618167917e-252
,97,-0.8376238425532679,2.475665836926073e-264
Pos6_Paired-Opening,15,0.795719549340885,1.477230895923296e-219
,33,0.8375951900450884,2.682656484529168e-264
,62,0.8327314267816343,1.7850311306088572e-258
,67,0.7659352670883911,1.1398267824772262e-193
,68,0.8375593744098642,2.9658337768601035e-264
,91,0.8376238425532679,2.475665836926073e-264
