Feature,Average_Importance_Magnitude,Number_of_Models
Pos16_Paired-Opening,0.013466636501585241,10
Pos16_Unpaired,0.01320349351884561,10
Pos17_Paired-Opening,0.01218617446589619,10
Pos17_Unpaired,0.011939961177332939,10
Pos18_Paired-Opening,0.01020315857053555,10
Pos18_Unpaired,0.010055008020559631,10
Pos15_Paired-Opening,0.00995838621703218,10
Pos6_Unpaired,0.00973745903065012,10
Pos15_Unpaired,0.00969152290963364,10
Pos21_Unpaired,0.009541937622992661,10
Pos6_Paired-Opening,0.00935107303950269,10
Pos21_Paired-Opening,0.00850712698293741,10
Pos20_Paired-Opening,0.007619487855387459,10
Pos20_Unpaired,0.007339575363966661,10
Pos22_Paired-Opening,0.00703020078369915,10
Pos12_Unpaired,0.0067172072996021,10
Pos12_Paired-Opening,0.00655509384727727,10
Pos22_Unpaired,0.006252011816301731,10
Pos5_Unpaired,0.00623631709847639,10
Pos19_Paired-Opening,0.00563877717478618,10
Pos10_Paired-Opening,0.0055722289489282695,10
Pos19_Unpaired,0.005472441476258539,10
Pos5_Paired-Opening,0.005441166390099469,10
Pos10_Unpaired,0.00533018300000156,10
Pos7_Unpaired,0.00512898215459024,10
Pos14_Unpaired,0.0049303967113759105,10
Pos14_Paired-Opening,0.00477413441681023,10
Pos23_Unpaired,0.00445722489326644,10
Pos1_Unpaired,0.00439366932343224,10
Pos11_Unpaired,0.00430737144956685,10
Pos11_Paired-Opening,0.0041893361482567195,10
Pos7_Paired-Opening,0.0040788880341945,10
Pos2_Unpaired,0.004008632912831369,10
Pos1_Paired-Opening,0.00388396083213943,10
Pos9_Paired-Opening,0.00380747021078994,10
Pos2_Paired-Opening,0.00375169514899584,10
Pos9_Unpaired,0.0035753010780126097,10
Pos23_Paired-Opening,0.0033193973277015803,10
Pos3_Unpaired,0.0032825099578899404,10
Pos13_Unpaired,0.00303957720334593,10
Pos13_Paired-Opening,0.00295635290172871,10
Pos4_Unpaired,0.00262913930775385,10
Pos3_Paired-Opening,0.00253898571414186,10
Pos8_Unpaired,0.00244836134018247,10
Pos8_Paired-Opening,0.0022825921912270402,10
Pos4_Paired-Opening,0.00218178578258661,10
Pos6_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos21_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos23_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
Pos22_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
