Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,12,0.4477144318369749,1.862096415991255e-50
,21,0.4477144318369749,1.862096415991255e-50
,31,0.4477144318369749,1.862096415991255e-50
,38,0.4477144318369749,1.862096415991255e-50
,51,0.4477144318369749,1.862096415991255e-50
,52,0.4477144318369749,1.862096415991255e-50
,53,0.4477144318369749,1.862096415991255e-50
,65,0.4477144318369749,1.862096415991255e-50
,83,0.4477144318369749,1.862096415991255e-50
,84,0.4477144318369749,1.862096415991255e-50
Pos1_Paired-Opening,12,-0.4477144318369749,1.862096415991255e-50
,21,-0.4477144318369749,1.862096415991255e-50
,31,-0.44768762900939846,1.8903083707338874e-50
,38,-0.4477144318369749,1.862096415991255e-50
,51,-0.4477144318369749,1.862096415991255e-50
,52,-0.4477144318369749,1.862096415991255e-50
,53,-0.4477144318369749,1.862096415991255e-50
,65,-0.4477144318369749,1.862096415991255e-50
,83,-0.4477144318369749,1.862096415991255e-50
,84,-0.4477144318369749,1.862096415991255e-50
Pos1_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos2_Unpaired,12,0.558773936604341,3.4576508335302124e-83
,21,0.558773936604341,3.4576508335302124e-83
,31,0.558773936604341,3.4576508335302124e-83
,38,0.558773936604341,3.4576508335302124e-83
,51,0.558773936604341,3.4576508335302124e-83
,52,0.558773936604341,3.4576508335302124e-83
,53,0.558773936604341,3.4576508335302124e-83
,65,0.501187084265491,1.030061401415212e-64
,83,0.558773936604341,3.4576508335302124e-83
,84,0.552406417783357,5.777963495510429e-81
Pos2_Paired-Opening,12,-0.558773936604341,3.4576508335302124e-83
,21,-0.558773936604341,3.4576508335302124e-83
,31,-0.558773936604341,3.4576508335302124e-83
,38,-0.558773936604341,3.4576508335302124e-83
,51,-0.558773936604341,3.4576508335302124e-83
,52,-0.558773936604341,3.4576508335302124e-83
,53,-0.558773936604341,3.4576508335302124e-83
,65,-0.558773936604341,3.4576508335302124e-83
,83,-0.558773936604341,3.4576508335302124e-83
,84,-0.558773936604341,3.4576508335302124e-83
Pos2_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos3_Unpaired,12,-0.11209875452109484,0.0003828383697722033
,21,0.32029390392250506,2.72833387624616e-25
,31,0.4656406082051105,5.8785135421355994e-55
,38,0.15637130453089332,6.719170942300834e-07
,51,0.34876726814427883,5.6181697308449405e-30
,52,0.04003976141074103,0.20583830309421694
,53,0.06438192395983477,0.0418005030099266
,65,0.2406884534241175,1.2058788121770396e-14
,83,-0.03701150351015822,0.24226534134933778
,84,-0.34774172393513586,8.453119669865564e-30
Pos3_Paired-Opening,12,-0.43983752890525635,1.4598332320082115e-48
,21,0.1780044823765903,1.4508699509697672e-08
,31,-0.31910388564208436,4.179765227128243e-25
,38,-0.14457754612574814,4.424761268752217e-06
,51,-0.1916945300741132,9.895239728199146e-10
