Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,22,-0.4644870458346667,1.1668901755981158e-54
,36,-0.4644870458346667,1.1668901755981158e-54
,61,-0.4644870458346667,1.1668901755981158e-54
,64,-0.4644870458346667,1.1668901755981158e-54
,76,-0.4644870458346667,1.1668901755981158e-54
,79,-0.4644870458346667,1.1668901755981158e-54
,81,-0.4644870597692926,1.1668805298313301e-54
,82,-0.4644870458346667,1.1668901755981158e-54
,93,-0.4644870458346667,1.1668901755981158e-54
,97,-0.4644870458346667,1.1668901755981158e-54
Pos1_Paired-Opening,22,0.48045002948509724,6.977504714685265e-59
,36,0.48045002948509724,6.977504714685265e-59
,61,0.48045002948509724,6.977504714685265e-59
,64,0.48045002948509724,6.977504714685265e-59
,76,0.48045002948509724,6.977504714685265e-59
,79,0.48045002948509724,6.977504714685265e-59
,81,0.4804500438986132,6.97744181316937e-59
,82,0.48045002948509724,6.977504714685265e-59
,93,0.48045002948509724,6.977504714685265e-59
,97,0.48045002948509724,6.977504714685265e-59
Pos1_Paired-Closing,22,-0.9999941315070582,0.0
,36,-0.9999941315070582,0.0
,61,-0.9999941315070582,0.0
,64,-0.6666627543380388,1.580787136883781e-129
,76,0.9999941315070582,0.0
,79,0.9999941315070582,0.0
,81,-0.3333313771690194,2.244870984213514e-27
,82,-0.9999941315070582,0.0
,93,0.9999941315070582,0.0
,97,-0.9999941315070582,0.0
Pos2_Unpaired,22,-0.4238398127261352,7.265866807061362e-45
,36,-0.4239247335461564,6.953161492995001e-45
,61,-0.4239247348179319,6.953156911513607e-45
,64,-0.4239247335461564,6.953161492995001e-45
,76,-0.4239247335461564,6.953161492995001e-45
,79,-0.3046959022362999,6.289470620045318e-23
,81,-0.4239247335461564,6.953161492995001e-45
,82,-0.4239247348179319,6.953156911513607e-45
,93,-0.4239247335461564,6.953161492995001e-45
,97,-0.4239247335461564,6.953161492995001e-45
Pos2_Paired-Opening,22,0.3661687625275963,4.3385109929198376e-33
,36,0.4419278168436507,4.639351952229486e-49
,61,0.4417920492544833,4.9991809275030135e-49
,64,0.25345340967242,4.0146478923137046e-16
,76,0.4419278168436507,4.639351952229486e-49
,79,0.40596263138070665,5.802169409844023e-41
,81,0.4419278168436507,4.639351952229486e-49
,82,0.441221819811684,6.839024388580514e-49
,93,0.4419278168436507,4.639351952229486e-49
,97,0.4419278168436507,4.639351952229486e-49
Pos2_Paired-Closing,22,-0.9999941315070582,0.0
,36,0.9999941315070582,0.0
,61,0.0,1.0
,64,0.9999941315070582,0.0
,76,-0.9999941315070582,0.0
,79,-0.9999941315070582,0.0
,81,-0.9999941315070582,0.0
,82,0.9999941315070582,0.0
,93,-0.9999941315070582,0.0
,97,-0.9999941315070582,0.0
Pos3_Unpaired,22,-0.33039255086781777,6.760849589639359e-27
,36,-0.37026888162393684,7.5088066093762885e-34
,61,-0.3703294869976584,7.3152321991442915e-34
,64,-0.37032626274733604,7.325404693837156e-34
,76,-0.23220369468265192,1.0409218873815479e-13
,79,-0.37025478515697574,7.554554246386618e-34
,81,-0.37025523168702806,7.553100879831015e-34
,82,-0.3702643336989382,7.523536006260665e-34
,93,-0.370254781824668,7.554565093428498e-34
,97,-0.2314094135867704,1.268203642621533e-13
