Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,33,0.4644870472281293,1.1668892110178627e-54
,62,0.4644870472281293,1.1668892110178627e-54
,74,0.4644916178527345,1.1637296039356016e-54
,79,0.4644870472281293,1.1668892110178627e-54
,82,0.4644870472281293,1.1668892110178627e-54
,86,0.4644870472281293,1.1668892110178627e-54
,90,0.4644870472281293,1.1668892110178627e-54
,91,0.4644870472281293,1.1668892110178627e-54
,92,0.4644870472281293,1.1668892110178627e-54
,95,0.4644870472281293,1.1668892110178627e-54
Pos1_Paired-Opening,33,-0.47256451904171565,9.076126928624303e-57
,62,-0.47256451904171565,9.076126928624303e-57
,74,-0.4725691691498967,9.050446788937695e-57
,79,-0.47256451904171565,9.076126928624303e-57
,82,-0.47256451904171565,9.076126928624303e-57
,86,-0.47256451904171565,9.076126928624303e-57
,90,-0.47256451904171565,9.076126928624303e-57
,91,-0.47256451904171565,9.076126928624303e-57
,92,-0.47256451904171565,9.076126928624303e-57
,95,-0.47256451904171565,9.076126928624303e-57
Pos1_Paired-Closing,33,-0.9999986626573133,0.0
,62,0.9999986626573133,0.0
,74,0.9999986626573133,0.0
,79,-0.9999986626573133,0.0
,82,-0.3333328875524378,2.2435924204694973e-27
,86,0.9999986626573133,0.0
,90,0.9999986626573133,0.0
,91,0.9999986626573133,0.0
,92,0.9999986626573133,0.0
,95,-0.9999986626573133,0.0
Pos2_Unpaired,33,0.10998237934139513,0.0004936606195495084
,62,0.4113399321117776,4.1168480130500714e-42
,74,0.10972315264091333,0.0005091218198557102
,79,0.3391658202183182,2.4270273557537336e-28
,82,0.4113399469200632,4.116817743206145e-42
,86,0.41132534805732224,4.1467670678693916e-42
,90,0.10969064922128668,0.0005110919283223504
,91,0.10969064922128668,0.0005110919283223504
,92,0.15035787576347892,1.7884994176343127e-06
,95,0.3702059389005999,7.715225338815094e-34
Pos2_Paired-Opening,33,-0.3673867858558446,2.583399732378502e-33
,62,-0.12252404520348327,0.00010260477325010157
,74,-0.4208935935566127,3.3169744940988955e-44
,79,-0.3807463053415117,7.557375965402826e-36
,82,-0.4208248776857784,3.435934235550618e-44
,86,-0.3803185737347976,9.148392887885582e-36
,90,-0.4208248650609915,3.43595647617479e-44
,91,-0.4208248650609915,3.43595647617479e-44
,92,-0.42082487011090614,3.435947579908139e-44
,95,-0.42082486253603424,3.435960924316507e-44
