Feature,Importance Magnitude
Pos20_Unpaired,0.009468127936152655
Pos15_Paired-Opening,0.007696992558394417
Pos4_Unpaired,0.007189421166289197
Pos9_Paired-Opening,0.006408519957442027
Pos4_Paired-Opening,0.006286092011465512
Pos5_Unpaired,0.006130159434445619
Pos6_Paired-Opening,0.0059502321448796905
Pos8_Paired-Opening,0.005753305033631035
Pos1_Unpaired,0.005273996410856293
Pos6_Unpaired,0.005011981877947615
Pos8_Unpaired,0.004723952320052164
Pos5_Paired-Opening,0.004708503883655999
Pos15_Unpaired,0.004680099694215048
Pos17_Paired-Opening,0.00416727488048776
Pos19_Paired-Opening,0.004121133748179332
Pos14_Paired-Opening,0.003974133147048764
Pos9_Unpaired,0.003898153637431574
Pos3_Paired-Opening,0.0038709423030996427
Pos18_Paired-Opening,0.0038454597198711274
Pos7_Paired-Opening,0.003844628776194082
Pos11_Paired-Opening,0.003722331587763817
Pos10_Paired-Opening,0.003691405014047767
Pos7_Unpaired,0.0036111378654813285
Pos19_Unpaired,0.0033845072831933842
Pos1_Paired-Opening,0.0033335191659169022
Pos2_Paired-Opening,0.00306652587234969
Pos20_Paired-Opening,0.0030586990998923546
Pos12_Paired-Opening,0.0030232407663644766
Pos10_Unpaired,0.002856626934700078
Pos3_Unpaired,0.002677998982934467
Pos2_Unpaired,0.0026374395710225393
Pos16_Paired-Opening,0.0026340287815901204
Pos18_Unpaired,0.0025869212011632304
Pos11_Unpaired,0.0025524127012690667
Pos14_Unpaired,0.0022842558902135576
Pos16_Unpaired,0.002271554742356059
Pos12_Unpaired,0.0022224940935663424
Pos17_Unpaired,0.001915216220855962
Pos13_Paired-Opening,0.0016530493559650545
Pos13_Unpaired,0.0015445290451291363
Pos20_Paired-Closing,6.948542988320651e-05
Pos9_Paired-Closing,1.77880837575776e-05
Pos18_Paired-Closing,1.65431640097811e-05
Pos16_Paired-Closing,1.53653889746053e-05
Pos10_Paired-Closing,1.32737460903081e-05
Pos19_Paired-Closing,9.8851340465622e-06
Pos13_Paired-Closing,9.3706258457767e-06
Pos17_Paired-Closing,9.209297987817662e-06
Pos12_Paired-Closing,9.0704125124897e-06
Pos14_Paired-Closing,8.384468087269601e-06
Pos11_Paired-Closing,5.4128906000914e-06
Pos15_Paired-Closing,2.9557452026346003e-06
Pos7_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos2_Paired-Closing,0.0
Pos1_Paired-Closing,0.0
