Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,12,0.7921232097500556,3.303507790461761e-216
,13,0.7484115268704625,3.561647727610981e-180
,16,0.7896612179361739,5.942431260498115e-214
,45,0.7415768563441958,3.277223802749333e-175
,52,-0.03488702817247414,0.2703832564656425
,80,0.7475052722150459,1.6559344123890787e-179
,81,0.5614587435801504,3.8632611596155277e-84
,82,0.7843747324462438,3.274489254744167e-209
,87,0.26953146270408396,4.183363865959117e-18
,97,0.7127050934470492,7.280878820846543e-156
Pos1_Paired-Opening,12,-0.7944794718541387,2.1477669519068498e-218
,13,-0.7729559237879949,2.0562133957147528e-199
,16,-0.6878888201328919,4.668672792910237e-141
,45,-0.7796773124823345,4.139169562418646e-205
,52,-0.7942453560681562,3.5527490846857926e-218
,80,-0.7639009293559577,4.825967723325419e-192
,81,-0.7800624707108865,1.924934966258501e-205
,82,-0.7789069960252305,1.9049906216940477e-204
,87,-0.7584407450570727,9.323579310000574e-188
,97,-0.7102657579995529,2.4381978181235134e-154
Pos1_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos2_Unpaired,12,0.7724384852204811,5.5390171807110335e-199
,13,0.22732244200653545,3.463533347134802e-13
,16,0.40788904383542884,2.2613413758152104e-41
,45,0.39105137520002803,6.944596385977573e-38
,52,0.5638044638563781,5.599889880966268e-85
,80,0.7541188234365924,1.913634385252608e-184
,81,0.7292728256279081,1.1648843782527692e-166
,82,0.4092597135549223,1.1522852307381046e-41
,87,0.4074924541196364,2.7468340155998035e-41
,97,0.10338467696422349,0.0010603730191742534
Pos2_Paired-Opening,12,-0.25308685810442355,4.4386762294689284e-16
,13,-0.715127792431309,2.146864307042241e-157
,16,-0.8623530272763839,2.9644180966079597e-297
,45,-0.6127171954707863,4.0918109497553234e-104
,52,-0.48495268755679233,4.087679381515589e-60
,80,-0.02092184693663235,0.5087073979215282
,81,-0.8623530272763839,2.9644180966079597e-297
,82,-0.3261080698104284,3.3017647930601714e-26
,87,-0.6401445052892781,2.1354053059018557e-116
,97,-0.8272304854286553,4.1247876873720664e-252
Pos2_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos3_Unpaired,12,0.6452961261222315,7.599653168012775e-119
,13,0.08398205926487351,0.007881149435402347
,16,0.1682482802240724,8.697795628432818e-08
,45,0.6273553495200106,1.6216307626099487e-110
,52,0.0968359907217638,0.0021723374255616244
,80,0.43296068524893955,5.995572579707104e-47
,81,0.02041403579357112,0.5190514320387741
,82,-0.5126171720557493,4.200379923980468e-68
,87,0.018323167030387,0.5627556459339222
,97,0.12662736242807174,5.932635642332686e-05
Pos3_Paired-Opening,12,-0.14353673732496344,5.189700736243515e-06
,13,0.2435335883749636,5.7439387996410685e-15
,16,-0.5284460308803914,5.1419360682608365e-73
,45,-0.708765920859693,2.0739238372788067e-153
,52,-0.32086766726025007,2.2196251325466646e-25
,80,0.5083722874861977,7.891363826930423e-67
,81,0.6529228856711614,1.4703760539021726e-122
,82,-0.7035387489517326,3.244836195471269e-150
,87,-0.23585771445911322,4.156638925230951e-14
,97,-0.644517312589636,1.7948069718147345e-118
Pos3_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos4_Unpaired,12,-0.8440193791428681,2.7224819905984224e-272
,13,-0.8440193791428681,2.7224819905984224e-272
,16,-0.8440193791428681,2.7224819905984224e-272
,45,-0.8440193791428681,2.7224819905984224e-272
,52,-0.8440193791428681,2.7224819905984224e-272
,80,-0.8440193791428681,2.7224819905984224e-272
,81,-0.8440193791428681,2.7224819905984224e-272
,82,-0.832545697467639,2.953090206145361e-258
,87,-0.8439411818080308,3.423197177795187e-272
,97,-0.8192663682425289,2.7499604207103935e-243
Pos4_Paired-Opening,12,0.8440193791428681,2.7224819905984224e-272
,13,0.8440193791428681,2.7224819905984224e-272
,16,0.8440193791428681,2.7224819905984224e-272
,45,0.8440193791428681,2.7224819905984224e-272
,52,0.8440193791428681,2.7224819905984224e-272
,80,0.8440193791428681,2.7224819905984224e-272
,81,0.8440193791428681,2.7224819905984224e-272
,82,0.7264390229419463,9.31469553246485e-165
,87,0.8440193791428681,2.7224819905984224e-272
,97,0.8361214483242935,1.6336041202907802e-262
Pos4_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos5_Unpaired,12,0.40412834519882246,1.4150008834245869e-40
,13,0.7674563706803111,6.755084748774546e-195
,16,0.7783877509375716,5.312238633075171e-204
,45,0.6487084472896142,1.708417821996661e-120
,52,0.4817432245523707,3.102247041122101e-59
,80,-0.23046704552529887,1.6015480849313154e-13
,81,0.788341753505375,9.33376318113159e-213
,82,0.08970386297349893,0.004527470578947068
,87,0.7184141922908897,1.6984497241191664e-159
,97,0.5354643386891929,2.809310564400797e-75
Pos5_Paired-Opening,12,-0.8143774315309112,4.3961050016138134e-238
,13,-0.8347290690929382,7.637845235468259e-261
,16,-0.8619362139944902,1.1991812985579501e-296
,45,-0.3909857345661237,7.158985865944355e-38
,52,-0.3865771373285729,5.43106345496743e-37
,80,-0.46506541802163587,8.277144123899364e-55
,81,-0.7611761991438002,6.867401346198047e-190
,82,-0.2579098701533865,1.1691954070300212e-16
,87,-0.3736632746657471,1.7240250682061067e-34
,97,-0.5713015206359503,1.0515605903129827e-87
Pos5_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos6_Unpaired,12,0.21446071097752925,7.218940906101547e-12
,13,0.8277772104101714,9.841881279497906e-253
,16,0.5418786481996397,2.1560491489762612e-77
,45,0.1836838172980603,4.880960019890934e-09
,52,0.8317084119935462,2.835025789884841e-257
,80,0.2525744461147405,5.106158475652284e-16
,81,0.8169856766518877,7.696459667512481e-241
,82,-0.040948264621124095,0.19572727859169053
,87,0.0941911694882929,0.0028684790375471873
,97,0.39784670997381877,2.8734924958756832e-39
Pos6_Paired-Opening,12,-0.35382566122736514,7.324956774101495e-31
,13,-0.8551624791941799,4.7023193798242015e-287
,16,-0.851021052927202,1.994130811447482e-281
,45,-0.41647962443049186,3.137177137240764e-43
,52,-0.8079740452147754,1.6988231855474216e-231
,80,-0.8441677282417466,1.762440189510525e-272
,81,-0.4159120177847639,4.1779872867518536e-43
,82,0.15798735347232878,5.131836836662415e-07
,87,-0.5637980752099719,5.62954183261747e-85
,97,-0.684649238323843,3.1095016264444235e-139
Pos6_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos7_Unpaired,12,-0.6005652265339638,4.751645015505487e-99
,13,-0.36208935192283515,2.423133780240212e-32
,16,-0.5340054994086423,8.38078297911289e-75
,45,-0.41887477381775584,9.307826617442252e-44
,52,-0.6518839067041216,4.7820926479932875e-122
,80,0.5407315952480104,5.190687283488877e-77
,81,-0.44124262019420774,6.761364163214533e-49
,82,-0.48996388250299244,1.6530928632015247e-61
,87,-0.4301302512170389,2.699110048904832e-46
,97,-0.4847189588325064,4.741258997167512e-60
Pos7_Paired-Opening,12,0.35583551387644397,3.2267008864194645e-31
,13,-0.37787421088203316,2.711126876110769e-35
,16,-0.3143555377266386,2.2494419677727217e-24
,45,0.6059604140476698,2.8519821159743753e-101
,52,0.12714109991682188,5.532804974693882e-05
,80,0.304473901179652,6.779981845121221e-23
,81,0.20665929466458574,4.158383500209817e-11
,82,0.3396427959142205,2.0191710841393001e-28
,87,0.42175125310225164,2.1352397216686289e-44
,97,0.5273581132014369,1.140535854341775e-72
Pos7_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos8_Unpaired,12,0.10584506175813953,0.000801288419800516
,13,0.17424051119545517,2.9303131523865317e-08
,16,0.609161079523336,1.3087780158058562e-102
,45,0.6021423633321097,1.0759178491315002e-99
,52,0.6255474892843595,1.0450585389528358e-109
,80,0.4333827993533207,4.784709933657408e-47
,81,0.14042370172737648,8.30621640558699e-06
,82,-0.01352249139555838,0.6693040014141755
,87,0.5411042214198685,3.903306049119617e-77
,97,0.367604378767206,2.3543330067410012e-33
Pos8_Paired-Opening,12,-0.3727044107332929,2.6171700326705006e-34
,13,-0.4270483198159125,1.3666096015924817e-45
,16,-0.5825604978578949,6.209580325963426e-92
,45,-0.4590875247812887,2.79075564432118e-53
,52,-0.37261976289983095,2.715230209606348e-34
,80,-0.284014643223457,5.22027385174602e-20
,81,-0.27866066775698395,2.721079968984772e-19
,82,-0.40968845997007575,9.325875219178063e-42
,87,-0.5386635422217133,2.5087134236687563e-76
,97,-0.38123267995459187,6.079545096142673e-36
Pos8_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos9_Unpaired,12,0.7922049151505106,2.777253565942566e-216
,13,0.7919928485945131,4.35654135572323e-216
,16,0.7922049151505106,2.777253565942566e-216
,45,0.7916368797326605,9.26475210522682e-216
,52,0.7922049151505106,2.777253565942566e-216
,80,0.7101200103683806,3.003837695825657e-154
,81,0.7922049151505106,2.777253565942566e-216
,82,0.7857899018315897,1.816235410349353e-210
,87,0.7861610183045852,8.476592998669529e-211
,97,0.7885013242261276,6.696719604651832e-213
Pos9_Paired-Opening,12,-0.781928054901824,4.616523412549119e-207
,13,-0.7929676089208365,5.476646361854186e-217
,16,-0.7923622872474158,1.9877874488103254e-216
,45,-0.7722202085643375,8.406905979942964e-199
,52,-0.7796051329800717,4.7769318452349345e-205
,80,-0.7444435102752387,2.836965336893824e-177
,81,-0.7718343159975316,1.755869513469081e-198
,82,-0.7808990080570086,3.630178068566981e-206
,87,-0.7929676089208365,5.476646361854186e-217
,97,-0.7857642810071286,1.9142368353337683e-210
Pos9_Paired-Closing,12,-1.0,0.0
,13,-1.0,0.0
,16,-1.0,0.0
,45,1.0,0.0
,52,-1.0,0.0
,80,1.0,0.0
,81,-1.0,0.0
,82,1.0,0.0
,87,1.0,0.0
,97,1.0,0.0
Pos10_Unpaired,12,0.4405310456246156,9.988788686934813e-49
,13,0.5528116258722812,4.18540431108153e-81
,16,0.4572789618525254,7.980206037068262e-53
,45,0.06917208134096514,0.028720795075897015
,52,0.27258102929931693,1.698564584915616e-18
,80,0.45762666945587305,6.523817140747895e-53
,81,0.6335667167497636,2.446761771044262e-113
,82,-0.1593442531424453,4.0839951295914904e-07
,87,-0.3563785617060909,2.5829533015530722e-31
,97,-0.3203038978587764,2.718555430140581e-25
Pos10_Paired-Opening,12,0.02113744282694886,0.5043485970174496
,13,-0.49088231108232616,9.12943500810469e-62
,16,-0.393776353438088,1.9536085644763099e-38
,45,-0.14836389775140815,2.45405133774271e-06
,52,-0.5459429819085331,9.32675042488448e-79
,80,-0.23592715377994988,4.084141312896289e-14
,81,-0.4782472001460544,2.753442488620836e-58
,82,0.3226868138829592,1.1504188923801837e-25
,87,-0.5524650238398625,5.514838526513061e-81
,97,-0.20415641486693917,7.188452443355279e-11
Pos10_Paired-Closing,12,-0.000414663644407431,0.989550870650888
,13,-0.027201935073127476,0.39018393235042337
,16,-0.19046883399781328,1.268922858878544e-09
,45,0.10853130014806983,0.0005861830192470381
,52,-0.13169717346380008,2.9456246346808455e-05
,80,-0.02742309536824474,0.3863406249080177
,81,0.0,1.0
,82,-0.027162605997817956,0.39086981234206075
,87,-0.10902820140431177,0.0005528234226422755
,97,0.08149523045371157,0.009932465274292101
Pos11_Unpaired,12,-0.7960404958824354,7.366413252609918e-220
,13,-0.7981333627175192,7.643297604594882e-222
,16,-0.6262265934831401,5.197603875409168e-110
,45,-0.7128289855857738,6.085687897843299e-156
,52,-0.818340101393538,2.7370082364096098e-242
,80,0.05273732735653814,0.09555918226836106
,81,-0.7594918945673124,1.4236450432639103e-188
,82,-0.5155088333539478,5.561109666373808e-69
,87,-0.6528869459189122,1.5317206045626613e-122
,97,-0.7617670668758356,2.3567990402890365e-190
Pos11_Paired-Opening,12,0.7698542723715642,7.513321035189353e-197
,13,0.8123189569977047,6.140186317874626e-236
,16,0.7590320489478559,3.2431905089756524e-188
,45,0.660220132164632,3.253218003319183e-126
,52,0.5914524276941142,2.1609961736221464e-95
,80,0.46006633510906614,1.5762562298875352e-53
,81,0.5071537575552676,1.8176791662521706e-66
,82,0.7484893399039649,3.120424710885051e-180
,87,0.05524350870857244,0.08079328261075948
,97,0.7214122802385542,1.9331656632293264e-161
Pos11_Paired-Closing,12,0.28265526500101656,7.965943989681885e-20
,13,0.2857419839635862,3.040902272087235e-20
,16,0.2857419839635862,3.040902272087235e-20
,45,0.2041014177291551,7.274862325053508e-11
,52,0.04600681120401361,0.14599806898819867
,80,0.14625168417889312,3.4157453332985687e-06
,81,0.26596178569521384,1.1841620532670655e-17
,82,0.18213755785514288,6.588877586464383e-09
,87,0.22098410409348304,1.583910543721346e-12
,97,0.06129341939959641,0.05266399365902146
Pos12_Unpaired,12,0.16691518821371928,1.1022452086250669e-07
,13,0.2719178984390434,2.068361951078351e-18
,16,-0.09774552812907548,0.0019712380059254894
,45,-0.08600921476524177,0.006498778949854946
,52,0.14721766617377008,2.9380497963360792e-06
,80,0.27446000522472463,9.691851871936447e-19
,81,0.19813591286900195,2.606598212675848e-10
,82,0.38417398521153584,1.6179798420886836e-36
,87,0.3972802962442995,3.757897382312604e-39
,97,0.598266565374492,4.0794775579079983e-98
Pos12_Paired-Opening,12,-0.4964753744779099,2.3610501790681863e-63
,13,-0.1726817637371886,3.9031704178311956e-08
,16,-0.7205665527624446,6.87342345258046e-161
,45,-0.27542639291191634,7.250015481995421e-19
,52,-0.8041601825943564,1.0878150332908875e-227
,80,-0.6379968818260418,2.170114901095117e-115
,81,-0.7370908749385202,4.8848570644353133e-172
,82,0.2746918137042686,9.040922068355036e-19
,87,-0.008892860407735334,0.7788095221386173
,97,-0.2595030900875525,7.478680528307202e-17
Pos12_Paired-Closing,12,-0.06123042513505417,0.052908039821393214
,13,0.2857419839635862,3.040902272087235e-20
,16,0.2857419839635862,3.040902272087235e-20
,45,-0.025239701993256217,0.4252894749127657
,52,-0.06123042513505417,0.052908039821393214
,80,-0.06944070969553015,0.028105359617087506
,81,0.12474964225606076,7.638849645180951e-05
,82,-0.00010499070044259054,0.9973542635573852
,87,0.06135647532779091,0.05242065023428345
,97,-0.022656937147024506,0.47419450996434875
Pos13_Unpaired,12,0.47263117813521266,8.714831424976084e-57
,13,0.4904566010650906,1.2024351560449825e-61
,16,-0.20936936208219523,2.2809482847992278e-11
,45,-0.11843642698561564,0.00017415742362264953
,52,-0.091772359445078,0.0036772451456698746
,80,-0.2360757535394639,3.933142757301271e-14
,81,-0.16214997898262937,2.53126776488646e-07
,82,0.22584747366280264,4.953795992757864e-13
,87,0.10714299520455725,0.0006895655218523198
,97,0.5427619081584998,1.093545899970523e-77
Pos13_Paired-Opening,12,-0.7391813299511993,1.6528825875721823e-173
,13,0.04622067488953347,0.1441311168780548
,16,-0.6733834419412086,4.494491671849669e-133
,45,-0.19881949461782386,2.2564694661953026e-10
,52,-0.29479746340401375,1.6812418717046317e-21
,80,-0.5872464999574477,9.635197369104909e-94
,81,-0.5486652016979249,1.1109108787993393e-79
,82,0.21035194790192036,1.8309355764265716e-11
,87,0.06783179340736765,0.03196744125625474
,97,0.09942372604016537,0.0016443414874624815
Pos13_Paired-Closing,12,0.07945676567594136,0.011954800317591064
,13,0.25611368154055414,1.92785991391834e-16
,16,0.2857419839635862,3.040902272087235e-20
,45,0.04096727004063467,0.19551971387244504
,52,0.06123042513505417,0.052908039821393214
,80,-0.018310332893610167,0.5630292917544433
,81,0.04073629119285606,0.19805325147980574
,82,0.20842710644500323,2.813193191466292e-11
,87,-0.16239921545148805,2.4249924298042895e-07
,97,0.2857419839635862,3.040902272087235e-20
Pos14_Unpaired,12,-0.8523551673576465,3.204764298895332e-283
,13,-0.8223638701603888,1.1482264445014854e-246
,16,-0.8584201204392323,1.3212481663880287e-291
,45,-0.8591912656764099,1.063901009181133e-292
,52,-0.7797841480102862,3.3477448011354313e-205
,80,-0.8061211893989366,1.230189452547293e-229
,81,-0.8636027722134169,4.366071848392189e-299
,82,-0.8585243292550672,9.408377481158945e-292
,87,-0.8278174648557437,8.854633202911049e-253
,97,-0.8594899976151364,3.9931395258289523e-293
Pos14_Paired-Opening,12,0.7929141377714221,6.138255902205109e-217
,13,0.8604551597568975,1.6578591529751504e-294
,16,0.8619933323954669,9.904423619214573e-297
,45,0.680329600815945,7.7161002360852755e-137
,52,0.7684419496658929,1.0701629187742535e-195
,80,0.8434729023824208,1.3456680530546776e-271
,81,0.8478310581917009,3.3032401217501856e-277
,82,0.8601710828281527,4.2395561346362366e-294
,87,0.8553209889227533,2.840846146144471e-287
,97,0.8642798052365839,4.366100635630334e-300
Pos14_Paired-Closing,12,0.2490289183916059,1.3345549609616797e-15
,13,0.14659517652740747,3.2379365906469416e-06
,16,0.20335845982386083,8.546439799998436e-11
,45,0.21507088377165015,6.2768807145785985e-12
,52,0.29393986823918716,2.2216038387619596e-21
,80,0.10654108507455799,0.0007394458341902891
,81,0.24209340600478432,8.370817557793683e-15
,82,0.29885690482013966,4.437091240366286e-22
,87,-0.010143443545233706,0.7486871784315912
,97,0.2911216911459477,5.5146136858402596e-21
Pos15_Unpaired,12,-0.4009988332947109,6.39352891535156e-40
,13,0.08334223061061258,0.008369094801703808
,16,0.07198426673148103,0.02281914829329307
,45,-0.5288534316512377,3.812762028236099e-73
,52,0.5238649462750433,1.4439322133253264e-71
,80,0.128041314263969,4.8929437933390905e-05
,81,0.014334849573258764,0.650718654739143
,82,-0.7964983546739988,2.724023133771941e-220
,87,-0.023501543746180686,0.4578710147495082
,97,0.050663423866560406,0.10934533057005968
Pos15_Paired-Opening,12,0.5686356153660624,9.984804869345723e-87
,13,0.4495211093600088,6.736887823677148e-51
,16,0.40781008597899093,2.350670632186589e-41
,45,-0.3806846548046932,7.768514307303414e-36
,52,0.282397732117283,8.627706095688571e-20
,80,0.6038393281024356,2.1560955367505573e-100
,81,0.44804788774410736,1.5442124592624513e-50
,82,0.7195814832057386,2.9941734827245064e-160
,87,0.6364038096975253,1.1975419630361463e-114
,97,0.07970059121096736,0.011695093013629197
Pos15_Paired-Closing,12,-0.07040447967242415,0.02598983095139252
,13,-0.27058399569162866,3.0689215891599906e-18
,16,-0.2141654520925273,7.723154123226424e-12
,45,0.20852979076704078,2.7497575724983037e-11
,52,0.030067182126634152,0.34219694486576646
,80,0.27054270879547127,3.106522234012411e-18
,81,0.11245518340874668,0.0003666340161648845
,82,0.10642729656976477,0.0007492436568613329
,87,-0.0056253396014471725,0.85898389505631
,97,0.04160686960263037,0.18862808488561714
Pos16_Unpaired,12,-0.7224457814532483,4.0763066027890633e-162
,13,-0.6371874463958236,5.175362202200341e-115
,16,0.42248574879172096,1.4627895142460448e-44
,45,0.19029981324540018,1.3130268222115084e-09
,52,0.13621449300275232,1.5444359137108046e-05
,80,0.400403700472838,8.501722218669854e-40
,81,0.500515963135603,1.61403375249345e-64
,82,0.21556335099032126,5.605266289924311e-12
,87,0.21607964532700288,4.976717221997928e-12
,97,0.06231463335232321,0.048837008473417015
Pos16_Paired-Opening,12,-0.49943306755587646,3.3244725826182527e-64
,13,-0.3404878872775108,1.4563399014788823e-28
,16,0.8170045673061183,7.347911359233641e-241
,45,-0.07934088676258934,0.012080007196910039
,52,0.6552658890926379,1.0114234272946425e-123
,80,0.3530135715672189,1.018450844204307e-30
,81,0.25539364248478436,2.353238338116836e-16
,82,0.027061578011632777,0.3926350400934503
,87,0.8208863510372951,4.7876517735247014e-245
,97,0.42746063812586027,1.1010946623829501e-45
Pos16_Paired-Closing,12,-0.34698736889711695,1.1405197312012606e-29
,13,-0.35135897087736556,1.987382847050672e-30
,16,-0.029636387643443316,0.3491607751205058
,45,0.321440819825039,1.805357438757227e-25
,52,-0.1956206503310083,4.412192216105834e-10
,80,0.16626602609644822,1.2361644202431493e-07
,81,-0.35135897087736556,1.987382847050672e-30
,82,0.06904911174662233,0.02900636617131993
,87,0.1344182351084368,2.0014443106932343e-05
,97,0.007112391503021689,0.8222631529367103
Pos17_Unpaired,12,0.27705750695172154,4.430063294585996e-19
,13,-0.031880561343792066,0.3138641572391877
,16,0.44402912992011073,1.4536891440325268e-49
,45,0.6879925685709628,4.077548628875147e-141
,52,-0.2516986787115372,6.48278934659026e-16
,80,0.5781043128634973,3.0651683055104527e-90
,81,-0.06181604439352568,0.050675301968134676
,82,0.5950518043097676,8.014543259640976e-97
,87,0.7896359112957706,6.265930428620497e-214
,97,-0.2538552539324006,3.5955270869736725e-16
Pos17_Paired-Opening,12,-0.6580278056592935,4.1799841490602197e-125
,13,-0.7392442342418398,1.4920045334513828e-173
,16,-0.505939209621754,4.161418828401051e-66
,45,0.45086999784878645,3.1409532601309186e-51
,52,-0.393410423031479,2.3179553448935252e-38
,80,-0.10590985734176632,0.0007953350971047812
,81,-0.49075131811488026,9.937309664856043e-62
,82,-0.41938290570038966,7.183704426651412e-44
,87,-0.44874523069826205,1.0432915368885234e-50
,97,0.06701403762904082,0.034098774377346916
Pos17_Paired-Closing,12,0.22536276344741915,5.56898117055981e-13
,13,-0.3590614599470892,8.548643434403186e-32
,16,0.2752094340709057,7.739015478170002e-19
,45,-0.2843499398808444,4.701813827483677e-20
,52,-0.06435952125590293,0.04187189757283736
,80,-0.338340752078124,3.3339431311923724e-28
,81,-0.0015791184625945287,0.9602230472099978
,82,0.2101731477596051,1.905792336590038e-11
,87,-0.2568950019544654,1.551703567023586e-16
,97,0.04006282025471304,0.20557707393119073
Pos18_Unpaired,12,0.1751724072198757,2.465713608528801e-08
,13,-0.37883824400145943,1.7682950316472815e-35
,16,-0.35374145141525765,7.579959706444419e-31
,45,-0.07154536775997032,0.023664468822902247
,52,-0.5338084996100936,9.709739898692076e-75
,80,-0.490136457430662,1.4787877588010814e-61
,81,-0.05718543174659945,0.07067194165322958
,82,-0.28575993968189534,3.0238081074593625e-20
,87,-0.04289517033785434,0.17529279322994373
,97,-0.037042503549289785,0.24187084996107344
Pos18_Paired-Opening,12,0.4302522385740374,2.530394403648995e-46
,13,-0.3046203728204722,6.452282406354596e-23
,16,0.22178054033009117,1.311800728017432e-12
,45,0.33637310098434425,7.081192193179686e-28
,52,0.027224049016100215,0.3897985969608122
,80,0.2698947244509475,3.759748662618926e-18
,81,-0.1307565149192534,3.360799006639468e-05
,82,0.3990677608923648,1.6084897658793425e-39
,87,-0.007293702835546766,0.817810700794326
,97,0.06698079311826818,0.034187926411798436
Pos18_Paired-Closing,12,-0.26470914018123426,1.6997119492529684e-17
,13,-0.34743074648787,9.565045057155863e-30
,16,0.05208525357428252,0.09973540778260602
,45,-0.18798010117906674,2.091978941813372e-09
,52,-0.11669100079622911,0.00021720329770825067
,80,-0.11586205776852168,0.00024097141512214326
,81,0.34739620719504877,9.697153057530609e-30
,82,0.06995934117715379,0.026949216068629604
,87,0.17285189092340641,3.7834097246015996e-08
,97,0.13035129110699087,3.5562511558349225e-05
Pos19_Unpaired,12,-0.11529598229671535,0.00025857950534598364
,13,-0.21228414178785004,1.1847320350142306e-11
,16,-0.35928712543546026,7.785643945843783e-32
,45,0.2567771741653103,1.603412254821217e-16
,52,-0.0743155577385282,0.018754471040544403
,80,0.026490051276116398,0.40271168733006224
,81,-0.2896100113557159,8.94314982745573e-21
,82,-0.08188810280059051,0.00957970103559886
,87,-0.2291405023880308,2.2205155595606302e-13
,97,0.12911778229563053,4.2196982536205134e-05
Pos19_Paired-Opening,12,-0.43502644641052335,1.9816782897198495e-47
,13,-0.748350096322089,3.953489896839839e-180
,16,-0.5801212576037518,5.287284276255446e-91
,45,-0.5113411714910615,1.0188266110362966e-67
,52,-0.6531705012554477,1.1093326108080012e-122
,80,-0.725760315701787,2.6385287287455117e-164
,81,0.4420097703319433,4.434733181080399e-49
,82,-0.8095319301923435,4.473333413755051e-233
,87,0.17323661705672402,3.5255583933117056e-08
,97,-0.5483146203098347,1.462717826403233e-79
Pos19_Paired-Closing,12,0.2092923736330072,2.320458416587471e-11
,13,0.3020017995082974,1.5577920527210873e-22
,16,0.23951585619182364,1.632487000509655e-14
,45,-0.35566770570178574,3.4560838883257476e-31
,52,-0.5086143732228281,6.683223639331288e-67
,80,-0.35728723695686493,1.7782209266608761e-31
,81,0.4855913965319178,2.723897061159794e-60
,82,0.1334773385481117,2.289522050444023e-05
,87,0.35489871963822295,4.731857311645921e-31
,97,0.02072766980421532,0.5126499751522423
Pos20_Unpaired,12,-0.849850889790711,7.225031996910595e-280
,13,-0.850169925016669,2.7232670354847303e-280
,16,-0.8651090962495704,2.5574940360690703e-301
,45,-0.8250840464886262,1.0904291441812592e-249
,52,-0.8561830454711377,1.813656990354882e-288
,80,-0.7483005902586114,4.300328410267132e-180
,81,-0.8651090962495704,2.5574940360690703e-301
,82,-0.671378423060789,5.253315187198385e-132
,87,-0.8303342566201518,1.129741929291961e-255
,97,-0.8650744185076185,2.8807662700667693e-301
Pos20_Paired-Opening,12,0.710409454411248,1.9846384183359896e-154
,13,0.5560391180511581,3.1581919171389706e-82
,16,0.2224241054828089,1.1258712970103763e-12
,45,0.39769339838861206,3.0901173636583763e-39
,52,0.6558748079376615,5.0247047904646885e-124
,80,0.2639330279440924,2.1242670848405033e-17
,81,0.8512395224663412,1.0166882864975685e-281
,82,0.5111680363074783,1.1486508972489003e-67
,87,0.5945383088277806,1.2855920464335923e-96
,97,0.7719715071836797,1.3516069505665527e-198
Pos20_Paired-Closing,12,0.548827162111656,9.782138270228406e-80
,13,0.5271535737061268,1.3243922710355632e-72
,16,0.35898781036122157,8.813359117751666e-32
,45,-0.2197274038978388,2.1294353783006865e-12
,52,0.5356992220403711,2.354803950353237e-75
,80,0.10382365507989355,0.0010091072121480122
,81,0.530747740921673,9.43989138614041e-74
,82,0.2972897495795498,7.439445904434806e-22
,87,0.11075138524158074,0.0004503281275979764
,97,0.5460582433874026,8.526623675521717e-79
Pos21_Unpaired,12,-0.06364633252899611,0.04419919276625939
,13,-0.032472165820528434,0.30496405638438584
,16,-0.09588552414992389,0.002402405029242465
,45,-0.14037250226414288,8.37002525980672e-06
,52,-0.18832081134385725,1.954365887731056e-09
,80,-0.12572841084937328,6.698777423915894e-05
,81,0.057455875225321744,0.06934854953400148
,82,-0.27041650601683487,3.2242954831600508e-18
,87,-0.1245302581856634,7.86600791550372e-05
,97,-0.09395516649608995,0.002939565691807587
Pos21_Paired-Opening,12,0.3513975285385874,1.95674975205644e-30
,13,0.26206337839061883,3.623859422806571e-17
,16,0.016786025926202746,0.5959772957751963
,45,-0.43141205374462493,1.3680181776328543e-46
,52,0.4869017621671461,1.1812856641596089e-60
,80,-0.38640935543421395,5.862904700524058e-37
