Feature,Model,Spearman Correlation,P-Value
crRNA spacer,2,0.9847436218160726,0.0
,35,0.9795873161499025,0.0
,42,0.9759351622205729,0.0
,43,0.9874324300711979,0.0
,45,0.9853342040685558,0.0
,63,0.9861698212556029,0.0
,73,0.9791005582934059,0.0
,78,0.973120875486872,0.0
,79,0.975491238527446,0.0
,84,0.9852550817667829,0.0
bh_maximal consecutive paired bases,2,-0.9347111837218122,0.0
,35,-0.7461115691544031,1.7372119195067885e-178
,42,-0.8525673394915311,1.6552345091139707e-283
,43,-0.8974036675455926,0.0
,45,-0.8814191909412106,0.0
,63,-0.9457632112359226,0.0
,73,-0.9084918334047172,0.0
,78,-0.8849041862125878,0.0
,79,-0.9158258474228168,0.0
,84,-0.8955528238755206,0.0
bh_maximal consecutive unpaired bases,2,-0.11293466270590614,0.00034584403076834186
,35,-0.6070334353519083,1.0190328260025189e-101
,42,-0.23662982588886516,3.416937123423221e-14
,43,-0.24055073538300373,1.2496536555666083e-14
,45,-0.5191554027856422,4.22341797910829e-70
,63,-0.0882632408744391,0.005220708043897049
,73,-0.4086676807418351,1.542407193981621e-41
,78,-0.08794122494491564,0.005388195332619617
,79,-0.11271638739799776,0.0003551679298186388
,84,-0.2560165960546336,1.980462313579157e-16
bh_5' overhang,2,0.8654263705541557,8.593914350543201e-302
,35,0.8072258571795432,9.629062992650625e-231
,42,0.7430559934405309,2.8487754767555346e-176
,43,0.8194202208854553,1.875047293290982e-243
,45,0.8002243827812048,7.54226694125638e-224
,63,0.8142378889882754,6.156416977652915e-238
,73,0.7541864764702748,1.7003661478316485e-184
,78,0.6368230009780927,7.64751535953305e-115
,79,0.7633456781430837,1.3326966191766287e-191
,84,0.8678000876130547,2.2486499419595176e-305
bh_3' overhang,2,-0.4446051615733731,1.0560781281967266e-49
,35,-0.77660604832581,1.7554593773234353e-202
,42,-0.5955882608145173,4.887445085777441e-97
,43,-0.8111778075780014,9.246394421844697e-235
,45,-0.5229935921229224,2.7073601220133535e-71
,63,-0.7313560228984324,4.486854809850197e-168
,73,-0.5260573635654492,2.945289277256701e-72
,78,-0.5983235475464287,3.86855454429934e-98
,79,-0.5635755082848568,6.76619837509299e-85
,84,-0.6787763540943474,5.4752929801299606e-136
bh_5' stem,2,-0.21710789125236682,3.923565862848499e-12
,35,-0.5534918647302242,2.433426461749484e-81
,42,-0.49113708179025484,7.7406354512020475e-62
,43,-0.6289649445806473,3.0548712245859302e-111
,45,-0.26349354603009056,2.4093546248091372e-17
,63,0.1954597943899743,4.5621532912082585e-10
,73,-0.5854963940262782,4.602622936616639e-93
,78,-0.5868100775773225,1.424314977084529e-93
,79,-0.6137852461937646,1.432715181985711e-104
,84,0.14808567222728103,2.56397167468936e-06
bh_3' stem,2,0.7193365553714615,4.312777570467753e-160
,35,0.7478024979996339,1.0010884506006943e-179
,42,0.7751750502919436,2.846673726040694e-201
