Feature,Model,Spearman Correlation,P-Value
crRNA spacer,21,0.6014024621856482,2.161993455024596e-99
,27,0.6321811406941464,1.0557144631763845e-112
,28,0.8963459853980316,0.0
,61,0.5261423701344614,2.768575515745748e-72
,69,0.4527893292600192,1.0542510502469418e-51
,86,0.8712450242581639,1.0652050685393e-310
,88,0.8610311205321113,2.4548232652336426e-295
,93,0.9291902377895942,0.0
,96,0.9097405454454819,0.0
,99,0.628193167146046,6.8097801645845e-111
bh_maximal consecutive paired bases,21,0.495798305757243,3.6883323276846195e-63
,27,0.3918325836287141,4.833557023641324e-38
,28,-0.30787295360028516,2.131962985868238e-23
,61,-0.8659953417661559,1.2072595778262265e-302
,69,-0.35442336422984366,5.743673804594912e-31
,86,0.23869643825248815,2.0153918379998958e-14
,88,0.25717732624002737,1.4343911411114038e-16
,93,0.3799641153262976,1.0715465264499632e-35
,96,-0.6478116393741925,4.653918316148865e-120
,99,-0.2516358818630699,6.594472884648159e-16
bh_maximal consecutive unpaired bases,21,0.8691179339238019,2.152549686606452e-307
,27,0.7618350553919827,2.0834886059543415e-190
,28,0.8360417092352411,2.0379700996213124e-262
,61,0.8673292680462411,1.1693857347752468e-304
,69,0.8664520171635924,2.482014638441656e-303
,86,0.9067194394824474,0.0
,88,0.7840527563994063,6.303365565604071e-209
,93,0.8871831472861402,0.0
,96,0.8915625256767891,0.0
,99,0.8419724647237192,1.0488761538991961e-269
bh_5' overhang,21,0.6518179449626519,5.153084445603199e-122
,27,-0.14597319554738208,3.5667304730219174e-06
,28,-0.013955730810381779,0.6593661510205837
,61,0.28359285622482894,5.953216252718969e-20
,69,0.3866652031114697,5.217186679528078e-37
,86,0.06337297311895096,0.04511967593572056
,88,0.579433224444305,9.642429075764719e-91
,93,0.24322430237839773,6.229083681459718e-15
,96,0.32198928268302096,1.4809137621254585e-25
,99,-0.08929507350794999,0.004715193070231341
bh_3' overhang,21,-0.6805934090907216,5.525030034795283e-137
,27,-0.14000798360300468,8.838027428901854e-06
,28,-0.45119644439632,2.6099699134309417e-51
,61,-0.553306253820323,2.8218648465089987e-81
,69,-0.7078446181570041,7.672866036300355e-153
,86,-0.7245763554804717,1.6103870870022308e-163
,88,-0.39851317396785046,2.0941156725522373e-39
,93,-0.8294117553300134,1.3161984017232028e-254
,96,-0.8170708154109525,6.245414714323569e-241
,99,-0.11496176552835045,0.00026953374835182725
bh_5' stem,21,0.7617772525823729,2.313683139030184e-190
,27,0.37728057687124306,3.524727393016391e-35
,28,0.6829705857211197,2.680615512921652e-138
,61,0.6462658613480404,2.59745603024447e-119
,69,0.6874431649116534,8.345744875955881e-141
,86,0.6971958145388667,1.9700280022498222e-146
,88,0.7136679361096738,1.8025322265915187e-156
,93,0.6740169251393038,2.058583392609924e-133
,96,0.6946151366269934,6.388998699577288e-145
,99,0.7016658922554612,4.352239204225387e-149
