Feature,Model,Spearman Correlation,P-Value
crRNA spacer,44,-0.22008842912640195,1.9562263204101544e-12
,46,-0.49814151769982695,7.84381566256504e-64
,58,-0.6106912298925085,2.962452039972276e-103
,60,-0.7906997580926312,6.705860989135612e-215
,61,-0.6461132773535425,3.0762580594452914e-119
,67,-0.2750099071430936,8.217362973188182e-19
,90,-0.2595082945109473,7.467734540010391e-17
,91,-0.5997627596718847,1.0085161931009492e-98
,94,-0.3169784209943058,8.911692940859275e-25
,97,-0.45305000927569494,9.084822725437737e-52
bh_maximal consecutive paired bases,44,0.696419071468614,5.63564164293645e-146
,46,0.5925571261906624,7.896746255586352e-96
,58,0.4756724237390495,1.3527676310549832e-57
,60,0.5023468401508425,4.729061464346997e-65
,61,0.6763383594212491,1.1576907170032928e-134
,67,0.645625990737438,5.276992691746396e-119
,90,0.5767972162594315,9.511124220176562e-90
,91,0.6076048807753485,5.881110416211947e-102
,94,0.5457105079695482,1.1175066931905557e-78
,97,0.38644561662066756,5.7667777125093775e-37
bh_maximal consecutive unpaired bases,44,-0.8224544408926068,9.1248820460946e-247
,46,-0.8436820687090785,7.305199656433336e-272
,58,-0.7573005628645402,7.082215870724756e-187
,60,-0.7740736623451333,2.396131017538203e-200
,61,-0.6689660526408512,9.86336857771152e-131
,67,-0.799949831358938,1.3874618767138098e-223
,90,-0.6989760203967602,1.7487712641923469e-147
,91,-0.814844047645159,1.4226229018012252e-238
,94,-0.7525096919447991,3.1442393788321886e-183
,97,-0.6939702172497599,1.5153804534911938e-144
bh_5' overhang,44,-0.35263705270053014,1.186210683614718e-30
,46,-0.5220378650434985,5.383540442561019e-71
,58,-0.6240769798356389,4.714221856311602e-109
,60,-0.6021526684529316,1.0654973246996862e-99
,61,-0.5563295916360761,2.4993522543988578e-82
,67,-0.5814190983924065,1.695501761974782e-91
,90,-0.6107377564569799,2.8312436936464574e-103
,91,-0.5392344820771859,1.62565319223112e-76
,94,-0.6547776290726252,1.7702833859161462e-123
,97,-0.5585533415662889,4.136195668657156e-83
bh_3' overhang,44,0.47059234406019457,3.0066584316792568e-56
,46,0.6607171348319937,1.8181549318186484e-126
,58,0.6305438075275046,5.884513240458452e-112
,60,0.4989260557783205,4.658666980926552e-64
,61,0.6079418127785101,4.250828676429761e-102
,67,0.508351760886559,8.003287221719834e-67
,90,0.6307936606870341,4.530412456721906e-112
,91,0.549916683768434,4.1495945140824335e-80
,94,0.5934676731646391,3.434052827798114e-96
,97,0.5695463525944358,4.638799151248077e-87
bh_5' stem,44,-0.5388927391798675,2.1079207966742992e-76
,46,-0.3428190340954574,5.882053742731035e-29
,58,-0.4360464238968268,1.1439531325751615e-47
,60,-0.3540063100751119,6.806250888550387e-31
,61,-0.187398049671011,2.3491719042580233e-09
,67,-0.44829453194038593,1.344367897370994e-50
,90,-0.2621305533301597,3.555241828291067e-17
,91,-0.34935239205120155,4.447044528290785e-30
,94,-0.42583701180227157,2.573458448006305e-45
,97,-0.6471321885198147,9.921582416028259e-120
bh_3' stem,44,0.6979803172676521,6.79122776703915e-147
,46,0.75652303291655,2.804621752398057e-186
,58,0.6885891621279204,1.8699416326172544e-141
,60,0.7520476843645013,6.995500708394892e-183
,61,0.7706531506884461,1.6581420958856388e-197
,67,0.5784248042450765,2.3202475813173883e-90
,90,0.7389974066025873,2.2294493559394312e-173
,91,0.7371312844874347,4.576755804282898e-172
,94,0.6964995488973206,5.0549520721339e-146
,97,0.7673759888154003,7.847239193152469e-195
dsDNA target,44,0.9872154287963474,0.0
,46,0.9908748148619254,0.0
,58,0.9893235611384825,0.0
,60,0.9891039548945001,0.0
,61,0.9911266231416843,0.0
,67,0.9884326981487337,0.0
,90,0.990432770370814,0.0
,91,0.9891495189451216,0.0
,94,0.9900083658993007,0.0
,97,0.9907787247551691,0.0
ah_maximal consecutive paired bases,44,-0.8509842295716096,2.2336740974029557e-281
,46,-0.8929988090014072,0.0
,58,-0.8742215735810216,2.002757545e-315
,60,-0.9318352860356236,0.0
,61,-0.9311162676837129,0.0
,67,-0.8376601599885436,2.2360432936685432e-264
,90,-0.8735306893211374,2.5655976923e-314
,91,-0.9062842504581202,0.0
,94,-0.906210474216798,0.0
,97,-0.9369847668795885,0.0
ah_maximal consecutive unpaired bases,44,-0.8575807981756175,2.0158067738303284e-290
,46,-0.9277145286667428,0.0
,58,-0.9041889619545339,0.0
,60,-0.8682681103110736,4.339120273405994e-306
,61,-0.8541269377926026,1.2466654039088485e-285
,67,-0.7778863321860919,1.4263467897583705e-203
,90,-0.86025420824393,3.221757632045065e-294
,91,-0.8446612684553143,4.134325022813266e-273
,94,-0.9112115138054089,0.0
,97,-0.8770146174082226,5.7074e-320
ah_5' overhang,44,-0.38717765710898583,4.128555422999719e-37
,46,0.21851450751427606,2.828647479392542e-12
,58,0.1810487161352929,8.12641137332266e-09
,60,0.39248114046953403,3.5750991595938644e-38
,61,-0.16638151285314554,1.2112428574676886e-07
,67,0.3900705125840508,1.0930741252940416e-37
,90,-0.22129341868695235,1.4722264111094775e-12
,91,0.1391256045975821,1.007648220236462e-05
,94,0.14865828269738343,2.3426699854447845e-06
,97,0.3265636116244776,2.7927898478063237e-26
ah_3' overhang,44,-0.6838141816427672,9.096477066156393e-139
,46,-0.47989478394607205,9.871489820834561e-59
,58,-0.6468198419854311,1.4042110327721435e-119
,60,-0.5050986073993013,7.3682135763567e-66
,61,-0.7123366149770222,1.2403704197621638e-155
,67,-0.5767638955289225,9.78902275139425e-90
,90,-0.7179737196637884,3.262059425809067e-159
,91,-0.6163299069307323,1.1567426786511788e-105
,94,-0.5008149928954844,1.3214737554454955e-64
,97,-0.6375779782745601,3.403834248375796e-115
ah_5' stem,44,-0.5705416983440225,2.00147322870963e-87
,46,-0.537676008091181,5.30282617956878e-76
,58,-0.4929899908958438,2.321276019798917e-62
,60,-0.3831529480179484,2.5657115765632335e-36
,61,-0.37026919144824466,7.5078042204253605e-34
,67,-0.2557570256795403,2.1281392926155905e-16
,90,-0.5548203473027739,8.407905934932639e-82
,91,-0.07445446570354443,0.01853361749412395
,94,-0.5709247322222123,1.4472197117496748e-87
,97,-0.34674849210182557,1.2537823728281829e-29
ah_3' stem,44,0.8410134534394278,1.657811750944629e-268
,46,0.8882285463896454,0.0
,58,0.8127202306111113,2.355614053096941e-236
,60,0.8355823401799939,7.269985459701981e-262
,61,0.7115922780520644,3.6291635778932336e-155
,67,0.7861524616215579,8.62699164683707e-211
,90,0.7979865601040432,1.054894025543531e-221
,91,0.8294171216100664,1.2975882171227808e-254
,94,0.8250645584910117,1.1466662670957376e-249
,97,0.8083972699017545,6.345757781347755e-232
PAM-proximal region,44,-0.8582332685421883,2.4272231628035212e-291
,46,-0.8335983550782887,1.6887669643227973e-259
,58,-0.8163218002872191,3.909685868798965e-240
,60,-0.6357006051244619,2.53714426681544e-114
,61,-0.8314144021457631,6.254539910049587e-257
,67,-0.8098771347389299,1.9891060106780774e-233
,90,-0.8813041759677743,0.0
,91,-0.8239633791037554,1.9458205148501557e-248
,94,-0.7869511140347386,1.6650578774150731e-211
,97,-0.8794079620747512,0.0
central region,44,-0.8193954907470055,1.9941422468447031e-243
,46,-0.861495730747111,5.22563813154333e-296
,58,-0.8294237302186179,1.2750299500792054e-254
,60,-0.8813771203411993,0.0
,61,-0.8706688465582215,8.48411842027915e-310
,67,-0.8987489059315371,0.0
,90,-0.9329029816352923,0.0
,91,-0.9528440204144307,0.0
,94,-0.9129876962312905,0.0
