crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region,crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region
0.7683188,0.84891015,0.5740613,0.5740613,0.97322625,0.94736844,0.94736844,0.49730286,0.5071639,1.0,1.0,1.0,0.5071639,0.5071639,0.6694905,0.34801516,0.47221366,0.001943263535738969,0.0008788808729542644,0.0006729995631254284,0.0024776147073429892,-0.0014629170528222197,0.00042322321690705907,0.0005014241597358388,0.0012839660398390848,0.0007278307998260823,0.0,0.0,0.0,0.0006013571405024982,0.001083175692220454,-0.0016712161548143776,-0.0009644537440708263,1.486009094394381e-05
0.7075613,0.6924521,0.93773437,0.93773437,0.97322625,0.94736844,0.94736844,0.5330721,0.5430645,1.0,1.0,1.0,0.5430645,0.5430645,0.43949056,0.51245964,0.6912137,0.0005145956838753563,-0.0016303264022921636,-0.001110279781299364,-0.001940944599502777,-0.0016103122276872515,0.000639770740613898,0.001353170748665808,0.0018503836843833678,0.0010931902424302052,0.0,0.0,0.0,0.0012491456763981336,0.001274142528969936,0.0004228645960712964,0.0007285732380589196,0.0017577778383699645
0.73062944,0.83814347,0.7542858,0.93773437,0.76627636,0.94736844,0.94736844,0.36037958,0.37312913,1.0,1.0,1.0,0.37312913,0.37312913,0.38324052,0.38468182,0.31021357,0.0007559027775569904,0.0006141038147372807,0.0001957513667447522,-0.002222197123910147,0.0038307897026857614,0.00040329175049645146,0.0004944527687376102,-0.0022116900916691767,-0.0013795042424353087,0.0,0.0,0.0,-0.0017608769442505078,-0.0010778550371109078,0.0010848849680603324,-0.001154619493173848,-0.0023746530030366096
0.68388695,0.8351259,0.43870023,0.43870023,0.9375,0.94736844,0.99324316,0.42461058,0.43596566,1.0,1.0,1.0,0.43596566,0.43596566,0.40824062,0.6446819,0.3492136,9.015447983202946e-05,0.0010786890456375004,0.0017780600884213032,0.004114853207712285,-0.0008147410171300775,0.0006712011195295275,0.002112321894682547,0.0005604839567136012,0.0001485540746893254,0.0,0.0,0.0,3.772350818125609e-05,0.0006792160925351999,0.0007162791049692022,0.0017702033853835791,-0.0009771855864224807
0.95157635,0.8752768,0.6269677,0.6269677,0.9027577,0.94736844,0.94736844,0.7123029,0.7148437,1.0,1.0,1.0,0.7148437,0.7148437,0.7819905,0.62690413,0.6742137,0.005119011147763089,0.0014934537993085348,0.00015690374734403414,0.0012734285892367226,-0.00013390142523451358,0.0009354167665514592,0.0009554584564975244,0.0017452095644082148,0.0012512076433438316,0.0,0.0,0.0,0.0019264959383392707,0.00021578873899334063,-0.0034162092871839645,0.0014567935986000147,0.0010509923117434418
0.5908188,0.8351259,0.7518398,0.7518398,0.9062,0.94736844,0.94736844,0.3530721,0.36325526,1.0,1.0,1.0,0.36325526,0.36325526,0.2594905,0.32579294,0.4952136,-0.0029919385966739225,0.0007801819200245314,0.0001283551434839126,0.0012241386934985594,-0.0006598428803729078,0.000572619441017746,0.0005658911275707243,-0.0023317015103843297,-0.0015367767844008421,0.0,0.0,0.0,-0.0019617080957571257,-0.001225328940545885,0.0016356948562358592,-0.0020417186182073235,0.00013871153122319374
0.69850826,0.81568396,0.8205808,0.97322625,0.9375,0.94736844,0.9774537,0.5592261,0.5682623,1.0,1.0,1.0,0.5682623,0.5682623,0.7332405,0.5569041,0.47721368,0.0005801092027402211,0.0006228225146886198,-0.00021676818817317853,-0.002609588925451431,-0.0005908470054858827,0.0005623625369772492,0.0017492532653655476,0.002145826042295114,0.0014108619661128152,0.0,0.0,0.0,0.0015740584537285568,0.0012875809668517714,-0.0036712606725628925,0.001223246725586586,9.525375335727353e-05
0.8360083,0.8718827,0.8134541,0.8134541,0.84817314,0.94736844,0.94736844,0.5484566,0.5577707,1.0,1.0,1.0,0.5577707,0.5577707,0.3644905,0.53023744,0.6852137,0.003117966300294713,0.0012732922077406947,0.0004419381324940523,0.00012832931336051508,0.0010639896585920732,0.000482372158215692,0.0007179101151924281,0.0017264863483260888,0.0009558775122606619,0.0,0.0,0.0,0.0010447808832707065,0.0011600430489129262,0.001019170153355342,0.0009595217360701193,0.0016230180468274314
0.73581886,0.8924943,0.83766073,0.9375,0.9375,0.8924943,0.91811174,0.6242259,0.631398,1.0,1.0,1.0,0.631398,0.631398,0.6369905,0.6435707,0.5612137,0.0009832276819818156,0.0018193672159578015,0.0006543891874232063,-0.0010256427331478996,-0.0006219914242724195,-0.000444810643012471,0.000413809152441014,0.001774406104875086,0.0013319864124855501,0.0,0.0,0.0,0.001528927168265768,0.0008333104016263689,-0.002039661142567834,0.00171491152357628,0.0004903417202039907
0.9998338,0.94736844,0.27422413,0.27422413,0.27422413,0.94736844,0.94736844,0.6649953,0.6633461,1.0,1.0,1.0,0.6633461,0.6633461,0.7269905,0.6169041,0.5952137,0.0054009511999712064,0.002574212271103556,-0.0024425464488781815,0.0021098142847999495,0.009352743294861974,0.0008208916965005936,0.0011856554585474937,0.0008570486566993683,0.0004994881969261336,0.0,0.0,0.0,0.0010756342132867873,-0.00022485427801897687,-0.002668301775267354,0.0009670675393107126,0.0004550540248390847
