trial,validation_mse,unseen_pearson,unseen_spearman,best_epoch,conv1_filters,conv1_kernel,conv1_dropout,conv1_pool,conv2_filters,conv2_kernel,conv2_dropout,conv2_pool,conv3_filters,conv3_kernel,conv3_dropout,conv3_pool,dense0_units,dense0_dropout,dense1_units,dense1_dropout,dense2_units,dense2_dropout,learning_rate,batch_size
0,66.64004516601562,0.7674595713615417,0.7764401202148109,72,80,2,0.1624074561769746,2,128,5,0.4879639408647978,2,32,8,0.2727780074568463,3,64,0.21685785941408728,80,0.28242799368681437,112,0.1798695128633439,0.00018785426399210597,128
1,68.61747741699219,0.7612515687942505,0.7710610073946267,95,160,2,0.13906884560255356,2,32,6,0.20351199264000677,2,64,8,0.4100531293444458,2,112,0.46874969400924676,48,0.1783931449676581,32,0.23013213230530574,9.179114251639463e-05,64
2,58.353790283203125,0.7960748076438904,0.8036259536101211,58,64,4,0.40889790771866297,2,112,6,0.12961786069363615,2,96,6,0.2243929286862649,3,128,0.45488509703053065,96,0.14783769837532068,96,0.404314019446759,0.00024566974547738323,32
3,60.82642364501953,0.7833442687988281,0.7921431471736927,23,48,3,0.3034282764658811,2,64,4,0.21590058116550723,3,80,7,0.17462802355441434,2,144,0.4584365199693973,80,0.1440207698110707,48,0.27084311545050255,0.0010624824455988371,32
4,88.29318237304688,0.754163920879364,0.7636632985430913,23,48,3,0.30751624869734645,2,128,4,0.22035132392670786,2,64,6,0.4633063543866615,2,96,0.4942601816442403,64,0.36885421896235143,112,0.19505501759695987,0.0006366198782195172,128
5,68.16232299804688,0.7691089510917664,0.7771538974483676,51,144,2,0.33635717727529674,2,80,5,0.3763750952409864,3,16,8,0.45093574135239245,3,144,0.322080324639785,112,0.19674091636018068,32,0.4588863031813307,0.0016999835054252981,500
6,63.781009674072266,0.7781712412834167,0.7865546136250618,93,160,2,0.1646514856378455,2,32,5,0.16432322056699947,3,64,7,0.2301598792637071,2,144,0.3630451569201374,112,0.137469907131237,64,0.2060809470726902,4.021535729341343e-05,32
7,63.38740158081055,0.7799914479255676,0.7868050501940663,78,112,2,0.38898084610460215,2,96,6,0.46594575608817945,2,96,7,0.44120378218694406,3,144,0.22676880206251107,64,0.3227205049833401,128,0.37841191866998924,0.0002582918131381781,128
8,93.99827575683594,0.6787046194076538,0.69063213851198,100,160,2,0.24379646048790207,3,112,5,0.30060651787487985,2,80,7,0.25023318105597764,3,48,0.2862392072529841,112,0.21461650085131379,96,0.11220009997561978,1.237416754921697e-05,32
9,82.03558349609375,0.7536210417747498,0.7629232222268858,5,64,2,0.3125418526272592,3,112,4,0.4180744779074815,3,16,7,0.3783896824374792,2,64,0.20009715926583815,112,0.38583836908002495,96,0.21197355877837715,0.002319087217474401,32
