Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.577,-0.577,-0.577
Pos2_Paired-Opening,-0.685,-0.685,-0.685
Pos3_Paired-Opening,-0.751,-0.712,-0.751
Pos4_Paired-Opening,-0.776,-0.776,-0.776
Pos5_Paired-Opening,-0.771,-0.758,-0.771
Pos6_Paired-Opening,-0.749,-0.401,-0.749
Pos7_Paired-Opening,-0.726,-0.697,-0.726
Pos7_Paired-Closing,-1.0,-0.333,-1.0
Pos8_Paired-Opening,-0.686,-0.686,-0.686
Pos9_Paired-Opening,-0.617,-0.615,-0.617
Pos9_Paired-Closing,-0.319,-0.002,-0.118
Pos10_Paired-Opening,-0.546,-0.546,-0.546
Pos10_Paired-Closing,-0.498,-0.397,-0.498
Pos11_Paired-Opening,-0.488,-0.488,-0.488
Pos11_Paired-Closing,-0.584,-0.565,-0.584
Pos12_Paired-Opening,-0.415,-0.415,-0.415
Pos12_Paired-Closing,-0.646,-0.64,-0.646
Pos13_Paired-Opening,-0.286,-0.286,-0.286
Pos13_Paired-Closing,-0.685,-0.685,-0.685
Pos14_Paired-Opening,-1.0,-1.0,-1.0
Pos14_Paired-Closing,-0.731,-0.731,-0.731
Pos15_Paired-Closing,-0.762,-0.761,-0.762
Pos16_Paired-Closing,-0.76,-0.76,-0.76
Pos17_Paired-Closing,-0.765,-0.765,-0.765
Pos18_Paired-Closing,-0.753,-0.753,-0.753
Pos19_Paired-Closing,-0.69,-0.593,-0.69
Pos20_Paired-Closing,-0.531,-0.296,-0.527
