Feature,Q1,Q3,Median Spearman Correlation
Pos21_C,-0.811,-0.555,-0.805
Pos22_A,-0.516,-0.254,-0.433
Pos22_T,-0.772,-0.421,-0.6
Pos23_C,-0.485,-0.166,-0.188
Pos24_C,-0.559,-0.066,-0.471
Pos25_T,-0.769,-0.666,-0.753
Pos26_T,-0.784,-0.772,-0.778
Pos27_T,-0.825,-0.779,-0.815
Pos28_T,-0.753,-0.629,-0.713
Pos29_G,-0.619,-0.527,-0.603
Pos29_T,-0.529,-0.291,-0.407
Pos30_G,-0.517,-0.318,-0.447
Pos30_T,-0.516,-0.296,-0.428
Pos31_G,-0.622,-0.307,-0.562
Pos31_T,-0.536,-0.254,-0.354
Pos32_G,-0.479,-0.105,-0.399
Pos33_G,-0.424,-0.048,-0.23
Pos34_G,-0.602,-0.173,-0.404
Pos34_T,-0.543,-0.202,-0.324
Pos35_T,-0.571,-0.321,-0.47
Pos36_G,-0.61,-0.436,-0.499
Pos37_G,-0.724,-0.704,-0.712
Pos38_G,-0.713,-0.6,-0.677
Pos39_C,-0.788,-0.574,-0.718
Pos39_G,-0.736,-0.729,-0.736
Pos40_G,-0.754,-0.754,-0.754
