Feature,Q1,Q3,Median Spearman Correlation
Pos22_G,-0.714,-0.714,-0.714
Pos23_G,-0.684,-0.684,-0.684
Pos23_T,-0.796,-0.788,-0.796
Pos24_G,-0.713,-0.713,-0.713
Pos25_G,-0.742,-0.742,-0.742
Pos26_G,-0.734,-0.734,-0.734
Pos27_G,-0.734,-0.734,-0.734
Pos28_G,-0.735,-0.735,-0.735
Pos29_G,-0.719,-0.719,-0.719
Pos30_G,-0.756,-0.756,-0.756
Pos30_T,-0.733,-0.378,-0.568
Pos31_C,-0.679,-0.308,-0.553
Pos31_G,-0.705,-0.461,-0.646
Pos31_T,-0.799,-0.647,-0.793
Pos32_C,-0.41,-0.128,-0.259
Pos32_G,-0.739,-0.69,-0.739
Pos33_G,-0.734,-0.734,-0.734
Pos34_G,-0.732,-0.615,-0.685
Pos34_T,-0.779,-0.692,-0.765
Pos35_T,-0.788,-0.781,-0.787
Pos36_C,-0.515,-0.109,-0.368
Pos36_G,-0.727,-0.435,-0.612
Pos36_T,-0.76,-0.725,-0.746
Pos37_C,-0.625,-0.197,-0.478
Pos37_G,-0.736,-0.407,-0.653
Pos38_G,-0.731,-0.731,-0.731
Pos39_G,-0.729,-0.729,-0.729
Pos40_C,-0.704,-0.57,-0.659
Pos40_G,-0.715,-0.685,-0.713
Pos40_T,-0.793,-0.789,-0.791
Pos41_G,-0.723,-0.595,-0.707
Pos41_T,-0.794,-0.793,-0.794
Pos42_T,-0.734,-0.201,-0.546
