Feature,Importance Magnitude
Pos28_G,0.0422899690280923
Pos25_G,0.0413740093614127
Pos26_G,0.03522738731619354
Pos29_G,0.0349491312059061
Pos22_G,0.032834621041924604
Pos27_G,0.031550580189191955
Pos23_G,0.028895147695173932
Pos24_G,0.028489839122595863
Pos23_A,0.02504194212688234
Pos28_A,0.022733152171953357
Pos33_G,0.021933147857619722
Pos22_A,0.021044773411470392
Pos30_G,0.020718238054013006
Pos31_A,0.01939995255381046
Pos32_G,0.019174600112148277
Pos40_A,0.018824888788184023
Pos24_A,0.016023101138831066
Pos32_A,0.015847146365821924
Pos33_A,0.015359782719818329
Pos39_A,0.014812135640089133
Pos38_G,0.01469044468016737
Pos39_G,0.014016103473705323
Pos35_A,0.013218555796106557
Pos22_T,0.012891625288793826
Pos36_A,0.012593852827972303
Pos31_G,0.012520136021869938
Pos30_A,0.01248723403663355
Pos41_T,0.012437237099121177
Pos25_A,0.011563752049089597
Pos29_A,0.010908475835247032
Pos25_T,0.010818203770393307
Pos34_A,0.010549211290019199
Pos35_T,0.009935156339406209
Pos27_T,0.00930858200383667
Pos28_T,0.009202758909814125
Pos41_A,0.008943742065147697
Pos24_T,0.008607565404130426
Pos34_G,0.008100842723917145
Pos40_G,0.008014249426124722
Pos27_A,0.00780812347885195
Pos40_T,0.0077800677497569665
Pos38_A,0.007758397520638815
Pos37_A,0.007755644927101881
Pos24_C,0.0074725615590163445
Pos29_T,0.007094974247331072
Pos26_C,0.007017743842103215
Pos37_C,0.006886494584024136
Pos26_T,0.006798427764474296
Pos42_C,0.006600292937213985
Pos32_T,0.006302579308127429
Pos36_C,0.006097135984783514
Pos34_T,0.005794056392140723
Pos40_C,0.005648307843477946
Pos37_G,0.005395380778523455
Pos26_A,0.005281495280140648
Pos22_C,0.005277875137560773
Pos36_T,0.005197613561298845
Pos33_T,0.005036768530642797
Pos31_T,0.0050245756438712
Pos28_C,0.0049248593381789815
Pos23_T,0.004765778407576424
Pos23_C,0.004649777221691353
Pos41_G,0.004498318351014399
Pos42_G,0.004467519486216085
Pos42_A,0.004208872418674426
Pos29_C,0.004041165937030353
Pos25_C,0.003993713838379351
Pos30_C,0.0038059982600544186
Pos27_C,0.003746611755748143
Pos38_C,0.0036326074913204743
Pos32_C,0.003541753371177098
Pos30_T,0.0034927292927405757
Pos33_C,0.0033781318240562416
Pos39_T,0.003350317626737166
Pos36_G,0.0033376079531396564
Pos42_T,0.0033371955275795025
Pos35_G,0.003325120906901855
Pos41_C,0.0033177791518020634
Pos37_T,0.0028398538729086857
Pos38_T,0.00283038094537035
Pos39_C,0.002772750327758408
Pos31_C,0.0026034288002940846
Pos34_C,0.0024168792119389462
Pos35_C,0.002187272810860975
Pos9_C,0.0
Pos9_A,0.0
Pos6_T,0.0
Pos7_A,0.0
Pos10_C,0.0
Pos7_C,0.0
Pos10_A,0.0
Pos9_T,0.0
Pos7_G,0.0
Pos9_G,0.0
Pos7_T,0.0
Pos8_A,0.0
Pos6_C,0.0
Pos8_C,0.0
Pos8_G,0.0
Pos8_T,0.0
Pos6_G,0.0
Pos20_A,0.0
Pos6_A,0.0
Pos10_G,0.0
Pos1_G,0.0
Pos1_T,0.0
Pos2_A,0.0
Pos2_C,0.0
Pos2_G,0.0
Pos2_T,0.0
Pos3_A,0.0
Pos3_C,0.0
Pos3_G,0.0
Pos3_T,0.0
Pos4_A,0.0
Pos4_C,0.0
Pos4_G,0.0
Pos4_T,0.0
Pos5_A,0.0
Pos5_C,0.0
Pos5_G,0.0
Pos5_T,0.0
Pos10_T,0.0
Pos20_C,0.0
Pos16_G,0.0
Pos17_A,0.0
Pos17_C,0.0
Pos17_G,0.0
Pos17_T,0.0
Pos18_A,0.0
Pos18_C,0.0
Pos18_G,0.0
Pos18_T,0.0
Pos19_A,0.0
Pos19_C,0.0
Pos19_G,0.0
Pos19_T,0.0
Pos1_C,0.0
Pos21_T,0.0
Pos21_G,0.0
Pos21_C,0.0
Pos21_A,0.0
Pos20_T,0.0
Pos20_G,0.0
Pos16_T,0.0
Pos16_C,0.0
Pos11_A,0.0
Pos16_A,0.0
Pos11_C,0.0
Pos11_G,0.0
Pos11_T,0.0
Pos12_A,0.0
Pos12_C,0.0
Pos12_G,0.0
Pos12_T,0.0
Pos13_A,0.0
Pos13_C,0.0
Pos13_G,0.0
Pos13_T,0.0
Pos14_A,0.0
Pos14_C,0.0
Pos14_G,0.0
Pos14_T,0.0
Pos15_A,0.0
Pos15_C,0.0
Pos15_G,0.0
Pos15_T,0.0
Pos1_A,0.0
