Feature,Q1,Q3,Median Spearman Correlation
Pos4_Paired-Opening,0.371,0.665,0.463
Pos5_Paired-Opening,0.513,0.677,0.583
Pos6_Paired-Opening,0.128,0.61,0.357
Pos7_Paired-Closing,0.333,0.944,0.556
Pos8_Paired-Closing,0.237,0.26,0.26
Pos9_Unpaired,0.407,0.56,0.499
Pos9_Paired-Closing,0.173,0.285,0.26
Pos11_Paired-Opening,0.075,0.313,0.247
Pos12_Paired-Opening,0.015,0.233,0.056
Pos12_Paired-Closing,0.2,0.558,0.492
Pos13_Paired-Opening,0.083,0.251,0.148
Pos13_Paired-Closing,0.439,0.614,0.556
Pos14_Paired-Opening,0.184,0.684,0.526
Pos15_Unpaired,0.128,0.344,0.248
Pos16_Paired-Closing,0.056,0.288,0.12
Pos17_Paired-Closing,0.394,0.675,0.572
Pos20_Paired-Closing,0.343,0.575,0.559
Pos21_Unpaired,0.508,0.508,0.508
