Feature,Model,Spearman Correlation,P-Value
Pos1_A,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos1_C,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos1_G,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos1_T,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos2_A,38,0.7859393218949016,1.3366052575452247e-210
,46,0.7859393218949016,1.3366052575452247e-210
,47,0.766449248181471,4.397568821168042e-194
,52,0.7859393218949016,1.3366052575452247e-210
,54,0.7859393218949016,1.3366052575452247e-210
,57,0.7859393218949016,1.3366052575452247e-210
,59,0.7859393218949016,1.3366052575452247e-210
,75,0.7859393218949016,1.3366052575452247e-210
,77,0.7859393218949016,1.3366052575452247e-210
,95,0.7859393218949016,1.3366052575452247e-210
Pos2_C,38,0.6349806321458973,5.461312887795281e-114
,46,0.6078427694149,4.6766497961516085e-102
,47,-0.35137484802049607,1.9747117157801666e-30
,52,0.6349239374465985,5.8006670604577096e-114
,54,0.6349806321458973,5.461312887795281e-114
,57,-0.3139374482502275,2.6049622598259365e-24
,59,0.6349806321458973,5.461312887795281e-114
,75,0.6349806321458973,5.461312887795281e-114
,77,-0.2091845421792541,2.3769237629986103e-11
,95,0.46937541549427525,6.271483645700887e-56
Pos2_G,38,-0.8538066353089981,3.418220267099419e-285
,46,-0.846675567312811,1.0552624218496048e-275
,47,0.6770685599276356,4.65622448041309e-135
,52,0.441118030288278,7.239981993028562e-49
,54,-0.8540103801088891,1.8000196624988215e-285
,57,-0.8540103801088891,1.8000196624988215e-285
,59,-0.85370827575043,4.657015394221319e-285
,75,-0.8540103801088891,1.8000196624988215e-285
,77,-0.8540103801088891,1.8000196624988215e-285
,95,-0.8540103801088891,1.8000196624988215e-285
Pos2_T,38,-0.5881609864087772,4.2396951082863075e-94
,46,-0.4638887636992054,1.6634621512480414e-54
,47,-0.5765315057086532,1.1965495442181614e-89
,52,0.5878957526384236,5.380925873503095e-94
,54,-0.4675102247944195,1.924189104480901e-55
,57,-0.5881609864087772,4.2396951082863075e-94
,59,-0.5637900834328154,5.66685470746661e-85
,75,-0.44010953605710945,1.2581012545259852e-48
,77,-0.5881609864087772,4.2396951082863075e-94
,95,-0.5881609864087772,4.2396951082863075e-94
Pos3_A,38,0.7606823112427281,1.6749109352308678e-189
,46,0.7606823112427281,1.6749109352308678e-189
,47,0.7606823112427281,1.6749109352308678e-189
,52,0.7606823112427281,1.6749109352308678e-189
,54,0.7606823112427281,1.6749109352308678e-189
,57,0.7606823112427281,1.6749109352308678e-189
,59,0.7606823112427281,1.6749109352308678e-189
,75,0.7606823112427281,1.6749109352308678e-189
,77,0.722640110825641,3.039586427532381e-162
,95,0.7606823112427281,1.6749109352308678e-189
Pos3_C,38,0.6027913099550818,5.825133391872878e-100
,46,-0.2917977963323376,4.438041485419688e-21
,47,0.36451955444678413,8.72270801760943e-33
,52,0.42731747012486293,1.1869055267221614e-45
,54,0.6027913099550818,5.825133391872878e-100
,57,-0.4358975625823846,1.239610659532176e-47
,59,0.29605798145045736,1.1142410222983793e-21
,75,0.6026220969947826,6.836721297586155e-100
,77,-0.2848998797742605,3.9593394356679336e-20
,95,0.18910543683784742,1.6701026375910617e-09
Pos3_G,38,0.680155447073337,9.617848934583481e-137
,46,-0.7391224166524425,1.819200818338083e-173
,47,0.7944643676098818,2.218694524121083e-218
,52,0.4989271723564062,4.655209373306653e-64
,54,-0.25195012238900233,6.053944260243235e-16
,57,-0.7259892762710306,1.8576664390479526e-164
,59,-0.609105082088677,1.3816926972688428e-102
,75,-0.7504354956008928,1.1239603605153308e-181
,77,-0.5786171650560374,1.9628769388576306e-90
,95,-0.41286318858034476,1.9285988270654358e-42
Pos3_T,38,-0.7914376958255315,1.4122625255697431e-215
,46,-0.31561454692741175,1.443966676442924e-24
,47,-0.7914376958255315,1.4122625255697431e-215
,52,-0.02408151539855454,0.4468468853369105
,54,-0.7914376958255315,1.4122625255697431e-215
,57,-0.7914376958255315,1.4122625255697431e-215
,59,-0.7914376958255315,1.4122625255697431e-215
,75,-0.7914376958255315,1.4122625255697431e-215
