Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,18,0.5767263931998714,1.0111480135830413e-89
,19,0.5767263931998714,1.0111480135830413e-89
,24,0.5767263931998714,1.0111480135830413e-89
,32,0.5767263931998714,1.0111480135830413e-89
,40,0.5767263931998714,1.0111480135830413e-89
,54,0.5767263931998714,1.0111480135830413e-89
,62,0.5767263931998714,1.0111480135830413e-89
,65,0.5767263931998714,1.0111480135830413e-89
,81,0.5734388691358482,1.7046787627593738e-88
,82,0.5766535682997189,1.0768177635762473e-89
Pos1_Paired-Opening,18,-0.5375361933607085,5.894427695496393e-76
,19,-0.5767263931998714,1.0111480135830413e-89
,24,-0.4279139115169974,8.680319817362893e-46
,32,-0.5728354628202996,2.853084455958049e-88
,40,-0.5681018443103927,1.5630940525086011e-86
,54,-0.5767263931998714,1.0111480135830413e-89
,62,-0.5767263931998714,1.0111480135830413e-89
,65,-0.575977337084018,1.9300548392323045e-89
,81,0.08110092987687668,0.010298083295993795
,82,-0.5767263931998714,1.0111480135830413e-89
Pos1_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos2_Unpaired,18,0.6057533114119906,3.477102633654282e-101
,19,0.6464890323842057,2.027718036295899e-119
,24,0.4949871918479718,6.285450851581592e-63
,32,0.2036698444909739,7.989068960901903e-11
,40,0.5632830371596683,8.614109195720642e-85
,54,0.6034843755556888,3.020221583046283e-100
,62,0.5870849627255841,1.1135769356483764e-93
,65,0.6710443497788551,7.898128767493561e-132
,81,0.5087672540177125,6.017029090992577e-67
,82,0.20203165528198372,1.1377895980043667e-10
Pos2_Paired-Opening,18,-0.5679435540536938,1.785003125606358e-86
,19,0.07667951949888142,0.015293293025849766
,24,-0.6760552814769424,1.6467644462490573e-134
,32,0.253236018525553,4.2610571717222496e-16
,40,0.20806755028195278,3.046791845310362e-11
,54,-0.577571200795299,4.867419037050315e-90
,62,-0.6414868610562197,4.9654720734852544e-117
,65,0.08911924504308473,0.004798078306021408
,81,-0.3208660757095316,2.2208973784943787e-25
,82,-0.684894494909408,2.267119587087503e-139
Pos2_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos3_Unpaired,18,-0.5290926866994208,3.19799781902121e-73
,19,0.5385281443169493,2.780240835424047e-76
,24,0.7260708472076045,1.6392205898255832e-164
,32,0.49344407375326316,1.7260559224510666e-62
,40,0.7506541690442982,7.721908153555432e-182
,54,-0.6672690114201282,7.634682614745002e-130
,62,0.7159323241621823,6.607645409604143e-158
,65,0.7509577654790707,4.58251788395335e-182
,81,0.6947444887670209,5.3713180388297475e-145
,82,-0.31190139513929194,5.305077406191805e-24
Pos3_Paired-Opening,18,-0.39879389052306835,1.832438669775721e-39
,19,-0.2704684711727358,3.175277515828127e-18
,24,-0.7509977123783826,4.278201619444856e-182
,32,-0.6877457920075334,5.626093663503079e-141
,40,-0.21652417834161602,4.491219616092692e-12
,54,0.6314286533572723,2.3282364628178807e-112
,62,-0.6967817806319404,3.4512113839822156e-146
,65,0.40239710084102376,3.2655658746269494e-40
,81,-0.5875829366722626,7.125707602143092e-94
,82,-0.4517155427317972,1.9434180219103875e-51
Pos3_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos4_Unpaired,18,0.7759823465444314,5.927218557959108e-202
,19,0.7759823465444314,5.927218557959108e-202
,24,0.7422392771297371,1.099802936628146e-175
,32,0.7757967751269353,8.506582335076077e-202
,40,0.7759823465444314,5.927218557959108e-202
,54,0.7555617584774729,1.5265685298190398e-185
,62,0.7422702056993198,1.0450549119470378e-175
,65,0.756651990555262,2.2330464707984942e-186
,81,0.6775599059899758,2.5189497185040086e-135
,82,0.7759823465444314,5.927218557959108e-202
Pos4_Paired-Opening,18,-0.7759823465444314,5.927218557959108e-202
,19,-0.7759823465444314,5.927218557959108e-202
,24,-0.7744359180652979,1.1906755724810421e-200
,32,-0.7628840973261702,3.094087437222756e-191
,40,-0.774389525210924,1.3023302503935475e-200
,54,-0.7759823465444314,5.927218557959108e-202
,62,-0.7208985641176938,4.179704182325192e-161
,65,-0.5396803427904271,1.1577958005770806e-76
,81,-0.4029606009502287,2.4887197469886733e-40
,82,-0.2834526080827867,6.218741048901592e-20
Pos4_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos5_Unpaired,18,-0.6106379903775211,3.1200388747054104e-103
,19,0.4345018476679459,2.6269190294848226e-47
,24,-0.2475605707728809,1.9780122862880355e-15
,32,-0.42607104051889305,2.2777080928620598e-45
,40,0.31107576516726904,7.06745871842828e-24
,54,0.24677431821327395,2.4393789637304144e-15
,62,0.42558060575398965,2.9414260990837026e-45
,65,0.5953878045926694,5.880196609081222e-97
,81,0.09410898210978766,0.0028930549637606186
,82,0.46515012813500145,7.870668201960072e-55
Pos5_Paired-Opening,18,-0.7640350862889584,3.7741053537336956e-192
,19,-0.4769361318502979,6.203615376379449e-58
,24,-0.1419224793484605,6.631290362670043e-06
,32,-0.09803246022901449,0.001911430161064086
,40,-0.04701167532144989,0.13738448747912857
,54,-0.05661796897050919,0.07351602946753465
,62,-0.3958898407803169,7.245378599654867e-39
,65,-0.4307184937672629,1.9766883292425504e-46
,81,0.11182691107677224,0.0003956438321307827
,82,-0.41152926050556826,3.7473582281136733e-42
Pos5_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos6_Unpaired,18,-0.5311463513985173,7.0291289809607964e-74
,19,0.264886257019042,1.6152214693795745e-17
,24,-0.666239023388874,2.6263350466381498e-129
,32,-0.4842115811665736,6.539703589611631e-60
,40,-0.02853816674369338,0.36731670657464177
,54,-0.07997495794685273,0.011408841567254724
,62,0.1584318856907778,4.762884560354992e-07
,65,0.17027172020226658,6.04935314394368e-08
,81,-0.12369743207655899,8.787727575350933e-05
,82,-0.5199233418243658,2.4443732660491615e-70
Pos6_Paired-Opening,18,0.7213367106486979,2.165598946098122e-161
,19,0.03473845897095476,0.272429948454281
,24,-0.062423484729889324,0.04844319704407534
,32,0.5322037655768099,3.208825590130017e-74
,40,0.1046639768672915,0.0009173044714334257
,54,0.3532604480411965,9.214483559864945e-31
,62,0.3904381692643491,9.223276484026571e-38
,65,0.07455971563983892,0.018367794298137223
,81,-0.15968155699239636,3.8574393563550335e-07
,82,0.2760692130258339,5.97312699726209e-19
Pos6_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos7_Unpaired,18,0.07866178742645841,0.012837368317979441
,19,0.12138719600415038,0.00011906815799066991
,24,-0.2384108937214536,2.1685424155426027e-14
,32,0.1485187318309126,2.394851434157603e-06
,40,0.4408854085941408,8.225516099641894e-49
,54,0.12185427469401007,0.0001120238514551918
,62,0.3462241274492429,1.5429772040184506e-29
,65,0.27140959344189197,2.4045751279480347e-18
,81,-0.11674918655747343,0.00021562033956918887
,82,0.16715271324742037,1.0568396938973754e-07
Pos7_Paired-Opening,18,0.09733814741259045,0.00205910126024285
,19,-0.4991365899881422,4.0498786131838286e-64
,24,-0.09379872877340022,0.0029875672029145
,32,0.40815368375363054,1.9858173091362875e-41
,40,-0.186708468052144,2.693821921916136e-09
,54,-0.03097404792777346,0.32782950773508257
,62,0.16032822165257188,3.4564934970055644e-07
,65,-0.07664743377881947,0.015336229487273948
