Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,12,0.750177868035172,1.7482391798748367e-181
,13,0.7812607660999312,1.7604897690341015e-206
,16,0.7282138318783001,6.028539271116733e-166
,45,0.780147416680945,1.625525083020251e-205
,52,0.7624853020885916,6.395923926186172e-191
,80,0.5383309523993575,3.2288412325517005e-76
,81,0.7257977879010442,2.4913300820422166e-164
,82,0.7699833696042133,5.888028943328516e-197
,87,0.7859110827207311,1.4163781504493923e-210
,97,0.7431872454928297,2.2917652810643214e-176
Pos1_Paired-Opening,12,-0.7328490008879572,4.266993067049527e-169
,13,-0.7736036486673115,5.925555098051516e-200
,16,-0.6131374300274344,2.7089598662798938e-104
,45,-0.7057423507481488,1.4898373460447684e-151
,52,0.189663239117374,1.4929226796808636e-09
,80,-0.7405970039874331,1.6378108191869411e-174
,81,-0.6595194153462905,7.37473240776861e-126
,82,-0.7302663331881318,2.4740830929097995e-167
,87,-0.6670856471120544,9.516337564039939e-130
,97,-0.7633335683125811,1.3625078138791793e-191
Pos1_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos2_Unpaired,12,-0.22256119539560187,1.0897387539371695e-12
,13,0.19853581349836677,2.3958170107174394e-10
,16,0.3766001304193743,4.7585916167076095e-35
,45,0.6647231787690701,1.6036556836887072e-128
,52,0.4375258736438071,5.1385261772732844e-48
,80,0.45547683466031147,2.2592457876201628e-52
,81,0.011695005718648297,0.7118455218741361
,82,-0.16992319652223498,6.441781520134894e-08
,87,-0.7655725295751334,2.229008051227287e-193
,97,-0.16083251148003794,3.172009241568946e-07
Pos2_Paired-Opening,12,-0.06871077688192113,0.02980470376789281
,13,-0.35584935012336066,3.2084753560929327e-31
,16,-0.3598221610212179,6.235884413253458e-32
,45,-0.7948205170112037,1.0305461754315962e-218
,52,-0.5426622295312137,1.180735111380919e-77
,80,0.323857400151512,7.518917276030472e-26
,81,-0.1579698533638315,5.146910583843215e-07
,82,-0.583304992688379,3.21801767866624e-92
,87,-0.8032060106637986,9.45651960631081e-227
,97,-0.44629538240955174,4.120519552202763e-50
Pos2_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos3_Unpaired,12,-0.5447183161214775,2.4136744008146222e-78
,13,0.08058662531363193,0.010792927070107185
,16,0.055303592640293185,0.08046338700839711
,45,0.01931506909069884,0.5418027913411936
,52,0.8625184595623226,1.7001645926555283e-297
,80,0.01670821254615608,0.597682527586318
