Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.732,0.778,0.756
Pos4_Unpaired,0.836,0.84,0.84
Pos5_Unpaired,0.813,0.822,0.822
Pos6_Unpaired,0.652,0.807,0.786
Pos7_Unpaired,0.623,0.755,0.705
Pos8_Unpaired,0.757,0.766,0.766
Pos9_Unpaired,0.765,0.771,0.77
Pos10_Unpaired,0.443,0.534,0.5
Pos12_Unpaired,0.184,0.353,0.301
Pos13_Unpaired,0.522,0.661,0.586
Pos14_Unpaired,0.609,0.615,0.615
Pos15_Unpaired,0.661,0.664,0.664
Pos16_Unpaired,0.606,0.625,0.622
Pos17_Unpaired,0.672,0.678,0.678
Pos18_Unpaired,0.57,0.665,0.665
Pos19_Unpaired,0.712,0.712,0.712
Pos20_Unpaired,0.835,0.837,0.836
