Struct,Position,Computed_Spearman,Sign
C,1,-0.776,negative
O,1,0.0,zero
U,1,0.745,positive
C,2,-0.626,negative
O,2,0.0,zero
U,2,0.409,positive
C,3,0.0,zero
O,3,0.0,zero
U,3,0.112,positive
C,4,0.844,positive
O,4,0.0,zero
U,4,-0.844,negative
C,5,-0.518,negative
O,5,0.0,zero
U,5,0.592,positive
C,6,-0.624,negative
O,6,0.0,zero
U,6,0.325,positive
C,7,0.322,positive
O,7,0.0,zero
U,7,-0.463,negative
C,8,-0.395,negative
O,8,0.0,zero
U,8,0.4,positive
C,9,-0.781,negative
O,9,0.0,zero
U,9,0.792,positive
C,10,-0.315,negative
O,10,-0.027,negative
U,10,0.0,zero
C,11,0.691,positive
O,11,0.213,positive
U,11,-0.736,negative
C,12,-0.386,negative
O,12,0.0,zero
U,12,0.235,positive
C,13,0.0,zero
O,13,0.07,positive
U,13,0.0,zero
C,14,0.852,positive
O,14,0.229,positive
U,14,-0.855,negative
C,15,0.449,positive
O,15,0.0,zero
U,15,0.0,zero
C,16,0.0,zero
O,16,0.0,zero
U,16,0.203,positive
C,17,-0.434,negative
O,17,0.0,zero
U,17,0.0,zero
C,18,0.144,positive
O,18,0.0,zero
U,18,-0.179,negative
C,19,-0.564,negative
O,19,0.0,zero
U,19,0.0,zero
C,20,0.575,positive
O,20,0.443,positive
U,20,-0.85,negative
C,21,0.0,zero
O,21,0.299,positive
U,21,-0.11,negative
C,22,-0.469,negative
O,22,-0.173,negative
U,22,0.161,positive
C,23,-0.22,negative
O,23,-0.244,negative
U,23,0.414,positive
C,24,-0.271,negative
O,24,-0.412,negative
U,24,0.487,positive
C,25,-0.182,negative
O,25,0.0,zero
U,25,0.402,positive
C,26,-0.193,negative
O,26,-0.271,negative
U,26,0.324,positive
C,27,0.293,positive
O,27,0.0,zero
U,27,0.0,zero
C,28,-0.339,negative
O,28,0.0,zero
U,28,-0.232,negative
C,29,0.19,positive
O,29,0.43,positive
U,29,-0.491,negative
C,30,0.0,zero
O,30,0.0,zero
U,30,0.0,zero
C,31,-0.414,negative
O,31,0.347,positive
U,31,0.0,zero
C,32,-0.283,negative
O,32,-0.224,negative
U,32,0.0,zero
C,33,-0.134,negative
O,33,-0.254,negative
U,33,0.286,positive
C,34,-0.134,negative
O,34,-0.23,negative
U,34,0.265,positive
C,35,0.0,zero
O,35,-0.122,negative
U,35,0.122,positive
C,36,0.0,zero
O,36,-0.265,negative
U,36,0.265,positive
C,37,0.0,zero
O,37,-0.542,negative
U,37,0.0,zero
C,38,-0.134,negative
O,38,0.0,zero
U,38,0.0,zero
C,39,-0.134,negative
O,39,-0.547,negative
U,39,0.0,zero
C,40,0.592,positive
O,40,0.0,zero
U,40,0.0,zero
C,41,-0.596,negative
O,41,-0.122,negative
U,41,0.605,positive
C,42,-0.596,negative
O,42,-0.122,negative
U,42,0.534,positive
C,43,-0.596,negative
O,43,-0.172,negative
U,43,0.613,positive
C,44,-0.596,negative
O,44,0.569,positive
U,44,0.0,zero
C,45,-0.596,negative
O,45,0.0,zero
U,45,0.23,positive
C,46,0.0,zero
O,46,-0.685,negative
U,46,0.656,positive
C,47,0.0,zero
O,47,-0.685,negative
U,47,0.0,zero
C,48,0.0,zero
O,48,-0.515,negative
U,48,0.0,zero
C,49,-0.596,negative
O,49,-0.632,negative
U,49,0.401,positive
C,50,0.0,zero
O,50,0.558,positive
U,50,-0.214,negative
C,51,-0.596,negative
O,51,0.0,zero
U,51,0.0,zero
C,52,-0.591,negative
O,52,-0.581,negative
U,52,0.765,positive
C,53,0.0,zero
O,53,0.0,zero
U,53,-0.794,negative
C,54,-0.596,negative
