Feature,Q1,Q3,Median Spearman Correlation
Pos22_C,-0.679,-0.318,-0.428
Pos22_G,-0.714,-0.714,-0.714
Pos23_C,-0.494,-0.061,-0.351
Pos23_G,-0.684,-0.684,-0.684
Pos24_C,-0.62,-0.443,-0.591
Pos24_G,-0.713,-0.713,-0.713
Pos25_C,-0.337,-0.269,-0.299
Pos25_G,-0.742,-0.742,-0.742
Pos26_G,-0.734,-0.734,-0.734
Pos27_G,-0.734,-0.734,-0.734
Pos28_C,-0.571,-0.04,-0.246
Pos28_G,-0.735,-0.735,-0.735
Pos29_G,-0.719,-0.719,-0.719
Pos30_G,-0.756,-0.755,-0.756
Pos31_C,-0.707,-0.479,-0.674
Pos31_G,-0.714,-0.706,-0.713
Pos31_T,-0.694,-0.505,-0.597
Pos32_C,-0.62,-0.317,-0.523
Pos32_G,-0.739,-0.739,-0.739
Pos33_G,-0.734,-0.734,-0.734
Pos34_G,-0.731,-0.693,-0.724
Pos34_T,-0.776,-0.713,-0.743
Pos35_C,-0.634,-0.168,-0.45
Pos35_T,-0.787,-0.784,-0.787
Pos36_C,-0.706,-0.633,-0.688
Pos36_T,-0.744,-0.575,-0.727
Pos37_C,-0.697,-0.55,-0.661
Pos37_G,-0.737,-0.424,-0.709
Pos38_G,-0.731,-0.73,-0.731
Pos39_G,-0.729,-0.729,-0.729
Pos39_T,-0.563,-0.253,-0.396
Pos40_C,-0.661,-0.564,-0.59
Pos40_G,-0.715,-0.71,-0.714
Pos40_T,-0.792,-0.564,-0.745
Pos41_G,-0.714,-0.582,-0.677
Pos41_T,-0.794,-0.792,-0.794
Pos42_T,-0.708,-0.49,-0.618
