Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,21,0.5646091352270822,2.876715160316617e-85
,23,-0.40806712192574834,2.0720569946111623e-41
,24,0.5030449436329653,2.9555470111252022e-65
,41,0.44498243297241785,8.563682606253643e-50
,44,0.5688702168450407,8.197412905573441e-87
,59,-0.520943595874736,1.179496489502501e-70
,6,0.5688702168450407,8.197412905573441e-87
,61,0.5688702168450407,8.197412905573441e-87
,64,-0.4430522895662634,2.495742295212183e-49
,80,0.28323008719763976,6.664201552283561e-20
Pos1_Paired-Opening,21,-0.35188201851271744,1.6094833338674944e-30
,23,0.1667042710708956,1.1441398470844499e-07
,24,0.3416301092734709,9.348863064579765e-29
,41,0.10098447017609631,0.0013857995924812436
,44,0.15119984043129445,1.5629247397082478e-06
,59,-0.17314862965647138,3.5829842020792356e-08
,6,-0.5658642558026691,1.0141085582810551e-85
,61,0.5445272060176941,2.7987613569322144e-78
,64,0.5495371410883135,5.596280422988893e-80
,80,-0.38805902333845355,2.757840301124135e-37
Pos1_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos2_Unpaired,21,0.6649703912150777,1.1947589476265073e-128
,23,-0.672628467217674,1.1369050679802678e-132
,24,-0.6808505442147077,3.988352351311472e-137
,41,-0.4602292177187401,1.433056511281942e-53
,44,-0.6763032861970555,1.209381511976087e-134
,59,-0.6395639089187776,4.004153313816758e-116
,6,0.045203798452608975,0.1531733218389439
,61,-0.32888748613911556,1.1835852104813238e-26
,64,0.009751048442891477,0.7580999231858376
,80,-0.45641339849074913,1.3165084373641098e-52
Pos2_Paired-Opening,21,0.6808505442147077,3.988352351311472e-137
,23,0.6004539649607548,5.274913860523449e-99
,24,0.5365191647319453,1.2703527670868468e-75
,41,-0.2968275546115609,8.659049559206039e-22
,44,-0.23855038935820227,2.092347847458027e-14
,59,-0.16428732091875675,1.7485375523453545e-07
,6,0.33007717573675704,7.604566293876634e-27
,61,-0.5952105182155939,6.9242381303287e-97
,64,0.0629698297773891,0.0465065942269235
,80,0.6596652568611503,6.220828262936554e-126
Pos2_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos3_Unpaired,21,0.5348516281776069,4.448870367461946e-75
,23,0.30366091645634224,8.921234900541492e-23
,24,0.5270938825822815,1.383408371522788e-72
,41,0.22034553177370836,1.8413679489606224e-12
,44,-0.028405220455572425,0.3695537686987477
,59,-0.289167699924374,1.0296473759844413e-20
,6,-0.13026169955253872,3.600895455143826e-05
,61,-0.20995790217741717,1.9998833460180967e-11
,64,-0.2789119767356548,2.520193220523312e-19
,80,0.25446807058247756,3.037915071219386e-16
Pos3_Paired-Opening,21,0.47337499809860434,5.535281742730119e-57
,23,0.10140717289617432,0.0013225261748803872
,24,-0.6621742880864331,3.2809554834762742e-127
,41,-0.17465644985097364,2.7133218354569307e-08
,44,-0.13979193749961222,9.127082665183527e-06
,59,0.38117241920581024,6.245800454490088e-36
,6,0.17309830541152996,3.616234914776404e-08
,61,0.18189481396648446,6.905041097712739e-09
,64,0.5053045928814898,6.406568466961545e-66
,80,-0.06667456695238486,0.03501853084143138
Pos3_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos4_Unpaired,21,-0.6093498617466497,1.090067176733937e-102
,23,-0.448805564696462,1.008445976114225e-50
,24,-0.7565095589299026,2.872183408040204e-186
,41,-0.5939327564261131,2.2420440745797833e-96
,44,-0.6134857740068858,1.92365009762883e-104
,59,-0.4836181290354767,9.519591646819568e-60
,6,-0.643193440927552,7.6904283974198544e-118
,61,-0.6109175694414821,2.376354969676433e-103
,64,-0.3179295449263668,6.355495689084114e-25
,80,-0.7597237536007144,9.39301405712687e-189
Pos4_Paired-Opening,21,0.07126373772589424,0.024221064843709537
,23,0.42412401591299675,6.270861119195082e-45
,24,0.649290957288357,8.894252125652678e-121
,41,0.7023015355724099,1.8072861240263783e-149
,44,0.5019185560460064,6.3063557997840295e-65
,59,0.3654964748831377,5.7702805610944385e-33
,6,0.669939006877078,3.032563076185246e-131
,61,0.32131705401570293,1.8877864732389689e-25
,64,0.38731833576095404,3.871371795433523e-37
,80,0.7616223342763657,3.063510330791901e-190
Pos4_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos5_Unpaired,21,-0.7313730985317239,4.368114739013311e-168
