Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.464,-0.464,-0.464
Pos2_Unpaired,-0.424,-0.424,-0.424
Pos3_Unpaired,-0.37,-0.34,-0.37
Pos4_Unpaired,-0.319,-0.319,-0.319
Pos5_Unpaired,-0.291,-0.291,-0.291
Pos6_Unpaired,-0.211,-0.211,-0.211
Pos7_Unpaired,-1.0,-1.0,-1.0
Pos8_Unpaired,-0.255,-0.255,-0.255
Pos9_Unpaired,-0.237,-0.237,-0.237
Pos10_Unpaired,-0.266,-0.266,-0.266
Pos11_Unpaired,-0.231,-0.231,-0.231
Pos12_Unpaired,-0.225,-0.224,-0.225
Pos13_Unpaired,-1.0,-1.0,-1.0
Pos14_Unpaired,-1.0,-1.0,-1.0
Pos15_Unpaired,-1.0,-1.0,-1.0
Pos16_Unpaired,-0.244,-0.243,-0.244
Pos17_Unpaired,-1.0,-1.0,-1.0
Pos18_Unpaired,-0.25,-0.196,-0.241
Pos19_Unpaired,-0.358,-0.346,-0.355
Pos20_Unpaired,-0.38,-0.07,-0.276
