Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.577,0.577,0.577
Pos2_Unpaired,0.685,0.685,0.685
Pos3_Unpaired,0.687,0.751,0.751
Pos4_Unpaired,0.776,0.776,0.776
Pos5_Unpaired,0.77,0.771,0.771
Pos6_Unpaired,0.177,0.739,0.688
Pos7_Unpaired,0.507,0.731,0.606
Pos8_Unpaired,0.103,0.701,0.642
Pos10_Unpaired,0.63,0.697,0.697
Pos11_Unpaired,0.715,0.715,0.715
Pos12_Unpaired,0.727,0.727,0.727
Pos13_Unpaired,0.72,0.72,0.72
Pos14_Unpaired,0.735,0.738,0.738
Pos15_Unpaired,0.758,0.762,0.762
Pos16_Unpaired,0.76,0.76,0.76
Pos17_Unpaired,0.765,0.765,0.765
Pos18_Unpaired,0.753,0.753,0.753
Pos19_Unpaired,0.69,0.69,0.69
Pos20_Unpaired,0.531,0.531,0.531
