Feature,Q1,Q3,Median Spearman Correlation
Pos1_C,-0.79,-0.778,-0.79
Pos2_T,-0.528,-0.439,-0.491
Pos3_C,-0.765,-0.554,-0.675
Pos4_T,-0.566,-0.112,-0.194
Pos6_T,-0.747,-0.44,-0.614
Pos8_T,-0.479,-0.031,-0.142
Pos10_G,-0.394,-0.039,-0.275
Pos10_T,-0.476,-0.069,-0.276
Pos11_T,-0.631,-0.487,-0.545
Pos14_G,-0.735,-0.522,-0.703
Pos15_C,-0.309,-0.065,-0.201
Pos15_G,-0.495,-0.103,-0.26
Pos16_T,-0.658,-0.523,-0.616
Pos17_T,-0.65,-0.466,-0.598
Pos18_A,-0.688,-0.22,-0.398
Pos18_T,-0.742,-0.373,-0.701
Pos19_A,-0.624,-0.281,-0.394
Pos19_T,-0.72,-0.672,-0.72
Pos20_C,-0.845,-0.704,-0.819
Pos20_T,-0.632,-0.631,-0.632
