Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,16,0.43003742271130885,2.8349450867963103e-46
,4,0.43003742271130885,2.8349450867963103e-46
,40,0.43003742271130885,2.8349450867963103e-46
,53,-0.1407367297024519,7.926077544956535e-06
,56,0.43003742271130885,2.8349450867963103e-46
,67,0.11831540278346309,0.0001768623514364037
,80,0.4297025677977707,3.3838454346666014e-46
,81,0.43003742271130885,2.8349450867963103e-46
,91,0.43003742271130885,2.8349450867963103e-46
,93,0.43003742271130885,2.8349450867963103e-46
Pos1_Paired-Opening,16,0.43003742271130885,2.8349450867963103e-46
,4,-0.43003742271130885,2.8349450867963103e-46
,40,0.43003742271130885,2.8349450867963103e-46
,53,-0.3911384435886326,6.670024400287442e-38
,56,-0.43003742271130885,2.8349450867963103e-46
,67,-0.3793208555983503,1.4269470606703597e-35
,80,-0.43003742271130885,2.8349450867963103e-46
,81,-0.43003742271130885,2.8349450867963103e-46
,91,-0.43003742271130885,2.8349450867963103e-46
,93,-0.43003742271130885,2.8349450867963103e-46
Pos1_Paired-Closing,16,,
,4,,
,40,,
,53,,
,56,,
,67,,
,80,,
,81,,
,91,,
,93,,
Pos2_Unpaired,16,0.5397752229931375,1.0770534105351757e-76
,4,0.5397085284979726,1.1332003523409251e-76
,40,0.5397752229931375,1.0770534105351757e-76
,53,0.2505656604598443,8.816386027662523e-16
,56,0.5397752229931375,1.0770534105351757e-76
,67,-0.4513716696520936,2.3628141274817282e-51
,80,-0.5058499564526037,4.422004602315634e-66
,81,0.5397752229931375,1.0770534105351757e-76
,91,0.5323832497790303,2.8081530788768828e-74
,93,0.5397752229931375,1.0770534105351757e-76
Pos2_Paired-Opening,16,-0.4408228236668489,8.51270575110659e-49
,4,-0.5397752229931375,1.0770534105351757e-76
,40,-0.5397752229931375,1.0770534105351757e-76
,53,-0.5397752229931375,1.0770534105351757e-76
,56,-0.39391436206755237,1.83148633076953e-38
,67,-0.4805282797883388,6.64419354094838e-59
,80,-0.5397752229931375,1.0770534105351757e-76
