Feature,Average_Importance_Magnitude,Number_of_Models
Pos7_Unpaired,0.02954328712024807,10
Pos20_Unpaired,0.02786229721917764,10
Pos7_Paired-Opening,0.02370868055543579,10
Pos9_Unpaired,0.02343923637181728,10
Pos8_Unpaired,0.02329460249581464,10
Pos6_Unpaired,0.02286541105154242,10
Pos17_Unpaired,0.02223071675515677,10
Pos13_Unpaired,0.02049444397609359,10
Pos20_Paired-Opening,0.01973786060477889,10
Pos9_Paired-Opening,0.0190889064107162,10
Pos6_Paired-Opening,0.01889805947722647,10
Pos8_Paired-Opening,0.01871041722207322,10
Pos10_Unpaired,0.01863839801455704,10
Pos19_Unpaired,0.01798277575044383,10
Pos17_Paired-Opening,0.017765164047364747,10
Pos15_Unpaired,0.01706045409911964,10
Pos18_Unpaired,0.01633709401421369,10
Pos13_Paired-Opening,0.01603814827367062,10
Pos4_Unpaired,0.01589443340750646,10
Pos5_Unpaired,0.01477857267034199,10
Pos16_Unpaired,0.014487092933543892,10
Pos14_Unpaired,0.01432136917930514,10
Pos19_Paired-Opening,0.01390005867673925,10
Pos10_Paired-Opening,0.01326353665477922,10
Pos12_Unpaired,0.01236847439433687,10
Pos11_Unpaired,0.011985210194643981,10
Pos15_Paired-Opening,0.01159011005233259,10
Pos5_Paired-Opening,0.01145146675125104,10
Pos18_Paired-Opening,0.011297439032976541,10
Pos14_Paired-Opening,0.011118240019282941,10
Pos3_Unpaired,0.01106048900262087,10
Pos4_Paired-Opening,0.010539644066803789,10
Pos16_Paired-Opening,0.0096325034734566,10
Pos3_Paired-Opening,0.00877332234755403,10
Pos12_Paired-Opening,0.00787734161359179,10
Pos1_Unpaired,0.00633392488910748,10
Pos11_Paired-Opening,0.00586730959443661,10
Pos2_Unpaired,0.00564495240506008,10
Pos2_Paired-Opening,0.00526167500840815,10
Pos1_Paired-Opening,0.00497706963658483,10
Pos20_Paired-Closing,0.00014657384611311235,10
Pos18_Paired-Closing,0.00013305363241384872,10
Pos16_Paired-Closing,0.0001261070213206764,10
Pos19_Paired-Closing,0.0001050571570691635,10
Pos17_Paired-Closing,0.00010448159422689793,10
Pos14_Paired-Closing,7.395277829909684e-05,10
Pos15_Paired-Closing,6.61151688758608e-05,10
Pos13_Paired-Closing,5.9544503864986936e-05,10
Pos12_Paired-Closing,4.44089000101135e-05,10
Pos11_Paired-Closing,2.122333063168733e-05,10
Pos9_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
