Feature,Model,Spearman Correlation,P-Value
Pos1_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos1_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos1_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos1_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos2_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos2_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos2_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos2_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos3_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos3_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos3_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos3_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos4_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos4_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos4_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos4_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos5_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos5_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos5_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos5_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos6_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos6_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos6_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos6_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos7_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos7_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos7_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos7_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos8_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos8_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos8_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos8_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos9_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos9_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos9_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos9_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos10_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos10_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos10_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos10_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos11_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos11_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos11_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos11_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos12_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos12_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos12_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos12_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos13_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos13_C,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos13_G,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos13_T,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
,88,,
,95,,
Pos14_A,11,,
,13,,
,14,,
,30,,
,31,,
,33,,
,76,,
,77,,
