Feature,Model,Spearman Correlation,P-Value
Pos1_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos1_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos1_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos1_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos2_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos2_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos2_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos2_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos3_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos3_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos3_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos3_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos4_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos4_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos4_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos4_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos5_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos5_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos5_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos5_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos6_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos6_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos6_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos6_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos7_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos7_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos7_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos7_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos8_A,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos8_C,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos8_G,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
,76,,
,78,,
,88,,
,94,,
Pos8_T,31,,
,51,,
,6,,
,7,,
,70,,
,73,,
