Feature,Q1,Q3,Median Spearman Correlation
Pos21_G,0.689,0.689,0.689
Pos21_T,0.757,0.763,0.763
Pos22_C,0.771,0.771,0.771
Pos22_G,0.746,0.747,0.747
Pos23_G,0.01,0.642,0.192
Pos23_T,0.492,0.689,0.579
Pos24_A,0.361,0.591,0.42
Pos24_C,0.174,0.68,0.443
Pos24_G,0.66,0.73,0.73
Pos25_C,0.777,0.777,0.777
Pos25_G,0.749,0.749,0.749
Pos26_A,0.7,0.7,0.7
Pos26_C,0.397,0.667,0.581
Pos26_G,0.523,0.637,0.543
Pos27_A,0.71,0.71,0.71
Pos27_C,0.709,0.762,0.761
Pos27_G,0.621,0.704,0.684
Pos28_A,0.515,0.676,0.624
Pos28_C,0.786,0.786,0.786
Pos28_G,0.058,0.699,0.469
Pos29_A,0.451,0.654,0.589
Pos29_C,0.773,0.773,0.773
Pos30_C,0.764,0.764,0.764
Pos30_G,0.658,0.715,0.715
Pos31_A,0.665,0.702,0.685
Pos31_C,0.369,0.73,0.585
Pos32_A,0.331,0.653,0.487
Pos32_C,0.102,0.671,0.419
Pos32_G,0.744,0.745,0.745
Pos33_A,0.606,0.698,0.688
Pos33_C,0.763,0.784,0.779
Pos33_G,0.724,0.724,0.724
Pos34_A,0.523,0.694,0.669
Pos34_C,0.687,0.778,0.755
Pos34_G,0.703,0.704,0.704
Pos35_C,0.775,0.775,0.775
Pos35_G,0.747,0.748,0.748
Pos35_T,0.191,0.402,0.233
Pos36_A,0.526,0.684,0.599
Pos36_C,0.777,0.79,0.79
Pos36_G,0.201,0.643,0.451
Pos36_T,0.262,0.575,0.469
Pos37_A,0.604,0.69,0.637
Pos37_C,0.799,0.799,0.799
Pos37_T,0.33,0.501,0.443
Pos38_A,0.415,0.608,0.563
Pos38_T,0.565,0.685,0.594
Pos39_A,0.68,0.682,0.682
Pos40_A,0.649,0.665,0.665
Pos40_C,0.8,0.8,0.8
Pos40_T,0.76,0.777,0.777
