Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_Paired-Opening,0.0186177131332323,10
Pos52_Unpaired,0.017138433752419,10
Pos1_Unpaired,0.0161187925310763,10
Pos51_Unpaired,0.0103111141837436,10
Pos52_Paired-Closing,0.0095935915076325,10
Pos47_Unpaired,0.0088000528268859,10
Pos48_Unpaired,0.0087527799185234,10
Pos47_Paired-Closing,0.008402713350606,10
Pos4_Paired-Opening,0.0079869890445438,10
Pos3_Paired-Opening,0.0073809011186517,10
Pos2_Unpaired,0.0068812820349086,10
Pos4_Unpaired,0.0067969027435822,10
Pos48_Paired-Closing,0.0065994084608985,10
Pos3_Unpaired,0.0065832868537492,10
Pos7_Unpaired,0.0060373663680308,10
Pos5_Paired-Opening,0.0056487407338076,10
Pos2_Paired-Opening,0.005627396703615,10
Pos46_Unpaired,0.0055131985052228,10
Pos51_Paired-Closing,0.0051930890206304,10
Pos55_Unpaired,0.0051705760405793,10
Pos54_Paired-Closing,0.0050864680701403,10
Pos10_Unpaired,0.0049523376928163,10
Pos60_Paired-Closing,0.0049081626101467,10
Pos67_Unpaired,0.0046806018665835,10
Pos46_Paired-Closing,0.0045477151920909,10
Pos60_Unpaired,0.0045346769332182,10
Pos55_Paired-Closing,0.0045232998523856,10
Pos7_Paired-Opening,0.0044573219005629,10
Pos53_Unpaired,0.0043031305602228,10
Pos59_Unpaired,0.0042968065983262,10
Pos50_Paired-Closing,0.004260216613776,10
Pos59_Paired-Closing,0.0040798832058921,10
Pos64_Unpaired,0.0040615989248762,10
Pos67_Paired-Closing,0.003918922685316,10
Pos58_Paired-Closing,0.0039038800949042,10
Pos58_Unpaired,0.0038490565730939,10
Pos53_Paired-Closing,0.0038260927455696,10
Pos44_Paired-Closing,0.0037834259239482,10
Pos19_Unpaired,0.0036361000604315,10
Pos25_Unpaired,0.0035118675774338,10
Pos6_Paired-Opening,0.0034790958271714,10
Pos54_Unpaired,0.0033043095740082,10
Pos64_Paired-Closing,0.0032754493710365,10
Pos11_Unpaired,0.0032018731441574,10
Pos9_Unpaired,0.0031234973549668,10
Pos6_Unpaired,0.0030781658361545,10
Pos71_Paired-Closing,0.003006415135284,10
Pos21_Paired-Opening,0.002995540109015,10
Pos56_Paired-Closing,0.0029889478370327,10
Pos77_Paired-Closing,0.0029196671654067,10
Pos5_Unpaired,0.0029018575953873,10
Pos61_Unpaired,0.0028781696954838,10
Pos78_Paired-Closing,0.0028368295045902,10
Pos77_Unpaired,0.002815702158734,10
Pos78_Unpaired,0.0027822105324296,10
Pos8_Unpaired,0.002665538299585,10
Pos12_Unpaired,0.0026621486765082,10
Pos19_Paired-Opening,0.0026555052800798,10
Pos27_Paired-Opening,0.0026407784108019,10
Pos42_Unpaired,0.0026202294599435,10
Pos61_Paired-Closing,0.0025524278970802,10
Pos70_Paired-Closing,0.0025499111970215,10
Pos63_Unpaired,0.0025229904309536,10
Pos1_Paired-Closing,0.0025152327495957,10
Pos49_Unpaired,0.0025040633333107,10
Pos80_Paired-Closing,0.0024934391609825,10
Pos10_Paired-Opening,0.0024191930065703,10
Pos80_Unpaired,0.0023664604196616,10
Pos9_Paired-Opening,0.0023372052687927,10
Pos24_Paired-Opening,0.0022665340919029,10
Pos25_Paired-Opening,0.0022461102781149,10
Pos56_Unpaired,0.0022456612451872,10
Pos49_Paired-Closing,0.0022435866165815,10
Pos8_Paired-Opening,0.0021970734715879,10
Pos45_Paired-Closing,0.0021659361840671,10
Pos15_Unpaired,0.0020971803365434,10
Pos37_Unpaired,0.0020696552219337,10
Pos17_Unpaired,0.0020246029299682,10
Pos57_Paired-Closing,0.0020111162499738,10
Pos66_Unpaired,0.0020040459239098,10
Pos63_Paired-Closing,0.0019980993431589,10
Pos51_Paired-Opening,0.0019957534151474,10
Pos23_Paired-Opening,0.0019794107293729,10
Pos14_Unpaired,0.0019750506427752,10
Pos30_Paired-Closing,0.0019158898978428,10
Pos32_Paired-Opening,0.0018939230677252,10
Pos24_Unpaired,0.0018920967372326,10
Pos62_Unpaired,0.0018888434858836,10
Pos73_Unpaired,0.0018787831954315,10
Pos18_Unpaired,0.0018658259233997,10
Pos57_Unpaired,0.001832036014642,10
Pos68_Paired-Closing,0.0018007982940439,10
Pos31_Paired-Closing,0.0017979585133402,10
Pos13_Unpaired,0.0017876101318241,10
Pos16_Unpaired,0.0017756668614157,10
Pos65_Paired-Closing,0.0017751885681818,10
Pos17_Paired-Opening,0.001770325193966,10
Pos15_Paired-Opening,0.0017518976552673,10
Pos39_Unpaired,0.001747753585762,10
Pos50_Unpaired,0.0017416972257335,10
Pos65_Unpaired,0.0017214785215674,10
