Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.473,-0.473,-0.473
Pos2_Paired-Opening,-0.421,-0.374,-0.421
Pos3_Paired-Opening,-0.319,-0.3,-0.313
Pos4_Paired-Opening,-0.323,-0.323,-0.323
Pos5_Paired-Opening,-0.3,-0.3,-0.3
Pos6_Paired-Opening,-0.249,-0.249,-0.249
Pos7_Paired-Opening,-0.271,-0.271,-0.271
Pos8_Paired-Opening,-0.26,-0.26,-0.26
Pos9_Paired-Opening,-1.0,-1.0,-1.0
Pos10_Paired-Opening,-0.265,-0.265,-0.265
Pos11_Paired-Opening,-0.291,-0.256,-0.287
Pos12_Paired-Opening,-1.0,-0.867,-1.0
Pos13_Paired-Opening,-0.249,-0.249,-0.249
Pos14_Paired-Opening,-1.0,-1.0,-1.0
Pos15_Paired-Opening,-0.196,-0.196,-0.196
Pos16_Paired-Opening,-0.281,-0.281,-0.281
Pos17_Paired-Opening,-0.237,-0.237,-0.237
Pos18_Paired-Opening,-0.301,-0.163,-0.3
Pos19_Paired-Opening,-0.363,-0.351,-0.363
Pos20_Paired-Opening,-0.398,-0.367,-0.384
