Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,33,-0.2932183156436958,2.8066222231344113e-21
,62,-0.5596202946199181,1.7364659484137458e-83
,74,0.13614678053212675,1.559693481311745e-05
,79,-0.22051624734521214,1.7687793637772637e-12
,82,0.0018615863999249043,0.9531154278149107
,86,-0.1150544773007412,0.00026645228715991984
,90,-0.5114194456246953,9.650318233901058e-68
,91,-0.01024663562338269,0.7462179469315309
,92,-0.33785420031498303,4.0185942628798436e-28
,95,-0.4115055194689525,3.791820570715579e-42
Pos1_Paired-Opening,33,-0.16910903990479295,7.456834748108063e-08
,62,-0.24373070437770342,5.454327546687982e-15
,74,-0.23666145801206973,3.3895646892893774e-14
,79,0.43441410678134273,2.7535931656364027e-47
,82,0.5279680522053309,7.299442514937069e-73
,86,0.48666509275997155,1.3740561945423786e-60
,90,0.22551563518410397,5.367286846301832e-13
,91,-0.4289717352098909,4.9759178445158295e-46
,92,-0.2793487059218757,2.205310679713343e-19
,95,0.18259894928441875,6.026238603830877e-09
Pos1_Paired-Closing,33,,
,62,,
,74,,
,79,,
,82,,
,86,,
,90,,
,91,,
,92,,
,95,,
Pos2_Unpaired,33,0.4170126415199694,2.395939642146167e-43
,62,-0.2778101460803727,3.5254230897900236e-19
,74,-0.3167751322811571,9.577896267714351e-25
,79,-0.30265262738223536,1.2523704548889623e-22
,82,-0.11203791629344852,0.0003856701606413375
,86,-0.05704781933579573,0.07135323436410806
,90,-0.0796695467220609,0.011727879568743736
,91,0.04830580392201503,0.1268743659792397
,92,0.3204098461914774,2.6170003558162317e-25
,95,-0.1898876785568948,1.426915827299478e-09
Pos2_Paired-Opening,33,-0.19208199492587805,9.143966822703325e-10
,62,0.19812738058500462,2.611286922423676e-10
,74,0.2902230974518558,7.353340023996311e-21
,79,0.2329985045692085,8.536355340268266e-14
,82,0.26060811575002996,5.475749294126194e-17
,86,0.18722629886439301,2.4307690152129516e-09
,90,0.09128444220125743,0.0038635737244840313
,91,0.3117118933553871,5.666550579840781e-24
,92,0.3730734390470757,2.2291203494215993e-34
,95,0.5450408672572739,1.8796727946150837e-78
Pos2_Paired-Closing,33,,
,62,,
,74,,
,79,,
,82,,
,86,,
,90,,
,91,,
,92,,
,95,,
Pos3_Unpaired,33,0.03715226410768746,0.2404777194253455
,62,-0.012559963245991757,0.6915888498317044
,74,0.413904465300894,1.1458842805808438e-42
,79,0.31172369561917773,5.643343304582557e-24
,82,0.5179181431055576,1.0163153522155458e-69
,86,0.6956125624059228,1.6724698532753463e-145
,90,0.6792891444688938,2.87102650282701e-136
,91,0.5825770152672336,6.119792650621465e-92
