Feature,Q1,Q3,Median Spearman Correlation
Pos1_A,0.421,0.545,0.488
Pos1_G,0.751,0.782,0.782
Pos1_T,0.171,0.549,0.298
Pos2_A,0.554,0.693,0.671
Pos2_C,0.68,0.776,0.771
Pos3_A,0.64,0.694,0.681
Pos3_G,0.334,0.684,0.576
Pos3_T,0.148,0.498,0.192
Pos4_A,0.246,0.488,0.347
Pos4_C,0.156,0.623,0.176
Pos4_G,0.742,0.766,0.756
Pos5_A,0.268,0.501,0.407
Pos5_C,0.689,0.769,0.737
Pos5_G,0.194,0.526,0.302
Pos6_A,0.142,0.591,0.461
Pos6_C,0.666,0.773,0.706
Pos6_G,0.682,0.724,0.722
Pos7_A,0.212,0.556,0.45
Pos7_C,0.673,0.794,0.757
Pos7_G,0.471,0.649,0.591
Pos8_A,0.168,0.592,0.448
Pos8_C,0.447,0.757,0.672
Pos8_G,0.362,0.675,0.616
Pos9_A,0.591,0.733,0.721
Pos10_A,0.692,0.697,0.695
Pos10_C,0.216,0.773,0.463
Pos11_A,0.676,0.703,0.685
Pos11_C,0.555,0.76,0.736
Pos11_G,0.092,0.622,0.498
Pos12_A,0.435,0.649,0.53
Pos12_C,0.64,0.773,0.73
Pos12_G,0.098,0.404,0.223
Pos13_C,0.784,0.803,0.803
Pos13_G,0.538,0.723,0.705
Pos14_A,0.635,0.738,0.708
Pos14_T,0.466,0.661,0.597
Pos15_A,0.754,0.76,0.76
Pos15_T,0.325,0.578,0.486
Pos16_A,0.65,0.688,0.684
Pos16_C,0.41,0.715,0.527
Pos16_G,0.456,0.748,0.685
Pos17_A,0.519,0.667,0.58
Pos17_C,0.699,0.789,0.778
Pos17_G,0.657,0.745,0.715
Pos18_C,0.808,0.81,0.81
Pos18_G,0.084,0.286,0.161
Pos19_C,0.527,0.794,0.695
Pos19_G,0.75,0.75,0.75
Pos20_G,0.759,0.759,0.759
