Feature,Average_Importance_Magnitude,Number_of_Models
Pos13_Unpaired,0.0011263626250966698,10
Pos14_Unpaired,0.00046120980704477,10
Pos12_Unpaired,0.00046033763489621997,10
Pos13_Paired-Closing,0.00040511577100213876,10
Pos4_Unpaired,0.0003896590357228975,10
Pos15_Unpaired,0.0003337625789835981,10
Pos11_Unpaired,0.0003300027783732082,10
Pos4_Paired-Opening,0.00029931632411716637,10
Pos15_Paired-Closing,0.00028035332004774,10
Pos17_Unpaired,0.0002786308267732501,10
Pos6_Unpaired,0.0002779042371271719,10
Pos5_Unpaired,0.0002687374828738487,10
Pos6_Paired-Opening,0.0002627589793323873,10
Pos10_Unpaired,0.0002547010866450116,10
Pos16_Unpaired,0.0002544435864574325,10
Pos7_Unpaired,0.00020954307330319985,10
Pos12_Paired-Closing,0.00019424258322946322,10
Pos14_Paired-Closing,0.00019269547262212505,10
Pos8_Unpaired,0.00018783308489109425,10
Pos16_Paired-Closing,0.00018433886758050712,10
Pos5_Paired-Opening,0.00018325217759742896,10
Pos7_Paired-Opening,0.00018082350632613622,10
Pos17_Paired-Closing,0.00017896941240796928,10
Pos3_Unpaired,0.0001766561602699472,10
Pos19_Unpaired,0.00017402405703660298,10
Pos9_Unpaired,0.0001647497450700238,10
Pos13_Paired-Opening,0.00015443054130697342,10
Pos11_Paired-Closing,0.0001492623386209012,10
Pos18_Unpaired,0.00014086147073114302,10
Pos18_Paired-Closing,0.00013518064076980754,10
Pos1_Unpaired,0.0001259233334468299,10
Pos19_Paired-Closing,0.00012184699001627591,10
Pos3_Paired-Opening,0.00011906976480775091,10
Pos10_Paired-Opening,0.00010818815058130811,10
Pos1_Paired-Opening,0.00010809473710784122,10
Pos2_Unpaired,0.00010548531830246266,10
Pos8_Paired-Opening,0.0001016528894219906,10
Pos14_Paired-Opening,9.725888477545204e-05,10
Pos2_Paired-Opening,9.711841435582061e-05,10
Pos9_Paired-Opening,9.039165313477117e-05,10
Pos11_Paired-Opening,6.779716521664652e-05,10
Pos20_Paired-Closing,6.46404826988632e-05,10
Pos12_Paired-Opening,5.8514462702222236e-05,10
Pos20_Unpaired,5.678276628698216e-05,10
Pos10_Paired-Closing,4.128968006784067e-05,10
Pos9_Paired-Closing,1.5753697412850214e-05,10
Pos8_Paired-Closing,1.2243495155039625e-05,10
Pos7_Paired-Closing,5.027199974732151e-06,10
Pos6_Paired-Closing,7.6019324545843e-07,10
Pos5_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos20_Paired-Opening,0.0,10
Pos19_Paired-Opening,0.0,10
Pos18_Paired-Opening,0.0,10
Pos17_Paired-Opening,0.0,10
Pos16_Paired-Opening,0.0,10
Pos15_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
