Feature,Importance Magnitude
Pos1_Unpaired,0.004782835290336323
Pos4_Unpaired,0.003964017458250632
Pos5_Unpaired,0.003507442995040469
Pos1_Paired-Opening,0.003358546066339285
Pos5_Paired-Opening,0.0032884430457770083
Pos2_Unpaired,0.0032562899949193282
Pos4_Paired-Opening,0.003156379690549953
Pos2_Paired-Opening,0.0028829368008012083
Pos6_Unpaired,0.002880654138241443
Pos7_Unpaired,0.0027394534043266657
Pos3_Paired-Opening,0.0026697673127723466
Pos3_Unpaired,0.0024502038082830396
Pos7_Paired-Opening,0.0023995587022224533
Pos6_Paired-Opening,0.0021815361404761155
Pos8_Unpaired,0.0018707775267134074
Pos8_Paired-Opening,0.0010549152617432894
Pos10_Unpaired,0.0010222312745914862
Pos10_Paired-Opening,0.0007052057258249652
Pos9_Unpaired,0.0005348361567296698
Pos19_Unpaired,0.00044291509450147327
Pos18_Unpaired,0.00043553206422373183
Pos18_Paired-Opening,0.0004312931549840933
Pos17_Unpaired,0.0004043937814333593
Pos16_Unpaired,0.0003971696506930873
Pos20_Unpaired,0.00036923535031260015
Pos13_Paired-Opening,0.00036374598806554297
Pos9_Paired-Opening,0.0003490984810468573
Pos21_Unpaired,0.0003389422209670245
Pos17_Paired-Opening,0.00032300438932251916
Pos13_Unpaired,0.000307676095338645
Pos19_Paired-Opening,0.0003056881538293684
Pos16_Paired-Opening,0.00028382446305803523
Pos11_Unpaired,0.00026462246205615495
Pos11_Paired-Opening,0.00023911191207587058
Pos20_Paired-Opening,0.00023475320162674748
Pos21_Paired-Opening,0.0001773734487108174
Pos15_Unpaired,0.0001771543194225577
Pos15_Paired-Opening,0.00015150029974612034
Pos14_Unpaired,0.00011984236701960089
Pos12_Paired-Opening,9.838730129478729e-05
Pos14_Paired-Opening,9.01958951171028e-05
Pos12_Unpaired,9.01727808489198e-05
Pos1_Paired-Closing,5.08268032706836e-05
Pos3_Paired-Closing,3.89634305160869e-05
Pos2_Paired-Closing,2.83975967764671e-05
Pos20_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos19_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos18_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos17_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
Pos12_Paired-Closing,0.0
Pos16_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos15_Paired-Closing,0.0
Pos14_Paired-Closing,0.0
Pos13_Paired-Closing,0.0
Pos11_Paired-Closing,0.0
Pos21_Paired-Closing,0.0
