Feature,Average_Importance_Magnitude,Number_of_Models
Pos20_Paired-Opening,0.01861771313323234,10
Pos52_Unpaired,0.017138433752419018,10
Pos20_Unpaired,0.016118792531076377,10
Pos51_Unpaired,0.01031111418374365,10
Pos52_Paired-Closing,0.009593591507632549,10
Pos47_Unpaired,0.00880005282688596,10
Pos48_Unpaired,0.00875277991852343,10
Pos47_Paired-Closing,0.00840271335060601,10
Pos17_Paired-Opening,0.00798698904454386,10
Pos18_Paired-Opening,0.0073809011186517295,10
Pos19_Unpaired,0.006881282034908639,10
Pos17_Unpaired,0.006796902743582229,10
Pos48_Paired-Closing,0.00659940846089854,10
Pos18_Unpaired,0.00658328685374922,10
Pos14_Unpaired,0.00603736636803086,10
Pos16_Paired-Opening,0.005648740733807669,10
Pos19_Paired-Opening,0.00562739670361508,10
Pos46_Unpaired,0.00551319850522285,10
Pos51_Paired-Closing,0.00519308902063048,10
Pos55_Unpaired,0.00517057604057936,10
Pos54_Paired-Closing,0.00508646807014037,10
Pos11_Unpaired,0.00495233769281634,10
Pos60_Paired-Closing,0.004908162610146731,10
Pos67_Unpaired,0.00468060186658353,10
Pos46_Paired-Closing,0.00454771519209091,10
Pos60_Unpaired,0.00453467693321822,10
Pos55_Paired-Closing,0.00452329985238562,10
Pos14_Paired-Opening,0.0044573219005629005,10
Pos53_Unpaired,0.00430313056022281,10
Pos59_Unpaired,0.00429680659832626,10
Pos50_Paired-Closing,0.004260216613776,10
Pos59_Paired-Closing,0.0040798832058921404,10
Pos64_Unpaired,0.00406159892487623,10
Pos67_Paired-Closing,0.00391892268531604,10
Pos58_Paired-Closing,0.0039038800949042695,10
Pos58_Unpaired,0.00384905657309395,10
Pos53_Paired-Closing,0.00382609274556968,10
Pos44_Paired-Closing,0.00378342592394828,10
Pos2_Unpaired,0.0036361000604315996,10
Pos25_Unpaired,0.0035118675774338604,10
Pos15_Paired-Opening,0.00347909582717148,10
Pos54_Unpaired,0.0033043095740082603,10
Pos64_Paired-Closing,0.0032754493710365298,10
Pos10_Unpaired,0.0032018731441574,10
Pos12_Unpaired,0.0031234973549668,10
Pos15_Unpaired,0.00307816583615454,10
Pos71_Paired-Closing,0.00300641513528404,10
Pos21_Paired-Opening,0.00299554010901505,10
Pos56_Paired-Closing,0.00298894783703272,10
Pos77_Paired-Closing,0.00291966716540673,10
Pos16_Unpaired,0.00290185759538736,10
Pos61_Unpaired,0.00287816969548386,10
Pos78_Paired-Closing,0.0028368295045902497,10
Pos77_Unpaired,0.00281570215873403,10
Pos78_Unpaired,0.00278221053242969,10
Pos13_Unpaired,0.0026655382995850402,10
Pos9_Unpaired,0.00266214867650824,10
Pos2_Paired-Opening,0.00265550528007981,10
Pos27_Paired-Opening,0.00264077841080197,10
Pos42_Unpaired,0.0026202294599435897,10
Pos61_Paired-Closing,0.00255242789708022,10
Pos70_Paired-Closing,0.00254991119702154,10
Pos63_Unpaired,0.00252299043095367,10
Pos20_Paired-Closing,0.0025152327495957,10
Pos49_Unpaired,0.0025040633333107197,10
Pos80_Paired-Closing,0.0024934391609825897,10
Pos11_Paired-Opening,0.00241919300657037,10
Pos80_Unpaired,0.00236646041966163,10
Pos12_Paired-Opening,0.00233720526879271,10
Pos24_Paired-Opening,0.0022665340919029602,10
Pos25_Paired-Opening,0.0022461102781149997,10
Pos56_Unpaired,0.00224566124518721,10
Pos49_Paired-Closing,0.00224358661658155,10
Pos13_Paired-Opening,0.0021970734715879197,10
Pos45_Paired-Closing,0.00216593618406714,10
Pos6_Unpaired,0.00209718033654346,10
Pos37_Unpaired,0.0020696552219337297,10
Pos4_Unpaired,0.0020246029299682802,10
Pos57_Paired-Closing,0.00201111624997381,10
Pos66_Unpaired,0.00200404592390986,10
Pos63_Paired-Closing,0.0019980993431589203,10
Pos51_Paired-Opening,0.00199575341514747,10
Pos23_Paired-Opening,0.00197941072937299,10
Pos7_Unpaired,0.00197505064277527,10
Pos30_Paired-Closing,0.00191588989784283,10
Pos32_Paired-Opening,0.00189392306772529,10
Pos24_Unpaired,0.00189209673723261,10
Pos62_Unpaired,0.00188884348588361,10
Pos73_Unpaired,0.0018787831954315201,10
Pos3_Unpaired,0.00186582592339971,10
Pos57_Unpaired,0.0018320360146420502,10
Pos68_Paired-Closing,0.00180079829404398,10
Pos31_Paired-Closing,0.00179795851334025,10
Pos8_Unpaired,0.0017876101318241098,10
Pos5_Unpaired,0.00177566686141572,10
Pos65_Paired-Closing,0.0017751885681818202,10
Pos4_Paired-Opening,0.00177032519396601,10
Pos6_Paired-Opening,0.0017518976552673398,10
Pos39_Unpaired,0.0017477535857620002,10
Pos50_Unpaired,0.00174169722573353,10
Pos65_Unpaired,0.00172147852156746,10
Pos21_Unpaired,0.0016783895842258398,10
Pos79_Paired-Closing,0.0016677697680114601,10
Pos66_Paired-Closing,0.0016656549964126001,10
Pos9_Paired-Opening,0.00166234516157345,10
Pos35_Unpaired,0.0016610295916467802,10
Pos7_Paired-Opening,0.00164192679926516,10
Pos73_Paired-Closing,0.00163676642402888,10
Pos40_Paired-Closing,0.00163278759343945,10
Pos76_Unpaired,0.00163024001390692,10
Pos8_Paired-Opening,0.0015970313091477801,10
Pos62_Paired-Closing,0.00159693808729672,10
Pos3_Paired-Opening,0.0015751813044580399,10
Pos26_Paired-Opening,0.0015726451684856299,10
Pos33_Unpaired,0.0015514718059526599,10
Pos10_Paired-Opening,0.00155088599974323,10
Pos35_Paired-Closing,0.00154978326655503,10
Pos87_Paired-Closing,0.0015394966982636201,10
Pos26_Unpaired,0.0015258316122932,10
Pos5_Paired-Opening,0.00152362017119556,10
Pos76_Paired-Closing,0.00151701480610912,10
Pos68_Unpaired,0.00150061676143836,10
Pos50_Paired-Opening,0.00148986601920423,10
Pos79_Unpaired,0.0014632062557073699,10
Pos30_Unpaired,0.00144326683134532,10
Pos29_Paired-Opening,0.0013842399114538,10
Pos52_Paired-Opening,0.001372405127299,10
Pos81_Paired-Closing,0.0013615086304807201,10
Pos72_Paired-Closing,0.00135249348827702,10
Pos22_Paired-Opening,0.0013462701464436,10
Pos28_Unpaired,0.00133537658744847,10
Pos49_Paired-Opening,0.00133501016923095,10
Pos90_Unpaired,0.00133478848720664,10
Pos32_Unpaired,0.00131787198013095,10
Pos19_Paired-Closing,0.00131509811032543,10
Pos21_Paired-Closing,0.0012907336953175302,10
Pos34_Paired-Closing,0.00126999499291259,10
Pos27_Unpaired,0.00122552042877762,10
Pos39_Paired-Closing,0.0012133957666457498,10
Pos31_Paired-Opening,0.00120438009886482,10
Pos69_Paired-Opening,0.0011880240460670599,10
Pos70_Paired-Opening,0.0011859241463681902,10
Pos69_Paired-Closing,0.00117232181572274,10
Pos75_Unpaired,0.00114114625638003,10
Pos41_Unpaired,0.00114041143403653,10
Pos33_Paired-Closing,0.00113385784079686,10
Pos44_Paired-Opening,0.00111393962644509,10
Pos38_Unpaired,0.00111377894262117,10
Pos1_Unpaired,0.00110479182873851,10
Pos54_Paired-Opening,0.0011032181168946198,10
Pos34_Unpaired,0.00107390977639784,10
Pos75_Paired-Closing,0.00104182245238853,10
Pos90_Paired-Closing,0.0010288453832837901,10
Pos82_Paired-Closing,0.0010089532352342801,10
Pos36_Unpaired,0.001002250975571,10
Pos18_Paired-Closing,0.00100016340665898,10
Pos38_Paired-Closing,0.0009848217132661999,10
Pos42_Paired-Closing,0.00095557871519593,10
Pos86_Paired-Closing,0.0009528745323333001,10
Pos72_Paired-Opening,0.00093991694680044,10
Pos16_Paired-Closing,0.0009310214427508699,10
Pos29_Paired-Closing,0.00092274495593725,10
Pos45_Paired-Opening,0.00091801528175739,10
Pos31_Unpaired,0.00089351166990565,10
Pos29_Unpaired,0.0008922364916600799,10
Pos74_Unpaired,0.00086472590668776,10
Pos37_Paired-Closing,0.0008406589933094901,10
Pos27_Paired-Closing,0.00082801997746849,10
Pos30_Paired-Opening,0.00082421301829656,10
Pos28_Paired-Closing,0.0008077732252865899,10
Pos36_Paired-Closing,0.00080200282540937,10
Pos23_Unpaired,0.00079921798568422,10
Pos71_Paired-Opening,0.0007841511439145501,10
Pos70_Unpaired,0.00077516103559541,10
Pos43_Paired-Opening,0.00075192435120618,10
Pos71_Unpaired,0.00074997438320056,10
Pos44_Unpaired,0.0007198467569662699,10
Pos91_Unpaired,0.0007188503279349199,10
Pos22_Unpaired,0.00071151108145389,10
Pos69_Unpaired,0.00070990013673029,10
Pos22_Paired-Closing,0.00070649231585446,10
Pos11_Paired-Closing,0.0006904332652358901,10
Pos74_Paired-Closing,0.0006835405745601001,10
Pos72_Unpaired,0.0006805091745402399,10
Pos43_Unpaired,0.00067841641843329,10
Pos85_Paired-Closing,0.00067807540988721,10
Pos40_Paired-Opening,0.0006760702384090999,10
Pos91_Paired-Closing,0.00066149327256749,10
Pos96_Unpaired,0.00061540592239627,10
Pos42_Paired-Opening,0.0006142883544865699,10
Pos25_Paired-Closing,0.00061043055893168,10
Pos89_Unpaired,0.00060918731773389,10
Pos1_Paired-Opening,0.00060430729983492,10
Pos96_Paired-Closing,0.00059813124319452,10
Pos17_Paired-Closing,0.0005943963432235301,10
Pos28_Paired-Opening,0.00059371905043122,10
Pos23_Paired-Closing,0.00057143695417368,10
Pos81_Paired-Opening,0.00056988861783059,10
Pos15_Paired-Closing,0.00056578977306245,10
Pos86_Paired-Opening,0.00054986775652487,10
Pos14_Paired-Closing,0.00053527368308955,10
Pos32_Paired-Closing,0.0005301161690175499,10
Pos97_Unpaired,0.00052857152316782,10
Pos89_Paired-Closing,0.00052195887425165,10
Pos41_Paired-Closing,0.0005077352946443,10
Pos86_Unpaired,0.00050068778324095,10
Pos84_Paired-Closing,0.0005005531260855401,10
Pos82_Paired-Opening,0.0004952532705641899,10
Pos83_Paired-Closing,0.00048204283263687,10
Pos45_Unpaired,0.00048145183727303,10
Pos94_Paired-Closing,0.00047504137086584004,10
Pos85_Paired-Opening,0.00044859179383847,10
Pos41_Paired-Opening,0.00043960816504332,10
Pos10_Paired-Closing,0.00042351719176291993,10
Pos13_Paired-Closing,0.00041963010579920007,10
Pos94_Unpaired,0.00041486978219589996,10
Pos88_Unpaired,0.00039838516275923005,10
Pos83_Paired-Opening,0.0003847307844467,10
Pos87_Paired-Opening,0.00037351534096825,10
Pos12_Paired-Closing,0.00037241812835181,10
Pos26_Paired-Closing,0.00037132846643538997,10
Pos97_Paired-Closing,0.00036696619360157003,10
Pos24_Paired-Closing,0.00034509604585355,10
Pos88_Paired-Closing,0.00034110049106727,10
Pos85_Unpaired,0.0003225606514279,10
Pos84_Unpaired,0.00029263926106639,10
Pos84_Paired-Opening,0.00028597030638114997,10
Pos43_Paired-Closing,0.00027642877155261,10
Pos34_Paired-Opening,0.00025708720768963,10
Pos82_Unpaired,0.0002195180977119,10
Pos39_Paired-Opening,0.00016158761584870294,10
Pos37_Paired-Opening,0.00015827238567844176,10
Pos9_Paired-Closing,0.00015501360790074744,10
Pos95_Unpaired,0.00013054941891263715,10
Pos33_Paired-Opening,0.00012627919371400022,10
Pos95_Paired-Closing,0.00012085976645924892,10
Pos93_Paired-Closing,0.00011191035286235917,10
Pos93_Unpaired,0.00010694875769035281,10
Pos38_Paired-Opening,9.623832488081657e-05,10
Pos40_Unpaired,8.68384740278063e-05,10
Pos87_Unpaired,6.604649755174583e-05,10
Pos99_Unpaired,5.338942360276236e-05,10
Pos99_Paired-Closing,4.561921524771116e-05,10
Pos81_Unpaired,4.19152536061663e-05,10
Pos98_Paired-Closing,3.473583034257559e-05,10
Pos8_Paired-Closing,3.250937772640986e-05,10
Pos92_Paired-Closing,2.917171008044499e-05,10
Pos98_Unpaired,2.840405130270462e-05,10
Pos92_Unpaired,2.740714557632061e-05,10
Pos100_Unpaired,2.7091738215240014e-05,10
Pos100_Paired-Closing,2.416751537286456e-05,10
Pos83_Unpaired,2.1012770975233116e-05,10
Pos7_Paired-Closing,4.56492393134244e-06,10
Pos4_Paired-Closing,0.0,10
Pos58_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
Pos94_Paired-Opening,0.0,10
Pos57_Paired-Opening,0.0,10
Pos56_Paired-Opening,0.0,10
Pos95_Paired-Opening,0.0,10
Pos55_Paired-Opening,0.0,10
Pos100_Paired-Opening,0.0,10
Pos96_Paired-Opening,0.0,10
Pos53_Paired-Opening,0.0,10
Pos97_Paired-Opening,0.0,10
Pos59_Paired-Opening,0.0,10
Pos48_Paired-Opening,0.0,10
Pos47_Paired-Opening,0.0,10
Pos98_Paired-Opening,0.0,10
Pos46_Paired-Opening,0.0,10
Pos3_Paired-Closing,0.0,10
Pos99_Paired-Opening,0.0,10
Pos36_Paired-Opening,0.0,10
Pos35_Paired-Opening,0.0,10
Pos2_Paired-Closing,0.0,10
Pos93_Paired-Opening,0.0,10
Pos5_Paired-Closing,0.0,10
Pos80_Paired-Opening,0.0,10
Pos6_Paired-Closing,0.0,10
Pos79_Paired-Opening,0.0,10
Pos78_Paired-Opening,0.0,10
Pos77_Paired-Opening,0.0,10
Pos76_Paired-Opening,0.0,10
Pos75_Paired-Opening,0.0,10
Pos88_Paired-Opening,0.0,10
Pos74_Paired-Opening,0.0,10
Pos73_Paired-Opening,0.0,10
Pos89_Paired-Opening,0.0,10
Pos68_Paired-Opening,0.0,10
Pos92_Paired-Opening,0.0,10
Pos67_Paired-Opening,0.0,10
Pos66_Paired-Opening,0.0,10
Pos65_Paired-Opening,0.0,10
Pos90_Paired-Opening,0.0,10
Pos64_Paired-Opening,0.0,10
Pos62_Paired-Opening,0.0,10
Pos91_Paired-Opening,0.0,10
Pos61_Paired-Opening,0.0,10
Pos60_Paired-Opening,0.0,10
Pos63_Paired-Opening,0.0,10
