Feature,Model,Spearman Correlation,P-Value
Pos1_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos1_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos1_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos1_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos2_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos2_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos2_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos2_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos3_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos3_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos3_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos3_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos4_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos4_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos4_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos4_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos5_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos5_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos5_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos5_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos6_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos6_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos6_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos6_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos7_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos7_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos7_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos7_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos8_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos8_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos8_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos8_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos9_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos9_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos9_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos9_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos10_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos10_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos10_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos10_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos11_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos11_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos11_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos11_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos12_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos12_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos12_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos12_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos13_A,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos13_C,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos13_G,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
,93,,
,94,,
,97,,
,99,,
Pos13_T,22,,
,25,,
,47,,
,54,,
,8,,
,88,,
