Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.24,-0.111,-0.219
Pos2_Paired-Opening,-0.335,-0.105,-0.217
Pos3_Paired-Opening,-0.377,-0.303,-0.372
Pos4_Unpaired,-0.295,-0.161,-0.257
Pos5_Unpaired,-0.405,-0.246,-0.395
Pos8_Unpaired,-0.449,-0.101,-0.192
Pos9_Paired-Opening,-0.485,-0.174,-0.283
Pos11_Unpaired,-0.335,-0.224,-0.268
Pos12_Unpaired,-0.347,-0.024,-0.231
Pos13_Paired-Opening,-0.328,-0.119,-0.281
Pos14_Paired-Opening,-0.448,-0.279,-0.391
Pos15_Unpaired,-0.288,-0.051,-0.21
Pos16_Unpaired,-0.326,-0.075,-0.243
Pos17_Unpaired,-0.146,-0.075,-0.103
Pos17_Paired-Closing,-0.533,-0.115,-0.404
Pos18_Paired-Closing,-0.431,-0.179,-0.365
Pos19_Paired-Opening,-0.629,-0.488,-0.59
Pos19_Paired-Closing,-0.269,-0.061,-0.14
Pos20_Paired-Opening,-0.598,-0.385,-0.515
Pos20_Paired-Closing,-1.0,-1.0,-1.0
Pos21_Unpaired,-0.683,-0.411,-0.447
Pos22_Unpaired,-0.813,-0.384,-0.632
Pos23_Paired-Opening,-0.658,-0.465,-0.59
Pos23_Paired-Closing,-0.366,-0.128,-0.295
Pos24_Paired-Opening,-0.583,-0.261,-0.378
Pos25_Unpaired,-0.54,-0.338,-0.425
Pos25_Paired-Opening,-0.465,-0.205,-0.252
Pos26_Paired-Closing,-0.435,-0.201,-0.317
Pos27_Paired-Closing,-0.436,-0.221,-0.322
Pos28_Paired-Opening,-0.507,-0.094,-0.244
Pos29_Paired-Opening,-0.538,-0.38,-0.47
Pos30_Paired-Opening,-0.277,-0.107,-0.194
Pos32_Paired-Closing,-0.54,-0.109,-0.282
Pos33_Paired-Closing,-0.565,-0.181,-0.412
Pos34_Paired-Closing,-0.649,-0.349,-0.563
Pos35_Paired-Closing,-0.777,-0.278,-0.582
Pos37_Paired-Closing,-0.833,-0.713,-0.814
Pos38_Paired-Closing,-0.862,-0.682,-0.789
Pos39_Paired-Closing,-0.853,-0.853,-0.853
Pos40_Paired-Closing,-0.77,-0.77,-0.77
