Feature,Q1,Q3,Median Spearman Correlation
Pos2_Paired-Opening,0.999,0.999,0.999
Pos3_Paired-Opening,0.999,0.999,0.999
Pos4_Paired-Opening,0.819,0.989,0.936
Pos5_Paired-Opening,1.0,1.0,1.0
Pos6_Paired-Opening,1.0,1.0,1.0
Pos7_Paired-Opening,1.0,1.0,1.0
Pos8_Paired-Opening,1.0,1.0,1.0
Pos9_Paired-Opening,1.0,1.0,1.0
Pos10_Paired-Opening,0.999,0.999,0.999
Pos11_Paired-Opening,0.305,0.305,0.305
Pos12_Paired-Opening,0.348,0.348,0.348
Pos13_Paired-Opening,1.0,1.0,1.0
Pos14_Paired-Opening,1.0,1.0,1.0
Pos15_Paired-Opening,1.0,1.0,1.0
Pos16_Paired-Opening,0.344,0.344,0.344
Pos17_Paired-Opening,0.314,0.314,0.314
Pos18_Paired-Opening,0.947,1.0,1.0
Pos19_Paired-Opening,1.0,1.0,1.0
Pos20_Paired-Opening,1.0,1.0,1.0
Pos21_Paired-Opening,1.0,1.0,1.0
Pos22_Paired-Opening,0.999,0.999,0.999
Pos23_Paired-Opening,0.182,0.439,0.411
