Feature,Average_Importance_Magnitude,Number_of_Models
Pos40_G,0.00744166073082358,10
Pos22_C,0.005270943339664,10
Pos22_T,0.00424421648255951,10
Pos27_T,0.00417754419952768,10
Pos26_T,0.0040437968570028095,10
Pos37_G,0.00384237694166559,10
Pos21_C,0.00345472781609136,10
Pos40_C,0.00340107241385615,10
Pos28_C,0.0033637178641213196,10
Pos28_T,0.0033513843333178904,10
Pos21_G,0.0033149312143158603,10
Pos39_G,0.00317038763103624,10
Pos25_T,0.00309631592944268,10
Pos26_A,0.00301798673986831,10
Pos23_T,0.00293207049956999,10
Pos30_T,0.0028230517664213,10
Pos36_T,0.00262103428600896,10
Pos31_T,0.00252721069106359,10
Pos35_T,0.00252102877962214,10
Pos29_G,0.0025006255128006702,10
Pos39_C,0.0024760420095634402,10
Pos29_C,0.00247236590085001,10
Pos27_C,0.00246987442861213,10
Pos37_T,0.00245771756159053,10
Pos23_C,0.0024364909961209604,10
Pos24_T,0.00238946383357079,10
Pos29_T,0.00237730853454616,10
Pos23_G,0.00236188945370283,10
Pos32_T,0.00236026847892189,10
Pos34_T,0.00234825527582871,10
Pos40_T,0.0023416279838358,10
Pos33_T,0.0023401276240779803,10
Pos25_C,0.00233054666357305,10
Pos21_T,0.00231010936867946,10
Pos38_G,0.00225935814402437,10
Pos26_C,0.0022185909863956,10
Pos34_C,0.00217900277384338,10
Pos33_C,0.00210598062167807,10
Pos24_C,0.0020998094039389797,10
Pos31_G,0.00207498818935535,10
Pos39_T,0.00205388039030591,10
Pos32_C,0.00203417904391552,10
Pos30_C,0.00199871761075035,10
Pos25_G,0.0019575729169511403,10
Pos22_G,0.0019535313021463102,10
Pos36_G,0.00195287165929229,10
Pos38_T,0.00195017306343068,10
Pos31_C,0.0019049029939105801,10
Pos30_G,0.0018654487912002,10
Pos34_G,0.0018552389463105299,10
Pos32_G,0.0018446540530308998,10
Pos39_A,0.00183860384144654,10
Pos24_G,0.0018343396278716901,10
Pos37_C,0.001818438963278,10
Pos26_G,0.00180385523849682,10
Pos36_C,0.0017943955796727099,10
Pos35_G,0.00179275434595672,10
Pos35_C,0.0017286496314701898,10
Pos27_G,0.00171863959866826,10
Pos28_G,0.00171069150689998,10
Pos38_C,0.0015768499632920498,10
Pos24_A,0.00156008916819674,10
Pos27_A,0.00155028049351572,10
Pos29_A,0.00148224103276282,10
Pos33_G,0.00146863790603199,10
Pos37_A,0.00145879452108613,10
Pos31_A,0.0014314779734799,10
Pos28_A,0.00133103636964714,10
Pos32_A,0.0012386434317331499,10
Pos35_A,0.00121737189515225,10
Pos38_A,0.00119492681422573,10
Pos40_A,0.00117792298410965,10
Pos22_A,0.00115077604324865,10
Pos25_A,0.0011407351448591801,10
Pos34_A,0.00108635490500451,10
Pos30_A,0.00104816257661007,10
Pos23_A,0.00101062104116941,10
Pos33_A,0.0009585258315645001,10
Pos36_A,0.0009473022691527499,10
Pos21_A,0.00088463434872293,10
Pos9_C,0.0,10
Pos4_A,0.0,10
Pos9_A,0.0,10
Pos3_G,0.0,10
Pos8_T,0.0,10
Pos4_C,0.0,10
Pos8_G,0.0,10
Pos4_G,0.0,10
Pos9_G,0.0,10
Pos8_C,0.0,10
Pos8_A,0.0,10
Pos7_T,0.0,10
Pos3_A,0.0,10
Pos7_G,0.0,10
Pos5_C,0.0,10
Pos7_A,0.0,10
Pos4_T,0.0,10
Pos3_C,0.0,10
Pos3_T,0.0,10
Pos6_T,0.0,10
Pos6_G,0.0,10
Pos6_C,0.0,10
Pos6_A,0.0,10
Pos5_T,0.0,10
Pos5_G,0.0,10
Pos5_A,0.0,10
Pos7_C,0.0,10
Pos10_A,0.0,10
Pos2_T,0.0,10
Pos2_G,0.0,10
Pos16_A,0.0,10
Pos15_T,0.0,10
Pos15_G,0.0,10
Pos15_C,0.0,10
Pos15_A,0.0,10
Pos14_T,0.0,10
Pos14_G,0.0,10
Pos14_C,0.0,10
Pos14_A,0.0,10
Pos13_T,0.0,10
Pos13_G,0.0,10
Pos13_C,0.0,10
Pos13_A,0.0,10
Pos12_T,0.0,10
Pos12_G,0.0,10
Pos12_C,0.0,10
Pos12_A,0.0,10
Pos11_T,0.0,10
Pos11_G,0.0,10
Pos11_C,0.0,10
Pos11_A,0.0,10
Pos10_T,0.0,10
Pos10_G,0.0,10
Pos16_C,0.0,10
Pos16_G,0.0,10
Pos16_T,0.0,10
Pos1_A,0.0,10
Pos2_C,0.0,10
Pos2_A,0.0,10
Pos10_C,0.0,10
Pos20_T,0.0,10
Pos20_G,0.0,10
Pos20_C,0.0,10
Pos20_A,0.0,10
Pos1_T,0.0,10
Pos1_G,0.0,10
Pos1_C,0.0,10
Pos19_T,0.0,10
Pos17_A,0.0,10
Pos19_G,0.0,10
Pos19_C,0.0,10
Pos19_A,0.0,10
Pos18_T,0.0,10
Pos18_G,0.0,10
Pos18_C,0.0,10
Pos18_A,0.0,10
Pos17_T,0.0,10
Pos17_G,0.0,10
Pos17_C,0.0,10
Pos9_T,0.0,10
