Feature,Q1,Q3,Median Spearman Correlation
Pos3_Unpaired,-0.355,-0.355,-0.355
Pos4_Unpaired,-0.408,-0.408,-0.408
Pos5_Unpaired,-0.436,-0.348,-0.436
Pos6_Unpaired,-0.731,-0.285,-0.731
Pos7_Unpaired,-0.699,-0.661,-0.699
Pos8_Unpaired,-0.681,-0.677,-0.681
Pos9_Unpaired,-0.67,-0.67,-0.67
Pos10_Unpaired,-0.608,-0.572,-0.608
Pos11_Unpaired,-0.713,-0.303,-0.517
Pos12_Unpaired,-0.734,-0.524,-0.714
Pos13_Unpaired,-0.638,-0.269,-0.543
Pos15_Unpaired,-0.433,-0.42,-0.433
Pos16_Unpaired,-0.513,-0.022,-0.494
Pos19_Unpaired,-0.627,-0.495,-0.622
Pos20_Unpaired,-0.753,-0.701,-0.753
Pos21_Unpaired,-0.793,-0.266,-0.529
Pos22_Paired-Opening,-0.852,-0.536,-0.849
Pos23_Paired-Opening,-0.859,-0.546,-0.859
Pos24_Paired-Opening,-0.857,-0.515,-0.857
Pos25_Paired-Opening,-0.846,-0.815,-0.835
Pos26_Paired-Opening,-0.831,-0.424,-0.508
Pos27_Unpaired,-0.828,-0.54,-0.768
Pos28_Paired-Opening,-0.737,-0.321,-0.718
Pos29_Paired-Opening,-0.617,-0.489,-0.617
Pos31_Unpaired,-0.818,-0.465,-0.665
Pos32_Unpaired,-0.864,-0.539,-0.859
Pos33_Unpaired,-0.812,-0.245,-0.549
Pos34_Paired-Closing,-0.857,-0.856,-0.857
Pos37_Unpaired,-0.857,-0.578,-0.855
Pos38_Unpaired,-0.865,-0.864,-0.865
