Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_Unpaired,0.0363294076663792,10
Pos1_Paired-Opening,0.0302694590983731,10
Pos14_Paired-Opening,0.0291858098955583,10
Pos4_Unpaired,0.0285069817751836,10
Pos4_Paired-Opening,0.0264270871971776,10
Pos14_Unpaired,0.0251975741796373,10
Pos15_Paired-Opening,0.0235488657503299,10
Pos12_Unpaired,0.0220764738671706,10
Pos8_Paired-Opening,0.0217080607522072,10
Pos12_Paired-Opening,0.021437751517549,10
Pos15_Unpaired,0.0206780540549895,10
Pos16_Unpaired,0.0206161146195384,10
Pos2_Unpaired,0.0201811173339679,10
Pos8_Unpaired,0.0190547740439279,10
Pos13_Paired-Opening,0.0189941231163342,10
Pos3_Paired-Opening,0.018522485818717,10
Pos16_Paired-Opening,0.0184410265887469,10
Pos3_Unpaired,0.018128823865055,10
Pos17_Unpaired,0.0172583327128923,10
Pos2_Paired-Opening,0.0162503769627738,10
Pos18_Unpaired,0.0158108181449305,10
Pos13_Unpaired,0.0155364685504967,10
Pos11_Paired-Opening,0.0149731589446671,10
Pos7_Paired-Opening,0.0147838550864507,10
Pos7_Unpaired,0.0146890156450407,10
Pos5_Unpaired,0.0138515335756325,10
Pos11_Unpaired,0.0137692900840549,10
Pos6_Paired-Opening,0.0137095111994717,10
Pos6_Unpaired,0.0132368682329959,10
Pos9_Unpaired,0.0125981421448995,10
Pos9_Paired-Opening,0.0106667254896978,10
Pos5_Paired-Opening,0.0103032419155347,10
Pos17_Paired-Opening,0.0102333028702073,10
Pos19_Unpaired,0.0101977892120025,10
Pos18_Paired-Opening,0.009590177832911,10
Pos10_Unpaired,0.0086232930636773,10
Pos10_Paired-Opening,0.0081779048552324,10
Pos19_Paired-Opening,0.0081289726176306,10
Pos20_Unpaired,0.0051545116681739,10
Pos20_Paired-Opening,0.0050060881355312,10
Pos2_Paired-Closing,0.0003506700457727,10
Pos1_Paired-Closing,0.0002572522825787,10
Pos5_Paired-Closing,0.0002398849205798,10
Pos3_Paired-Closing,0.0002114748451236,10
Pos4_Paired-Closing,0.0002081994934358,10
Pos7_Paired-Closing,0.0001766388975471,10
Pos6_Paired-Closing,0.0001578018224754,10
Pos8_Paired-Closing,0.000136468033056,10
Pos9_Paired-Closing,9.77058822076086e-05,10
Pos10_Paired-Closing,5.3628884567219794e-05,10
Pos12_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
