Struct,Position,Computed_Spearman,Sign
C,1,0.0,zero
O,1,0.719,positive
U,1,-0.719,negative
C,2,0.0,zero
O,2,0.829,positive
U,2,-0.829,negative
C,3,0.0,zero
O,3,0.86,positive
U,3,-0.86,negative
C,4,0.0,zero
O,4,0.45,positive
U,4,0.0,zero
C,5,0.0,zero
O,5,-0.659,negative
U,5,0.785,positive
C,6,0.0,zero
O,6,-0.649,negative
U,6,0.0,zero
C,7,0.0,zero
O,7,0.561,positive
U,7,-0.857,negative
C,8,0.0,zero
O,8,0.86,positive
U,8,-0.859,negative
C,9,0.0,zero
O,9,0.862,positive
U,9,-0.859,negative
C,10,-0.254,negative
O,10,-0.337,negative
U,10,0.849,positive
C,11,-0.295,negative
O,11,-0.815,negative
U,11,0.842,positive
C,12,-0.323,negative
O,12,0.0,zero
U,12,0.707,positive
C,13,-0.327,negative
O,13,0.845,positive
U,13,0.0,zero
C,14,-0.318,negative
O,14,0.0,zero
U,14,0.84,positive
C,15,-0.331,negative
O,15,0.783,positive
U,15,0.654,positive
C,16,-0.347,negative
O,16,0.645,positive
U,16,0.0,zero
C,17,-0.343,negative
O,17,-0.846,negative
U,17,0.827,positive
C,18,-0.37,negative
O,18,-0.845,negative
U,18,0.835,positive
C,19,-0.402,negative
O,19,-0.839,negative
U,19,0.866,positive
C,20,-0.405,negative
O,20,-0.851,negative
U,20,0.864,positive
C,21,-0.447,negative
O,21,-0.638,negative
U,21,0.493,positive
C,22,-0.429,negative
O,22,-0.604,negative
U,22,0.448,positive
C,23,-0.404,negative
O,23,0.0,zero
U,23,0.458,positive
C,24,0.0,zero
O,24,0.425,positive
U,24,-0.401,negative
C,25,0.43,positive
O,25,0.5,positive
U,25,-0.557,negative
C,26,0.395,positive
O,26,0.461,positive
U,26,-0.638,negative
C,27,0.508,positive
O,27,-0.615,negative
U,27,-0.326,negative
C,28,0.478,positive
O,28,0.0,zero
U,28,0.0,zero
C,29,0.0,zero
O,29,-0.654,negative
U,29,0.402,positive
C,30,0.403,positive
O,30,-0.664,negative
U,30,0.453,positive
C,31,0.407,positive
O,31,-0.682,negative
U,31,0.533,positive
C,32,0.375,positive
O,32,-0.682,negative
U,32,0.588,positive
C,33,0.0,zero
O,33,0.0,zero
U,33,0.449,positive
C,34,0.0,zero
O,34,0.0,zero
U,34,0.0,zero
C,35,0.377,positive
O,35,0.0,zero
U,35,-0.377,negative
C,36,0.339,positive
O,36,0.0,zero
U,36,-0.339,negative
C,37,0.0,zero
O,37,0.196,positive
U,37,0.0,zero
