Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.719,-0.668,-0.687
Pos2_Paired-Opening,-0.648,-0.151,-0.311
Pos3_Unpaired,-0.866,-0.832,-0.864
Pos4_Unpaired,-0.854,-0.849,-0.854
Pos5_Unpaired,-0.843,-0.824,-0.841
Pos6_Unpaired,-0.838,-0.838,-0.838
Pos7_Unpaired,-0.811,-0.811,-0.811
Pos8_Unpaired,-0.81,-0.81,-0.81
Pos9_Unpaired,-0.806,-0.806,-0.806
Pos10_Unpaired,-0.801,-0.798,-0.801
Pos11_Unpaired,-0.801,-0.784,-0.799
Pos12_Unpaired,-0.769,-0.71,-0.75
Pos13_Unpaired,-0.757,-0.757,-0.757
Pos14_Unpaired,-0.692,-0.692,-0.692
Pos15_Unpaired,-0.738,-0.738,-0.738
Pos16_Unpaired,-0.72,-0.72,-0.72
Pos17_Unpaired,-0.757,-0.757,-0.757
Pos18_Unpaired,-0.748,-0.748,-0.748
Pos19_Unpaired,-0.79,-0.79,-0.79
Pos20_Unpaired,-0.855,-0.855,-0.855
