Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,12,-0.6256493105487705,9.412558403410689e-110
,21,-0.5583576855092636,4.848131128329218e-83
,31,-0.6885577962401705,1.9482687495325465e-141
,38,-0.6346076124926155,8.118057340836283e-114
,51,-0.6236288920302147,7.448711994076449e-109
,52,-0.5860507773524454,2.807498759539313e-93
,53,-0.7186637019340246,1.1728828773622904e-159
,65,-0.6730373085294455,6.8803875058272135e-133
,83,-0.595610195549745,4.789504802055358e-97
,84,-0.6487672397962141,1.5995962514676052e-120
Pos1_Paired-Opening,12,0.6528665186913007,1.5677173323324779e-122
,21,0.6843583313028416,4.5213890140360186e-139
,31,-0.6677357971274498,4.354266090233309e-130
,38,0.7097053999901796,5.4340180444763775e-154
,51,0.5695367780561494,4.676394073024984e-87
,52,0.7186219577497569,1.2478693750236178e-159
,53,0.4367986209217672,7.619180726314841e-48
,65,-0.14379619154689177,4.987972522167906e-06
,83,0.6443173097532789,2.2371111662872124e-118
,84,0.4749361076687235,2.1273923808400576e-57
Pos1_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos2_Unpaired,12,-0.8293326761877214,1.6234258803642272e-254
,21,-0.829282033010133,1.8567626684085716e-254
,31,-0.8293326761877214,1.6234258803642272e-254
,38,-0.8293326761877214,1.6234258803642272e-254
,51,-0.8105947004800115,3.670355121651664e-234
,52,-0.8293326761877214,1.6234258803642272e-254
,53,-0.8293326761877214,1.6234258803642272e-254
,65,-0.8252016398444385,8.049272767124255e-250
,83,-0.8293326761877214,1.6234258803642272e-254
,84,-0.8293326761877214,1.6234258803642272e-254
Pos2_Paired-Opening,12,0.8293326761877214,1.6234258803642272e-254
,21,0.8293326761877214,1.6234258803642272e-254
,31,0.8292603287911665,1.96673785489302e-254
,38,0.8293326761877214,1.6234258803642272e-254
,51,0.8136115869163494,2.7813808019615726e-237
,52,0.8293326761877214,1.6234258803642272e-254
,53,0.8250714145306398,1.1265591466327931e-249
,65,0.7819234272253187,4.6596531192666114e-207
,83,0.8293326761877214,1.6234258803642272e-254
,84,0.8081204195178351,1.2088124597448283e-231
Pos2_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos3_Unpaired,12,-0.542433848723869,1.4074784093908993e-77
,21,-0.665087443476785,1.0392285241903949e-128
,31,-0.7259399207643441,2.003694098007906e-164
,38,0.0968310510896258,0.0021734790852371974
,51,-0.06623043006022164,0.03625373342810391
,52,-0.3363696712789961,7.09046229656199e-28
,53,0.4786656979486667,2.12298968282436e-58
,65,-0.6678566357605036,3.764518643192857e-130
,83,-0.023583473831870393,0.4563045007461156
,84,-0.4954761599228777,4.5588022375578316e-63
Pos3_Paired-Opening,12,-0.07023424963416237,0.026353180331065294
,21,0.6513740126712667,8.516175986162466e-122
,31,0.8297602178698037,5.215306321993594e-255
,38,-0.28761933155378405,1.6829304960151616e-20
,51,0.3813603267701419,5.741739553588956e-36
,52,0.5033931202302344,2.33694400370279e-65
,53,0.039096530857034476,0.21673121284466368
,65,0.10469220903358259,0.0009143587797026096
,83,0.42137759662327434,2.587356928770043e-44
,84,-0.35311038029895736,9.79262121196762e-31
Pos3_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos4_Unpaired,12,0.7047666660531656,5.84950621192595e-151
,21,0.6986488637692227,2.7327471751447476e-147
,31,0.5192302817250748,4.004362499533598e-70
,38,0.7005403247245074,2.0516351161173128e-148
,51,0.7699839626542454,5.88143720598005e-197
,52,0.25660127450521564,1.6837771020480725e-16
,53,0.6249026717983427,2.0252041602834044e-109
,65,0.6585956191446777,2.1620922069211375e-125
,83,0.7525312514954098,3.0289348932607517e-183
,84,0.4065186083896485,4.423444587961158e-41
Pos4_Paired-Opening,12,-0.7987923679731969,1.793509644104898e-222
,21,0.23799844423071234,2.4101267969365377e-14
,31,0.4285232970123012,6.3012237641854415e-46
,38,-0.6918520755013317,2.543765555156822e-143
,51,-0.6718635595453011,2.9030242330892254e-132
,52,-0.48301538643836023,1.3928471239869377e-59
,53,-0.7786098560217526,3.427000314441304e-204
,65,-0.7391663130970795,1.6937786862047923e-173
,83,-0.30912569026350595,1.3865240824872416e-23
,84,-0.4565141477791516,1.2420809381222534e-52
Pos4_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos5_Unpaired,12,0.20587437856457197,4.94080651880271e-11
,21,0.7264620455861138,8.99095325703643e-165
,31,0.3133381302565555,3.213469646724343e-24
,38,0.3766370789362387,4.681749561902373e-35
,51,0.46827956608001964,1.2127984259377653e-55
,52,0.3095113011230789,1.2140305837834052e-23
,53,0.3573223569395085,1.7527050301739152e-31
,65,0.5106108248251007,1.6889698167075022e-67
,83,0.09409763069856128,0.0028964643399150844
,84,0.2179521569005352,3.224828527093212e-12
Pos5_Paired-Opening,12,-0.06687227642772982,0.034480322002454565
,21,-0.006427822800422075,0.8391245012669031
,31,0.6051842046990579,5.989754729790354e-101
,38,-0.2605056634355823,5.636668171976626e-17
,51,-0.48880276043468973,3.4927443579648375e-61
,52,-0.4484508960689931,1.2312174498329713e-50
,53,-0.7209822485147653,3.686765993286473e-161
,65,0.0129980230912911,0.681412188447752
,83,0.002225950521377931,0.9439526666084411
,84,0.09976494934269356,0.001584297585162268
Pos5_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos6_Unpaired,12,0.8552961731134451,3.074183130633008e-287
,21,0.8276797328451315,1.2711459064998937e-252
,31,0.5687860344989766,8.798795400998835e-87
,38,0.7719810160804133,1.3273052212426803e-198
,51,0.6867260335602567,2.120583149916187e-140
,52,0.6036472710310321,2.587551052109695e-100
,53,0.7121384427195432,1.6513249394296352e-155
,65,0.8199830059123462,4.6056203855962115e-244
,83,0.11049357219134959,0.0004644441996005617
,84,0.7357083653050376,4.505258266352727e-171
Pos6_Paired-Opening,12,-0.36386676359565123,1.1487335254578103e-32
,21,-0.8590993435129334,1.4376727611736428e-292
,31,-0.11100112509658296,0.00043703620503414935
,38,-0.7218723340527857,9.676803250837144e-162
,51,-0.6893402786611846,6.988671084686252e-142
,52,-0.792352660084985,2.0288918312918315e-216
,53,-0.8420441753411878,8.526299388509687e-270
,65,-0.7829385966098349,6.026180308413543e-208
,83,-0.712854579010489,5.86431658216015e-156
,84,-0.5245733095074845,8.650222962353994e-72
Pos6_Paired-Closing,12,,
,21,,
,31,,
,38,,
,51,,
,52,,
,53,,
,65,,
,83,,
,84,,
Pos7_Unpaired,12,-0.3563363562791866,2.628053939771822e-31
,21,-0.7708085508939012,1.2349909553156474e-197
,31,0.04014747843990992,0.20462006067283955
,38,-0.570353862837065,2.346045204897264e-87
,51,-0.5935007007935532,3.3317138981682426e-96
,52,-0.6996927532157646,6.562787415166824e-148
,53,-0.44934252905730704,7.451125147775656e-51
,65,-0.349935376060218,3.5213218017739734e-30
,83,-0.660079271489869,3.835664330098609e-126
,84,0.08016582041956802,0.011213391265731962
Pos7_Paired-Opening,12,-0.39998744751776444,1.0373444158233506e-39
,21,-0.35863205610890353,1.0210971895093962e-31
,31,-0.2237350402578604,8.234554840342584e-13
,38,-0.6922666414067136,1.4674513455987157e-143
,51,0.45820322124923896,4.668422259575314e-53
,52,0.48802292889184146,5.7630815413045074e-61
,53,0.527368473401318,1.1319313785759585e-72
,65,0.053805276368936485,0.08902261350432367
