Feature,Model,Spearman Correlation,P-Value
Pos1_A,11,,
,13,,
,17,,
,25,,
,42,,
,61,,
,75,,
,78,,
,81,,
,99,,
Pos1_C,11,,
,13,,
,17,,
,25,,
,42,,
,61,,
,75,,
,78,,
,81,,
,99,,
Pos1_G,11,,
,13,,
,17,,
,25,,
,42,,
,61,,
,75,,
,78,,
,81,,
,99,,
Pos1_T,11,,
,13,,
,17,,
,25,,
,42,,
,61,,
,75,,
,78,,
,81,,
,99,,
Pos2_A,11,0.7859393218949016,1.3366052575452247e-210
,13,0.7859393218949016,1.3366052575452247e-210
,17,0.7859393218949016,1.3366052575452247e-210
,25,0.7859393218949016,1.3366052575452247e-210
,42,0.7859393218949016,1.3366052575452247e-210
,61,0.783725408312099,1.2253099413037874e-208
,75,0.7859393218949016,1.3366052575452247e-210
,78,0.7859393218949016,1.3366052575452247e-210
,81,0.7859393218949016,1.3366052575452247e-210
,99,0.7859393218949016,1.3366052575452247e-210
Pos2_C,11,0.3327128428346605,2.834001263844851e-27
,13,0.5754039522994705,3.162213682204781e-89
,17,-0.5225077978537453,3.840636133061158e-71
,25,0.3098459807841684,1.0816406909836472e-23
,42,0.15795143224629193,5.16282369692088e-07
,61,0.467135974871975,2.4075612495562608e-55
,75,-0.4179060776475684,1.5232895086607155e-43
,78,-0.19858263341038956,2.3722538441685647e-10
,81,0.6075026012191076,6.489685913471473e-102
,99,0.10787111453240422,0.0006334031029375382
Pos2_G,11,-0.8540103801088891,1.8000196624988215e-285
,13,-0.8540103801088891,1.8000196624988215e-285
,17,-0.4015634363783928,4.876299977266921e-40
,25,-0.8533078118334028,1.6364974491977843e-284
,42,-0.8340644667678299,4.726271795883711e-260
,61,-0.8540103801088891,1.8000196624988215e-285
,75,-0.8540103801088891,1.8000196624988215e-285
,78,-0.838041003207083,7.677030909759101e-265
,81,-0.8083855962988015,6.520694846492969e-232
,99,-0.8498511759180096,7.218719656923194e-280
Pos2_T,11,-0.5881609864087772,4.2396951082863075e-94
,13,-0.5376543557541155,5.390417312835472e-76
,17,-0.5323904855424803,2.7930893821976486e-74
,25,-0.34070807996762753,1.3372579178503517e-28
,42,-0.3709753336845295,5.536076749715453e-34
,61,-0.561321369108754,4.323825952511114e-84
,75,-0.4742634846395793,3.2139914349297124e-57
,78,-0.5704209276916582,2.2167181978716815e-87
,81,-0.21402835072715273,7.96884334913708e-12
,99,0.5823462460587153,7.50031880979156e-92
Pos3_A,11,0.7606823112427281,1.6749109352308678e-189
,13,0.7559654885495043,7.50039611345289e-186
,17,0.7606823112427281,1.6749109352308678e-189
,25,0.7601932761139992,4.04073586106966e-189
,42,0.7604851196585632,2.3895914052329126e-189
,61,0.6431876777339306,7.739175163967089e-118
,75,0.7606744235793615,1.698900210650436e-189
,78,0.7606507605892616,1.772943470647001e-189
,81,0.6843218421907229,4.738613965487848e-139
,99,0.725187826093051,6.3347391953315534e-164
Pos3_C,11,0.5165126076096092,2.7438340601614837e-69
,13,0.525331588952259,4.991641177258971e-72
,17,0.12454571563194808,7.849796162918179e-05
,25,0.45968691405973566,1.9674007061663392e-53
,42,0.4364748773881111,9.07669675913877e-48
,61,0.5265260333779,2.0935380000284377e-72
,75,0.3703822858359723,7.1506315134629235e-34
,78,0.20447395511442906,6.708797158595165e-11
,81,0.5896126064588421,1.1456649551193054e-94
,99,0.4383461736549487,3.291407209162222e-48
Pos3_G,11,-0.7944794718541387,2.1477669519068498e-218
,13,-0.7944794718541387,2.1477669519068498e-218
,17,-0.25197277875538776,6.016702895861503e-16
,25,-0.7934372790004097,2.008303905336748e-217
,42,-0.7804249725730532,9.351070153827925e-206
,61,-0.7944794718541387,2.1477669519068498e-218
,75,-0.7944794718541387,2.1477669519068498e-218
,78,-0.7931956110922986,3.3662933706143245e-217
,81,-0.7406177368338799,1.5831112038259505e-174
,99,-0.4204606234415871,4.140982485831458e-44
Pos3_T,11,-0.7914376958255315,1.4122625255697431e-215
,13,-0.7914376958255315,1.4122625255697431e-215
,17,-0.7006231285473055,1.8309198163056827e-148
,25,-0.27367563832209024,1.2256285299206236e-18
,42,-0.7851908301908993,6.194633584793538e-210
,61,-0.5784832593245407,2.2052865743056516e-90
,75,-0.7514774667476845,1.8724434156582162e-182
,78,-0.7888904302269436,2.97663269134123e-213
,81,-0.7243900263198438,2.1388808803961625e-163
,99,-0.19200393506736707,9.290709377391771e-10
Pos4_A,11,0.5584900336753461,4.3543526158053414e-83
,13,0.6349806321458973,5.461312887795281e-114
,17,0.6349806321458973,5.461312887795281e-114
,25,0.34184068942175777,8.613525712716711e-29
,42,0.594472269496947,1.3660597853174354e-96
,61,0.18580742783507329,3.2189710211503445e-09
,75,0.530171031375625,1.4452727218936818e-73
,78,0.3426627625615896,6.252135185567429e-29
,81,-0.29390532116467244,2.246641524962623e-21
,99,0.007634886172230431,0.8094482818617685
Pos4_C,11,0.15986204403043228,3.74123644586676e-07
,13,0.6832507627931872,1.8729478878752438e-138
,17,0.7144963502140809,5.397803138639138e-157
,25,0.5569848774719317,1.473099928507744e-82
,42,0.05857871078957943,0.06406965288401309
,61,0.7716291503756706,2.5959233869826324e-198
,75,0.403092047370955,2.3357256031066455e-40
,78,0.28099378680096443,1.3310562974277701e-19
,81,0.7725415431783593,4.547871888824382e-199
,99,0.32873976609421324,1.2502468859746196e-26
Pos4_G,11,-0.4931259315645865,2.12434987840763e-62
,13,-0.8436454089520362,8.131289321728237e-272
,17,-0.7043621533158536,1.0295897116372326e-150
,25,-0.8023531943388912,6.468161960055429e-226
,42,-0.506418725728402,3.0018704255495577e-66
,61,-0.6326378953381029,6.525169452727788e-113
,75,-0.6432624278996925,7.130135900651054e-118
,78,-0.7650183235565796,6.196006356869813e-193
,81,-0.8051254141853595,1.2055838331793002e-228
,99,-0.4635809985508507,1.995744901465135e-54
Pos4_T,11,-0.4405829303103856,9.708873811345286e-49
