Feature,Importance Magnitude
Pos40_G,0.007976185046358702
Pos22_C,0.00438761068636477
Pos37_G,0.004172711058316619
Pos23_T,0.003944110227995933
Pos21_G,0.003360420449609032
Pos26_T,0.0030653232047285713
Pos39_C,0.0030420515262657285
Pos38_G,0.0030125374476646823
Pos40_C,0.0029524134846363
Pos29_G,0.002888524266066162
Pos27_T,0.002825717388369665
Pos24_C,0.002752853766084321
Pos23_C,0.002675903952298402
Pos22_T,0.002663314426220424
Pos23_G,0.002623454173435573
Pos30_G,0.0023263558747543688
Pos31_G,0.002324550198622353
Pos36_G,0.002301937054832565
Pos39_G,0.0022408663542951026
Pos25_T,0.0022294579524494225
Pos34_G,0.00222548295419264
Pos28_T,0.00208572214300087
Pos36_T,0.0020537806995723357
Pos30_T,0.002039186403581501
Pos25_C,0.001986632704776568
Pos34_C,0.001964313547694917
Pos35_T,0.0019588087801465735
Pos32_T,0.0019350070691437657
Pos21_A,0.0019125020862773676
Pos31_T,0.0018907171902114057
Pos24_T,0.0018874825492752251
Pos38_C,0.0018763742909182544
Pos31_C,0.0018152884271862286
Pos36_C,0.0018148842288541846
Pos26_A,0.0018030200610773942
Pos35_G,0.001792344838014686
Pos33_T,0.00176708754170152
Pos32_G,0.0017607551279527226
Pos22_G,0.001746616236460984
Pos32_C,0.001743121549941664
Pos37_C,0.0017387099333670917
Pos28_G,0.0017319487897400985
Pos21_C,0.001730993100327494
Pos38_T,0.001721750638466271
Pos26_C,0.0017186507040019064
Pos34_T,0.0017067546922930937
Pos33_C,0.0017036032575056734
Pos28_C,0.001702544701880668
Pos27_G,0.0016255541249113005
Pos29_T,0.0016241095387802226
Pos33_G,0.0016223282742574647
Pos40_A,0.0015838728225518134
Pos21_T,0.0015717232630128306
Pos29_C,0.0015597190196677824
Pos26_G,0.001468135937130178
Pos39_T,0.001459592218597545
Pos37_T,0.0014122329849083413
Pos25_G,0.001383412330993076
Pos35_C,0.001371915021721192
Pos27_C,0.001353558155041371
Pos29_A,0.0013348376901442557
Pos24_G,0.0013242068492538344
Pos40_T,0.0012742337630414773
Pos28_A,0.00127051555387636
Pos39_A,0.0012413007711940419
Pos30_C,0.0011523259371443186
Pos34_A,0.001135155037235938
Pos31_A,0.0011041921933103178
Pos35_A,0.0010308329668212318
Pos24_A,0.0009832372782792088
Pos37_A,0.0009768068736151047
Pos27_A,0.0009638142049784749
Pos33_A,0.0009286115400045137
Pos30_A,0.0009018648988321427
Pos25_A,0.0008907464505305043
Pos32_A,0.0008702456851325935
Pos36_A,0.0008043022876832715
Pos23_A,0.0007960714689393939
Pos38_A,0.000683395629035454
Pos22_A,0.0006775705115141161
Pos4_C,0.0
Pos8_C,0.0
Pos2_T,0.0
Pos7_G,0.0
Pos7_T,0.0
Pos8_A,0.0
Pos2_G,0.0
Pos2_C,0.0
Pos8_G,0.0
Pos7_A,0.0
Pos8_T,0.0
Pos2_A,0.0
Pos1_T,0.0
Pos9_A,0.0
Pos9_C,0.0
Pos1_G,0.0
Pos7_C,0.0
Pos3_A,0.0
Pos4_A,0.0
Pos6_T,0.0
Pos3_C,0.0
Pos6_G,0.0
Pos3_G,0.0
Pos6_C,0.0
Pos6_A,0.0
Pos9_G,0.0
Pos5_T,0.0
Pos5_G,0.0
Pos5_C,0.0
Pos3_T,0.0
Pos5_A,0.0
Pos4_T,0.0
Pos4_G,0.0
Pos16_T,0.0
Pos10_G,0.0
Pos9_T,0.0
Pos15_G,0.0
Pos16_A,0.0
Pos16_C,0.0
Pos16_G,0.0
Pos1_C,0.0
Pos20_T,0.0
Pos20_G,0.0
Pos20_C,0.0
Pos20_A,0.0
Pos19_T,0.0
Pos19_G,0.0
Pos19_C,0.0
Pos19_A,0.0
Pos18_T,0.0
Pos18_G,0.0
Pos18_C,0.0
Pos18_A,0.0
Pos17_T,0.0
Pos17_G,0.0
Pos17_C,0.0
Pos15_T,0.0
Pos15_C,0.0
Pos10_A,0.0
Pos15_A,0.0
Pos10_C,0.0
Pos17_A,0.0
Pos10_T,0.0
Pos11_A,0.0
Pos11_C,0.0
Pos11_G,0.0
Pos11_T,0.0
Pos12_A,0.0
Pos12_C,0.0
Pos12_G,0.0
Pos12_T,0.0
Pos13_A,0.0
Pos13_C,0.0
Pos13_G,0.0
Pos13_T,0.0
Pos14_A,0.0
Pos14_C,0.0
Pos14_G,0.0
Pos14_T,0.0
Pos1_A,0.0
