Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.189,-0.189,-0.189
Pos2_Unpaired,-0.237,-0.15,-0.237
Pos3_Unpaired,-0.242,-0.242,-0.242
Pos4_Unpaired,-0.281,-0.281,-0.281
Pos5_Unpaired,-0.236,-0.236,-0.236
Pos6_Unpaired,-0.538,-0.424,-0.535
Pos7_Unpaired,-0.507,-0.433,-0.485
Pos8_Unpaired,-0.498,-0.498,-0.498
Pos9_Unpaired,-0.491,-0.483,-0.491
Pos10_Unpaired,-0.482,-0.215,-0.426
Pos11_Unpaired,-0.427,-0.287,-0.414
Pos12_Unpaired,-0.48,-0.48,-0.48
Pos13_Unpaired,-0.485,-0.314,-0.421
Pos17_Paired-Opening,-0.498,-0.445,-0.498
Pos18_Paired-Opening,-0.522,-0.522,-0.522
Pos19_Paired-Opening,-0.488,-0.488,-0.488
Pos20_Paired-Opening,-0.618,-0.618,-0.618
Pos21_Paired-Opening,-0.731,-0.724,-0.731
Pos22_Paired-Opening,-0.779,-0.778,-0.779
Pos23_Paired-Opening,-0.797,-0.788,-0.797
Pos24_Unpaired,-0.817,-0.679,-0.81
Pos25_Unpaired,-0.814,-0.814,-0.814
Pos26_Unpaired,-0.808,-0.808,-0.808
Pos27_Unpaired,-0.797,-0.644,-0.794
Pos29_Paired-Opening,-0.544,-0.26,-0.524
Pos31_Paired-Closing,-0.678,-0.57,-0.677
Pos33_Unpaired,-0.801,-0.799,-0.801
Pos34_Unpaired,-0.812,-0.812,-0.812
Pos36_Paired-Closing,-0.836,-0.464,-0.833
Pos37_Paired-Closing,-0.829,-0.629,-0.772
Pos39_Unpaired,-0.762,-0.762,-0.762
Pos40_Unpaired,-0.637,-0.637,-0.637
