Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.448,-0.448,-0.448
Pos2_Paired-Opening,-0.559,-0.559,-0.559
Pos3_Paired-Opening,-0.62,-0.604,-0.62
Pos4_Paired-Opening,-0.643,-0.643,-0.643
Pos5_Paired-Opening,-0.644,-0.553,-0.611
Pos6_Paired-Opening,-0.605,-0.586,-0.601
Pos7_Paired-Opening,-0.582,-0.535,-0.568
Pos7_Paired-Closing,-1.0,-1.0,-1.0
Pos8_Unpaired,-0.171,-0.109,-0.147
Pos8_Paired-Closing,-1.0,-0.864,-1.0
Pos9_Paired-Closing,-0.265,-0.265,-0.265
Pos10_Paired-Closing,-0.355,-0.355,-0.355
Pos11_Paired-Opening,-0.408,-0.253,-0.332
Pos11_Paired-Closing,-0.43,-0.43,-0.43
Pos12_Paired-Opening,-0.3,-0.132,-0.3
Pos12_Paired-Closing,-0.488,-0.488,-0.488
Pos13_Paired-Closing,-0.565,-0.565,-0.565
Pos14_Paired-Closing,-0.596,-0.548,-0.596
Pos15_Paired-Closing,-0.63,-0.407,-0.466
Pos16_Unpaired,-0.228,-0.03,-0.083
Pos17_Unpaired,-0.522,-0.237,-0.363
Pos18_Paired-Closing,-0.638,-0.493,-0.637
Pos19_Paired-Closing,-0.565,-0.565,-0.565
Pos20_Paired-Closing,-0.421,-0.421,-0.421
